,Shops
0,"http://brittandjules.com
"
1,"http://buymbs.com
"
2,"http://gate4great.info/
"
3,"http://livingsocial.com
"
4,"http://poshmark.com
"
5,"http://samsclub.com
"
6,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
7,"http://www.Adorama.com
"
8,"http://www.DrsFosterSmith.com
"
9,"http://www.ElectricGeneratorDepot.com
"
10,"http://www.MidwayUSA.com
"
11,"http://www.ReStockIt.com
"
12,"http://www.abt.com
"
13,"http://www.agrisupply.com
"
14,"http://www.amazon.com
"
15,"http://www.amazon.com/
"
16,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
17,"http://www.autogeek.net
"
18,"http://www.autopia-carcare.com
"
19,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
20,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
21,"http://www.bestmaterials.com
"
22,"http://www.bhphotovideo.com/?BI=82
"
23,"http://www.bizchair.com
"
24,"http://www.brownells.com
"
25,"http://www.build.com
"
26,"http://www.bulbhead.com
"
27,"http://www.buybizsupplies.com
"
28,"http://www.carparts.com
"
29,"http://www.cpooutlets.com
"
30,"http://www.crazycarlsdeals.com
"
31,"http://www.crutchfield.com/I-rbizc000/index.html
"
32,"http://www.deepdiscount.com
"
33,"http://www.denniskirk.com
"
34,"http://www.discounttiredirect.com
"
35,"http://www.doversaddlery.com
"
36,"http://www.efloors.com
"
37,"http://www.elitemetaltools.com
"
38,"http://www.emerchantoutlet.com
"
39,"http://www.energysavinglighting.com
"
40,"http://www.envirobarrier.com
"
41,"http://www.equiptool.com
"
42,"http://www.fairpricenow.com
"
43,"http://www.faucetdirect.com?/source=bizrate
"
44,"http://www.groupon.com
"
45,"http://www.halloweencostumesupplystore.com
"
46,"http://www.homedepot.com
"
47,"http://www.homegoodscenter.com
"
48,"http://www.houzz.com
"
49,"http://www.jcpenney.com/
"
50,"http://www.jerrysartarama.com
"
51,"http://www.kohls.com
"
52,"http://www.kotulas.com
"
53,"http://www.larsonelectronics.com
"
54,"http://www.layoffpain.com/
"
55,"http://www.lightingdirect.com
"
56,"http://www.lockandhinge.com
"
57,"http://www.macys.com
"
58,"http://www.mobilityequip.com/
"
59,"http://www.motoin.de/index.php?language=en
"
60,"http://www.northerntool.com/
"
61,"http://www.oceansmall.net
"
62,"http://www.officesupersavers.com
"
63,"http://www.onlinemegamall.com
"
64,"http://www.peterglenn.com
"
65,"http://www.qvc.com/
"
66,"http://www.respiratorycarestore.com/
"
67,"http://www.ritzcamera.com
"
68,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
69,"http://www.shineretrofits.com
"
70,"http://www.sonicelectronix.com
"
71,"http://www.sportsmanguide.com
"
72,"http://www.therestoredhome.com
"
73,"http://www.thesensorconnection.com
"
74,"http://www.tirerack.com
"
75,"http://www.toolbarn.com
"
76,"http://www.toolstoday.com
"
77,"http://www.tschome.com
"
78,"http://www.tscshops.com
"
79,"http://www.valleyvet.com
"
80,"http://www.vidaxl.com
"
81,"http://www.walmart.com
"
82,"http://www.wayfair.com
"
83,"http://www.webstaurantstore.com
"
84,"http://www.weldingsuppliesfromioc.com
"
85,"http://www.wholesurgical.com/
"
86,"http://www.winechateau.com
"
87,"http://www.zoro.com
"
88,"http://www.zoro1.com
"
89,"http://www.zulily.com
"
90,"https://bargainjunkie.com/
"
91,"https://pstpoolsupplies.com
"
92,"https://renewgoo.com/
"
93,"https://walabot.com/diy
"
94,"https://www.campsaver.com
"
95,"https://www.coedstore.co/
"
96,"https://www.costway.com/
"
97,"https://www.crowdcontrolstore.com
"
98,"https://www.davincivaporizer.com
"
99,"https://www.dhgate.com/
"
100,"https://www.hayneedle.com
"
101,"https://www.hlsproparts.com
"
102,"https://www.homedepot.com
"
103,"https://www.industrialsafetygear.com/
"
104,"https://www.lightbulbs.com
"
105,"https://www.mastertoolsupply.com
"
106,"https://www.secondsale.com
"
107,"https://www.sportsmans.com/
"
108,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
109,"www..jencowholesale.com
"
110,"www.fiberopticresale.com
"
111,"www.flooranddecor.com
"
