,Shops
0,"http://livingsocial.com
"
1,"http://my-bio-zen.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
5,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
6,"http://www.Adorama.com
"
7,"http://www.BarristerBooks.com
"
8,"http://www.MidwayUSA.com
"
9,"http://www.allposters.com
"
10,"http://www.amazon.com
"
11,"http://www.amazon.com/
"
12,"http://www.americanbookwarehouse.com
"
13,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
14,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
15,"http://www.belk.com/
"
16,"http://www.bhphotovideo.com/?BI=82
"
17,"http://www.bizchair.com
"
18,"http://www.boscovs.com/
"
19,"http://www.build.com
"
20,"http://www.christianbookbag.com
"
21,"http://www.deepdiscount.com
"
22,"http://www.freshnless.com
"
23,"http://www.halloweencostumes.com
"
24,"http://www.halloweencostumesupplystore.com
"
25,"http://www.homedepot.com
"
26,"http://www.layoffpain.com/
"
27,"http://www.net-a-porter.com
"
28,"http://www.officesupersavers.com
"
29,"http://www.onlinelivingaids.com/
"
30,"http://www.qvc.com/
"
31,"http://www.respiratorycarestore.com/
"
32,"http://www.sawesometoys.com
"
33,"http://www.society6.com/
"
34,"http://www.spellbinderspaperarts.com
"
35,"http://www.sportsmanslogistics.com
"
36,"http://www.ssense.com
"
37,"http://www.trivoshop.com
"
38,"http://www.walmart.com
"
39,"http://www.wayfair.com
"
40,"http://www.webstaurantstore.com
"
41,"http://www.wholesurgical.com/
"
42,"http://www.woundtx.com/
"
43,"http://www.youngexplorers.com/
"
44,"http://www.zazzle.com
"
45,"http://www.zoro.com
"
46,"http://www.zulily.com
"
47,"https://gonegreenstore.com
"
48,"https://webstore.northsails.com/us/en/homepage
"
49,"https://www.epicpetster.com
"
50,"https://www.fun.com
"
51,"https://www.homedepot.com
"
52,"https://www.lightbulbs.com
"
53,"https://www.ruelala.com
"
54,"https://www.secondsale.com
"
55,"https://www.threadsquad.com
"
56,"https://www.trouva.com/
"
