,Shops
0,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
1,"http://gate4great.info/
"
2,"http://livingsocial.com
"
3,"http://my-bio-zen.com
"
4,"http://parkseed.com
"
5,"http://poshmark.com
"
6,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
7,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
8,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
9,"http://www.Adorama.com
"
10,"http://www.BarristerBooks.com
"
11,"http://www.MidwayUSA.com
"
12,"http://www.UtahSkis.com
"
13,"http://www.allposters.com
"
14,"http://www.amazon.com
"
15,"http://www.amazon.com/
"
16,"http://www.americanbookwarehouse.com
"
17,"http://www.appoutdoors.com
"
18,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
19,"http://www.autopia-carcare.com
"
20,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
21,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
22,"http://www.belk.com/
"
23,"http://www.bnbtobacco.com
"
24,"http://www.brownells.com
"
25,"http://www.build.com
"
26,"http://www.christianbookbag.com
"
27,"http://www.crutchfield.com/I-rbizc000/index.html
"
28,"http://www.cyberteez.com
"
29,"http://www.deepdiscount.com
"
30,"http://www.directvapor.com
"
31,"http://www.doversaddlery.com
"
32,"http://www.emerchantoutlet.com
"
33,"http://www.fansedge.com/
"
34,"http://www.fitzulas.com
"
35,"http://www.gamestop.com
"
36,"http://www.gliks.com
"
37,"http://www.golfshopplus.com
"
38,"http://www.groupon.com
"
39,"http://www.halloweencostumes.com
"
40,"http://www.halloweencostumesupplystore.com
"
41,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
42,"http://www.homedepot.com
"
43,"http://www.kohls.com
"
44,"http://www.kotulas.com
"
45,"http://www.layoffpain.com/
"
46,"http://www.lightingdirect.com
"
47,"http://www.mountainsteals.com
"
48,"http://www.net-a-porter.com
"
49,"http://www.oceansmall.net
"
50,"http://www.qvc.com/
"
51,"http://www.ssense.com
"
52,"http://www.stomabags.com/
"
53,"http://www.titlenine.com
"
54,"http://www.walmart.com
"
55,"http://www.wayfair.com
"
56,"http://www.wholesurgical.com/
"
57,"http://www.winechateau.com
"
58,"http://www.workoutz.com
"
59,"http://www.zazzle.com
"
60,"http://www.zulily.com
"
61,"https://AutographsForSale.com
"
62,"https://scotsmanshield.com
"
63,"https://store12373258.ecwid.com/
"
64,"https://webstore.northsails.com/us/en/homepage
"
65,"https://www.MostlyDead.com
"
66,"https://www.big5sportinggoods.com
"
67,"https://www.chicksaddlery.com
"
68,"https://www.costbuys.com
"
69,"https://www.cozzoo.com/
"
70,"https://www.fun.com
"
71,"https://www.gearthirty.com/
"
72,"https://www.homedepot.com
"
73,"https://www.lightbulbs.com
"
74,"https://www.orientaloutpost.com
"
75,"https://www.ruelala.com
"
76,"https://www.secondsale.com
"
77,"https://www.sportsmans.com/
"
78,"https://www.swaggsauce.com
"
79,"https://www.trouva.com/
"
80,"https://www.uncommongoods.com
"
81,"www.crutchfield.com
"
