,Shops
0,"http://bluebath.com
"
1,"http://brittandjules.com
"
2,"http://gate4great.info/
"
3,"http://gurneys.com
"
4,"http://livingsocial.com
"
5,"http://parkseed.com
"
6,"http://poshmark.com
"
7,"http://samsclub.com
"
8,"http://soccer.epicsports.com
"
9,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
10,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
11,"http://www.Adorama.com
"
12,"http://www.BarristerBooks.com
"
13,"http://www.Campmor.com
"
14,"http://www.DrsFosterSmith.com
"
15,"http://www.SchoolOutfitters.com
"
16,"http://www.TheRawDiet.com
"
17,"http://www.UtahSkis.com
"
18,"http://www.allposters.com
"
19,"http://www.amazon.com
"
20,"http://www.amazon.com/
"
21,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
22,"http://www.autogeek.net
"
23,"http://www.autopia-carcare.com
"
24,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
25,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
26,"http://www.beallsflorida.com
"
27,"http://www.bestmaterials.com
"
28,"http://www.boscovs.com/
"
29,"http://www.brownells.com
"
30,"http://www.build.com
"
31,"http://www.cellphonecases.com
"
32,"http://www.chewy.com
"
33,"http://www.cpooutlets.com
"
34,"http://www.crazycarlsdeals.com
"
35,"http://www.deluxe.com
"
36,"http://www.diabeticstreatment.com/
"
37,"http://www.doversaddlery.com
"
38,"http://www.driparmor.com/
"
39,"http://www.efaucets.com
"
40,"http://www.emerchantoutlet.com
"
41,"http://www.familyleisure.com
"
42,"http://www.faucetdirect.com?/source=bizrate
"
43,"http://www.freshnless.com
"
44,"http://www.groupon.com
"
45,"http://www.halloweencostumesupplystore.com
"
46,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
47,"http://www.homedepot.com
"
48,"http://www.houzz.com
"
49,"http://www.interstatemusic.com
"
50,"http://www.jcpenney.com/
"
51,"http://www.joylot.com
"
52,"http://www.katom.com
"
53,"http://www.kohls.com
"
54,"http://www.kotulas.com
"
55,"http://www.landsend.com/
"
56,"http://www.larsonelectronics.com
"
57,"http://www.layoffpain.com/
"
58,"http://www.lenovo.com/think/us/en/
"
59,"http://www.lightingdirect.com
"
60,"http://www.llbean.com/
"
61,"http://www.lockandhinge.com
"
62,"http://www.macys.com
"
63,"http://www.mobilityequip.com/
"
64,"http://www.mountainsteals.com
"
65,"http://www.netnutri.com
"
66,"http://www.northerntool.com/
"
67,"http://www.oceansmall.net
"
68,"http://www.onlinelivingaids.com/
"
69,"http://www.onlinemegamall.com
"
70,"http://www.peterglenn.com
"
71,"http://www.primepoolmarket.com
"
72,"http://www.qvc.com/
"
73,"http://www.respiratorycarestore.com/
"
74,"http://www.saksoff5th.com
"
75,"http://www.shineretrofits.com
"
76,"http://www.society6.com/
"
77,"http://www.speedousa.com
"
78,"http://www.sportsmanguide.com
"
79,"http://www.ssense.com
"
80,"http://www.stomabags.com/
"
81,"http://www.tscshops.com
"
82,"http://www.tsctoys.com
"
83,"http://www.valleyvet.com
"
84,"http://www.vidaxl.com
"
85,"http://www.walmart.com
"
86,"http://www.wayfair.com
"
87,"http://www.webstaurantstore.com
"
88,"http://www.whateverworks.com/
"
89,"http://www.wholesurgical.com/
"
90,"http://www.zappos.com
"
91,"http://www.zazzle.com
"
92,"http://www.zoro.com
"
93,"http://www.zulily.com
"
94,"https://caautoparts.com/
"
95,"https://ironandresin.com/
"
96,"https://ooni.com/
"
97,"https://oxygenpools.com/
"
98,"https://pstpoolsupplies.com
"
99,"https://renewgoo.com/
"
100,"https://selletonscales.com
"
101,"https://sonaxusa.com
"
102,"https://steelfitusa.com/
"
103,"https://thevacuumfactory.com
"
104,"https://us.glidesoul.com/en/
"
105,"https://www.big5sportinggoods.com
"
106,"https://www.campsaver.com
"
107,"https://www.costway.com/
"
108,"https://www.cozzoo.com/
"
109,"https://www.davincivaporizer.com
"
110,"https://www.epicpetster.com
"
111,"https://www.hayneedle.com
"
112,"https://www.hibbett.com/
"
113,"https://www.hlsproparts.com
"
114,"https://www.homedepot.com
"
115,"https://www.homeshoppingmalls.com/
"
116,"https://www.lightbulbs.com
"
117,"https://www.sportsmans.com/
"
118,"https://www.trendsavvy.com
"
119,"https://www.trouva.com/
"
120,"https://www.vintagetub.com/
"
