,Shops
0,"http://bluebath.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://shop.nhl.com
"
5,"http://soccer.epicsports.com
"
6,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
7,"http://www.Adorama.com
"
8,"http://www.Fanatics.com
"
9,"http://www.abesofmaine.com
"
10,"http://www.abt.com
"
11,"http://www.amazon.com
"
12,"http://www.amazon.com/
"
13,"http://www.bhphotovideo.com/?BI=82
"
14,"http://www.bulbamerica.com
"
15,"http://www.computerdealsdirect.com
"
16,"http://www.crazycarlsdeals.com
"
17,"http://www.crutchfield.com/I-rbizc000/index.html
"
18,"http://www.dell.com
"
19,"http://www.eclipseillumination.com
"
20,"http://www.emerchantoutlet.com
"
21,"http://www.gamestop.com
"
22,"http://www.groupon.com
"
23,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
24,"http://www.homedepot.com
"
25,"http://www.houzz.com
"
26,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
27,"http://www.jcpenney.com/
"
28,"http://www.kohls.com
"
29,"http://www.newegg.com
"
30,"http://www.oceansmall.net
"
31,"http://www.peazz.com
"
32,"http://www.qvc.com/
"
33,"http://www.ritzcamera.com
"
34,"http://www.shineretrofits.com
"
35,"http://www.tschome.com
"
36,"http://www.walmart.com
"
37,"http://www.wayfair.com
"
38,"http://www.zoro.com
"
39,"https://acdecor.biz/
"
40,"https://gg-decor.com/
"
41,"https://sanelectronic.com
"
42,"https://www.datavision.com
"
43,"https://www.dhgate.com/
"
44,"https://www.homedepot.com
"
45,"https://www.lightbulbs.com
"
46,"www.crutchfield.com
"
