,Shops
0,"http://bakersauthority.com
"
1,"http://bluebath.com
"
2,"http://brittandjules.com
"
3,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
4,"http://gurneys.com
"
5,"http://holabirdsports.com
"
6,"http://livingsocial.com
"
7,"http://poshmark.com
"
8,"http://samsclub.com
"
9,"http://shop.mlb.com/
"
10,"http://shop.nhl.com
"
11,"http://soccer.epicsports.com
"
12,"http://store.nba.com/
"
13,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
14,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
15,"http://thefixturezone.com
"
16,"http://www.Adorama.com
"
17,"http://www.AtticTrunk.com
"
18,"http://www.DrsFosterSmith.com
"
19,"http://www.EdenMosaicTile.com
"
20,"http://www.Fanatics.com
"
21,"http://www.MidwayUSA.com
"
22,"http://www.SchoolOutfitters.com
"
23,"http://www.abbapatio.com/
"
24,"http://www.agrisupply.com
"
25,"http://www.allposters.com
"
26,"http://www.amazon.com
"
27,"http://www.amazon.com/
"
28,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
29,"http://www.autogeek.net
"
30,"http://www.autopia-carcare.com
"
31,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
32,"http://www.ballarddesigns.com
"
33,"http://www.bambeco.com
"
34,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
35,"http://www.bestmaterials.com
"
36,"http://www.bhphotovideo.com/?BI=82
"
37,"http://www.bizchair.com
"
38,"http://www.blair.com
"
39,"http://www.boscovs.com/
"
40,"http://www.brownells.com
"
41,"http://www.build.com
"
42,"http://www.buybizsupplies.com
"
43,"http://www.chewy.com
"
44,"http://www.cleanitsupply.com
"
45,"http://www.cpooutlets.com
"
46,"http://www.crateandbarrel.com
"
47,"http://www.crutchfield.com/I-rbizc000/index.html
"
48,"http://www.cymax.com/
"
49,"http://www.denniskirk.com
"
50,"http://www.diamondbackfitnessoutlet.com/
"
51,"http://www.displays2go.com
"
52,"http://www.doversaddlery.com
"
53,"http://www.efaucets.com
"
54,"http://www.efloors.com
"
55,"http://www.emerchantoutlet.com
"
56,"http://www.envirobarrier.com
"
57,"http://www.faucetdirect.com?/source=bizrate
"
58,"http://www.fitnessfactory.com
"
59,"http://www.franceandson.com
"
60,"http://www.freshnless.com
"
61,"http://www.freshwatersystems.com
"
62,"http://www.frontgate.com/jump.jsp?itemID=162&itemType=HOME_PAGE&k=ZZ50921
"
63,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
64,"http://www.greatmats.com
"
65,"http://www.groupon.com
"
66,"http://www.halloweencostumesupplystore.com
"
67,"http://www.hconecompanies.com
"
68,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
69,"http://www.homedepot.com
"
70,"http://www.houzz.com
"
71,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
72,"http://www.interstatemusic.com
"
73,"http://www.ipatioumbrella.com/
"
74,"http://www.jcpenney.com/
"
75,"http://www.jmbullion.com/
"
76,"http://www.katom.com
"
77,"http://www.kinkytoy.store
"
78,"http://www.kohls.com
"
79,"http://www.kotulas.com
"
80,"http://www.larsonelectronics.com
"
81,"http://www.layoffpain.com/
"
82,"http://www.lightingdirect.com
"
83,"http://www.lockandhinge.com
"
84,"http://www.macys.com
"
85,"http://www.mobilityequip.com/
"
86,"http://www.northerntool.com/
"
87,"http://www.oceansmall.net
"
88,"http://www.officesupersavers.com
"
89,"http://www.onlinelivingaids.com/
"
90,"http://www.oralprecision.com/
"
91,"http://www.overstock.com/cgi-bin/d2.cgi?cid=19516&fp=f
"
92,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
93,"http://www.peterglenn.com
"
94,"http://www.petfenceusa.com
"
95,"http://www.qvc.com/
"
96,"http://www.respiratorycarestore.com/
"
97,"http://www.scoutandnimble.com
"
98,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
99,"http://www.shindigz.com
"
100,"http://www.shineretrofits.com
"
101,"http://www.signaturehardware.com
"
102,"http://www.sportsmanguide.com
"
103,"http://www.ssense.com
"
104,"http://www.stomabags.com/
"
105,"http://www.stumpsparty.com
"
106,"http://www.sweetwater.com
"
107,"http://www.tires-easy.com
"
108,"http://www.toolbarn.com
"
109,"http://www.tschome.com
"
110,"http://www.tscshops.com
"
111,"http://www.valleyvet.com
"
112,"http://www.vandykes.com
"
113,"http://www.vidaxl.com
"
114,"http://www.walmart.com
"
115,"http://www.wayfair.com
"
116,"http://www.webstaurantstore.com
"
117,"http://www.whateverworks.com/
"
118,"http://www.wholesurgical.com/
"
119,"http://www.woundtx.com/
"
120,"http://www.zoro.com
"
121,"http://www.zoro1.com
"
122,"http://www.zulily.com
"
123,"https://acdecor.biz/
"
124,"https://gg-decor.com/
"
125,"https://pstpoolsupplies.com
"
126,"https://selletonscales.com
"
127,"https://www.aosom.com
"
128,"https://www.chicksaddlery.com
"
129,"https://www.cjponyparts.com/
"
130,"https://www.coedstore.co/
"
131,"https://www.costway.com/
"
132,"https://www.crowdcontrolstore.com
"
133,"https://www.epicpetster.com
"
134,"https://www.factorydirecthardware.com
"
135,"https://www.hayneedle.com
"
136,"https://www.homedepot.com
"
137,"https://www.homesquare.com
"
138,"https://www.hominter.com
"
139,"https://www.hotelrestaurantsupply.com/
"
140,"https://www.lightbulbs.com
"
141,"https://www.marketcol.com
"
142,"https://www.mileskimball.com
"
143,"https://www.rejuvenateproducts.com
"
144,"https://www.sportsmans.com/
"
145,"https://www.springhillnursery.com
"
146,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
147,"https://www.trouva.com/
"
148,"www.flooranddecor.com
"
149,"www.thebuilderdepot.com
"
