,Shops
0,"HTTPS://WWW.KINONASPORT.COM
"
1,"adamandeve.com
"
2,"http://adameve.com
"
3,"http://apartysource.com
"
4,"http://appleseeds.blair.com
"
5,"http://applesofgold.com
"
6,"http://bakersauthority.com
"
7,"http://billsoutlets.com
"
8,"http://birkenstock.com/us
"
9,"http://blbeauty.co
"
10,"http://bluebath.com
"
11,"http://brittandjules.com
"
12,"http://buymbs.com
"
13,"http://carhartt.com
"
14,"http://click.linksynergy.com/fs-bin/stat?id=hLUPakqa5g4&offerid=10116.9&type=3&subid=0&u1=1x1
"
15,"http://clickserve.cc-dt.com/link/click?lid=41000000000059074
"
16,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
17,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
18,"http://critpro.com
"
19,"http://discountdecorativeflags.com
"
20,"http://gate4great.info/
"
21,"http://gurneys.com
"
22,"http://holabirdsports.com
"
23,"http://justfab.com
"
24,"http://linksoul.com
"
25,"http://livingsocial.com
"
26,"http://luxycouture.com
"
27,"http://mjboutiqueonline.com
"
28,"http://morphmallow.com
"
29,"http://my-bio-zen.com
"
30,"http://onestopfanshop.com
"
31,"http://parkseed.com
"
32,"http://pinkboxaccessories.com
"
33,"http://poshmark.com
"
34,"http://quantumboutique.com
"
35,"http://rheosgear.com
"
36,"http://ring-ninja.com
"
37,"http://samsclub.com
"
38,"http://sequinqueen.com/home.php
"
39,"http://shop.eaglecreek.com
"
40,"http://shop.nhl.com
"
41,"http://shopping.franklincovey.com
"
42,"http://soccer.epicsports.com
"
43,"http://sockprints.com/
"
44,"http://store.closetmaid.com/webapp/wcs/stores/servlet/TopCategoriesDisplay?langId=-1&storeId=10151&catalogId=10051
"
45,"http://store.nascar.com/entry.point?target=z&source=BZLG:2774:TXT:N:3693:1003:NASCAR
"
46,"http://store.nba.com/
"
47,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
48,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
49,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
50,"http://strongsupplementshop.com
"
51,"http://svmoscow.com
"
52,"http://thefixturezone.com
"
53,"http://thenorthface.com/
"
54,"http://tires-guru.com
"
55,"http://ullapopken.com/
"
56,"http://usa.hudsonreed.com
"
57,"http://vrsdesign.com
"
58,"http://wintersilks.com
"
59,"http://workweardirect.online
"
60,"http://www.1800lighting.com
"
61,"http://www.Adorama.com
"
62,"http://www.AtticTrunk.com
"
63,"http://www.BarristerBooks.com
"
64,"http://www.CB2.com
"
65,"http://www.Campmor.com
"
66,"http://www.CatalogFavorites.com/
"
67,"http://www.CellularOutfitter.com
"
68,"http://www.CenturyNovelty.com
"
69,"http://www.DisneyStore.com
"
70,"http://www.DrsFosterSmith.com
"
71,"http://www.Educents.com
"
72,"http://www.Fanatics.com
"
73,"http://www.JustArtifacts.net
"
74,"http://www.LambertVetSupply.com
"
75,"http://www.Lenox.com
"
76,"http://www.MidwayUSA.com
"
77,"http://www.PartySpin.com
"
78,"http://www.PulseTV.com
"
79,"http://www.SchoolOutfitters.com
"
80,"http://www.UtahSkis.com
"
81,"http://www.abercrombie.com
"
82,"http://www.abt.com
"
83,"http://www.acoutlet.shop/
"
84,"http://www.agrisupply.com
"
85,"http://www.airturn.com/
"
86,"http://www.albeebaby.com
"
87,"http://www.allposters.com
"
88,"http://www.allurez.com
"
89,"http://www.amazon.com
"
90,"http://www.amazon.com/
"
91,"http://www.americanbookwarehouse.com
"
92,"http://www.amsterdamprinting.com
"
93,"http://www.aninebing.com/
"
94,"http://www.apmex.com
"
95,"http://www.appoutdoors.com
"
96,"http://www.aquapillar.com
"
97,"http://www.aquasana.com
"
98,"http://www.ariaperfume.com
"
99,"http://www.ariat.com
"
100,"http://www.ashleystewart.com
"
101,"http://www.authenticwatches.com
"
102,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
103,"http://www.autogeek.net
"
104,"http://www.autopartswarehouse.com
"
105,"http://www.autopia-carcare.com
"
106,"http://www.avondaleactive.com
"
107,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
108,"http://www.backinthesaddle.com/
"
109,"http://www.bagsandbowsonline.com
"
110,"http://www.ballarddesigns.com
"
111,"http://www.bambeco.com
"
112,"http://www.bananarepublic.com/
"
113,"http://www.barenecessities.com/csi/default.asp?source=bizrate&term=ratings
"
114,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
115,"http://www.beallsflorida.com
"
116,"http://www.belk.com/
"
117,"http://www.betabrand.com
"
118,"http://www.bevmo.com
"
119,"http://www.bhphotovideo.com/?BI=82
"
120,"http://www.birchbox.com
"
121,"http://www.birkenstock.com/us
"
122,"http://www.bizchair.com
"
123,"http://www.black.co.uk
"
124,"http://www.blackbeltshop.us
"
125,"http://www.blackhelmetapparel.com
"
126,"http://www.blair.com
"
127,"http://www.blendmount.com
"
128,"http://www.blueandcream.com
"
129,"http://www.bluecosmo.com
"
130,"http://www.bluefly.com
"
131,"http://www.bodybuilding.com
"
132,"http://www.boscovs.com/
"
133,"http://www.bostonproper.com
"
134,"http://www.bradfordexchangechecks.com
"
135,"http://www.brayola.com
"
136,"http://www.brooksrunning.com
"
137,"http://www.brownells.com
"
138,"http://www.buckle.com
"
139,"http://www.build.com
"
140,"http://www.bulbhead.com
"
141,"http://www.buyathleisure.com/
"
142,"http://www.buybizsupplies.com
"
143,"http://www.calexotics.com
"
144,"http://www.californiapetpharmacy.com
"
145,"http://www.callawaygolf.com
"
146,"http://www.callawaygolfpreowned.com/?GCID=C1504x030
"
147,"http://www.carcovers.com
"
148,"http://www.carparts.com
"
149,"http://www.catsnus.com/
"
150,"http://www.cavenders.com
"
151,"http://www.cellphonecases.com
"
152,"http://www.cepcompression.com
"
153,"http://www.charlotterusse.com
"
154,"http://www.chewy.com
"
155,"http://www.chicos.com
"
156,"http://www.christianbookbag.com
"
157,"http://www.classicshapewear.com
"
158,"http://www.cleanitsupply.com
"
159,"http://www.cokesbury.com
"
160,"http://www.coolibar.com
"
161,"http://www.countrystorecatalog.com
"
162,"http://www.cpooutlets.com
"
163,"http://www.crateandbarrel.com
"
164,"http://www.crazycarlsdeals.com
"
165,"http://www.crocs.com
"
166,"http://www.crutchfield.com/I-rbizc000/index.html
"
167,"http://www.customthrowbackjerseys.com
"
168,"http://www.cyberteez.com
"
169,"http://www.cymax.com/
"
170,"http://www.dealyard.com
"
171,"http://www.deepdiscount.com
"
172,"http://www.dell.com
"
173,"http://www.deluxe.com
"
174,"http://www.denniskirk.com
"
175,"http://www.designeroptics.com
"
176,"http://www.diabeticstreatment.com/
"
177,"http://www.directvapor.com
"
178,"http://www.discountcatheters.com/
"
179,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
180,"http://www.discounttiredirect.com
"
181,"http://www.displays2go.com
"
182,"http://www.djpremium.com/
"
183,"http://www.doversaddlery.com
"
184,"http://www.drapers.com
"
185,"http://www.dreamsoftbedware.com
"
186,"http://www.driparmor.com/
"
187,"http://www.drleonards.com/
"
188,"http://www.dutchbulbs.com
"
189,"http://www.easyspirit.com
"
190,"http://www.efaucets.com
"
191,"http://www.efloors.com
"
192,"http://www.elephantwine.com
"
193,"http://www.elitemetaltools.com
"
194,"http://www.emerchantoutlet.com
"
195,"http://www.energysavinglighting.com
"
196,"http://www.ergoback.com
"
197,"http://www.esalon.com
"
198,"http://www.eshakti.com
"
199,"http://www.everestgear.com
"
200,"http://www.everythingbutwater.com
"
201,"http://www.expressionscatalog.com/
"
202,"http://www.fabletics.com
"
203,"http://www.fansedge.com/
"
204,"http://www.faucetdirect.com?/source=bizrate
"
205,"http://www.finelinens.com
"
206,"http://www.firecz.com
"
207,"http://www.fit-fresh.com
"
208,"http://www.fivebarkingdogs.com
"
209,"http://www.fossil.com/shopping/default.asp?Tier1=Shopping&PSID=bizfeedfslshop_ratingspage
"
210,"http://www.fragrancenet.com/fnet/index.html?mv_pc=bizrateMF
"
211,"http://www.franceandson.com
"
212,"http://www.freshnless.com
"
213,"http://www.freshwatersystems.com
"
