,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://www.DisneyStore.com
"
5,"http://www.abt.com
"
6,"http://www.acoutlet.shop/
"
7,"http://www.amazon.com
"
8,"http://www.amazon.com/
"
9,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
10,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
11,"http://www.belk.com/
"
12,"http://www.blair.com
"
13,"http://www.bluefly.com
"
14,"http://www.boscovs.com/
"
15,"http://www.build.com
"
16,"http://www.crateandbarrel.com
"
17,"http://www.emerchantoutlet.com
"
18,"http://www.ergoback.com
"
19,"http://www.groupon.com
"
20,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
21,"http://www.homedepot.com
"
22,"http://www.hottopic.com
"
23,"http://www.houzz.com
"
24,"http://www.jcpenney.com/
"
25,"http://www.katom.com
"
26,"http://www.kohls.com
"
27,"http://www.macys.com
"
28,"http://www.nordstromrack.com
"
29,"http://www.omahasteaks.com
"
30,"http://www.onlinemegamall.com
"
31,"http://www.qvc.com/
"
32,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
33,"http://www.sportsmanguide.com
"
34,"http://www.tobox.com
"
35,"http://www.tschome.com
"
36,"http://www.walmart.com
"
37,"http://www.wayfair.com
"
38,"http://www.webstaurantstore.com
"
39,"http://www.zulily.com
"
40,"https://acdecor.biz/
"
41,"https://bargainjunkie.com/
"
42,"https://gg-decor.com/
"
43,"https://renewgoo.com/
"
44,"https://www.alphabetdeal.com
"
45,"https://www.costway.com/
"
46,"https://www.fun.com
"
47,"https://www.hayneedle.com
"
48,"https://www.hlsproparts.com
"
49,"https://www.homedepot.com
"
50,"https://www.homesquare.com
"
51,"https://www.omahasteaks.com/shop/
"
52,"https://www.ruelala.com
"
