,Shops
0,"http://samsclub.com
"
1,"http://www.Adorama.com
"
2,"http://www.abt.com
"
3,"http://www.amazon.com
"
4,"http://www.amazon.com/
"
5,"http://www.autogeek.net
"
6,"http://www.build.com
"
7,"http://www.faucetdirect.com?/source=bizrate
"
8,"http://www.homedepot.com
"
9,"http://www.houzz.com
"
10,"http://www.katom.com
"
11,"http://www.macys.com
"
12,"http://www.respiratorycarestore.com/
"
13,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
14,"http://www.walmart.com
"
15,"http://www.wayfair.com
"
16,"http://www.webstaurantstore.com
"
17,"http://www.zoro.com
"
18,"https://www.acitydiscount.com
"
19,"https://www.homedepot.com
"
20,"https://www.trouva.com/
"
