,Shops
0,"http://brittandjules.com
"
1,"http://buymbs.com
"
2,"http://livingsocial.com
"
3,"http://my-bio-zen.com
"
4,"http://newlinkz.com
"
5,"http://poshmark.com
"
6,"http://samsclub.com
"
7,"http://shop.mlb.com/
"
8,"http://soccer.epicsports.com
"
9,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
10,"http://www.Adorama.com
"
11,"http://www.CatalogFavorites.com/
"
12,"http://www.DrsFosterSmith.com
"
13,"http://www.EdenMosaicTile.com
"
14,"http://www.Fanatics.com
"
15,"http://www.PartySpin.com
"
16,"http://www.SchoolOutfitters.com
"
17,"http://www.abt.com
"
18,"http://www.acoutlet.shop/
"
19,"http://www.amazon.com
"
20,"http://www.amazon.com/
"
21,"http://www.amsterdamprinting.com
"
22,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
23,"http://www.autogeek.net
"
24,"http://www.autopia-carcare.com
"
25,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
26,"http://www.beallsflorida.com
"
27,"http://www.belk.com/
"
28,"http://www.bestmaterials.com
"
29,"http://www.bizchair.com
"
30,"http://www.build.com
"
31,"http://www.buybizsupplies.com
"
32,"http://www.calibamboo.com
"
33,"http://www.cpooutlets.com
"
34,"http://www.cymax.com/
"
35,"http://www.deepdiscount.com
"
36,"http://www.designeroptics.com
"
37,"http://www.diamondbackfitnessoutlet.com/
"
38,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
39,"http://www.efaucets.com
"
40,"http://www.efloors.com
"
41,"http://www.emerchantoutlet.com
"
42,"http://www.envirobarrier.com
"
43,"http://www.faucetdirect.com?/source=bizrate
"
44,"http://www.franceandson.com
"
45,"http://www.freshnless.com
"
46,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
47,"http://www.greatmats.com
"
48,"http://www.groupon.com
"
49,"http://www.halloweencostumesupplystore.com
"
50,"http://www.highfashionhome.com
"
51,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
52,"http://www.homedepot.com
"
53,"http://www.houzz.com
"
54,"http://www.ifixit.com
"
55,"http://www.inthecompanyofdogs.com/
"
56,"http://www.jcpenney.com/
"
57,"http://www.jerrysartarama.com
"
58,"http://www.jmbullion.com/
"
59,"http://www.katom.com
"
60,"http://www.kohls.com
"
61,"http://www.layoffpain.com/
"
62,"http://www.lightingdirect.com
"
63,"http://www.llbean.com/
"
64,"http://www.lockandhinge.com
"
65,"http://www.macys.com
"
66,"http://www.mobilityequip.com/
"
67,"http://www.northerntool.com/
"
68,"http://www.oceansmall.net
"
69,"http://www.officefurniture2go.com
"
70,"http://www.officesupersavers.com
"
71,"http://www.overstock.com/cgi-bin/d2.cgi?cid=19516&fp=f
"
72,"http://www.peazzfurniture.com
"
73,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
74,"http://www.personalizationmall.com
"
75,"http://www.qvc.com/
"
76,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
77,"http://www.shein.com
"
78,"http://www.shindigz.com
"
79,"http://www.shoemall.com
"
80,"http://www.society6.com/
"
81,"http://www.sportsmanguide.com
"
82,"http://www.ssense.com
"
83,"http://www.stomabags.com/
"
84,"http://www.stumpsparty.com
"
85,"http://www.surrounding.com
"
86,"http://www.toolstoday.com
"
87,"http://www.totallyfurniture.com/
"
88,"http://www.touchofclass.com
"
89,"http://www.tscshops.com
"
90,"http://www.tsctoys.com
"
91,"http://www.vandykes.com
"
92,"http://www.vidaxl.com
"
93,"http://www.vivaterra.com
"
94,"http://www.walmart.com
"
95,"http://www.wayfair.com
"
96,"http://www.webstaurantstore.com
"
97,"http://www.whateverworks.com/
"
98,"http://www.wholesurgical.com/
"
99,"http://www.workoutz.com
"
100,"http://www.worldmarket.com
"
101,"http://www.zazzle.com
"
102,"http://www.zoro.com
"
103,"http://www.zulily.com
"
104,"https://acdecor.biz/
"
105,"https://gg-decor.com/
"
106,"https://pstpoolsupplies.com
"
107,"https://selletonscales.com
"
108,"https://www.MostlyDead.com
"
109,"https://www.amara.com
"
110,"https://www.aosom.com
"
111,"https://www.costway.com/
"
112,"https://www.crowdcontrolstore.com
"
113,"https://www.discountmugs.com
"
114,"https://www.epicpetster.com
"
115,"https://www.hayneedle.com
"
116,"https://www.homedepot.com
"
117,"https://www.homesquare.com
"
118,"https://www.hotelrestaurantsupply.com/
"
119,"https://www.marketcol.com
"
120,"https://www.matsmatsmats.com
"
121,"https://www.secondsale.com
"
122,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
123,"https://www.trouva.com/
"
124,"modernnest.com
"
125,"www.flooranddecor.com
"
126,"www.thebuilderdepot.com
"
