,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://soccer.epicsports.com
"
3,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
4,"http://www.Fanatics.com
"
5,"http://www.allposters.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.autogeek.net
"
9,"http://www.autopia-carcare.com
"
10,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
11,"http://www.belk.com/
"
12,"http://www.bizchair.com
"
13,"http://www.blueandcream.com
"
14,"http://www.bluefly.com
"
15,"http://www.emerchantoutlet.com
"
16,"http://www.halloweencostumesupplystore.com
"
17,"http://www.jcpenney.com/
"
18,"http://www.joesnewbalanceoutlet.com
"
19,"http://www.kohls.com
"
20,"http://www.llbean.com/
"
21,"http://www.macys.com
"
22,"http://www.motoin.de/index.php?language=en
"
23,"http://www.northerntool.com/
"
24,"http://www.partycheap.com
"
25,"http://www.shoemall.com
"
26,"http://www.sportsmanslogistics.com
"
27,"http://www.ssense.com
"
28,"http://www.underarmour.com
"
29,"http://www.walmart.com
"
30,"http://www.wayfair.com
"
31,"http://www.workoutz.com
"
32,"https://pstpoolsupplies.com
"
33,"https://scotsmanshield.com
"
34,"https://www.big5sportinggoods.com
"
35,"https://www.costway.com/
"
36,"https://www.hibbett.com/
"
37,"https://www.secondsale.com
"
38,"https://www.swaggsauce.com
"
39,"https://www.therealreal.com
"
40,"https://www.tillys.com
"
