,Shops
0,"http://gate4great.info/
"
1,"http://parkseed.com
"
2,"http://poshmark.com
"
3,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
4,"http://www.BarristerBooks.com
"
5,"http://www.allposters.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.americanbookwarehouse.com
"
9,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
10,"http://www.belk.com/
"
11,"http://www.cavenders.com
"
12,"http://www.deepdiscount.com
"
13,"http://www.discountcatheters.com/
"
14,"http://www.doversaddlery.com
"
15,"http://www.driparmor.com/
"
16,"http://www.dutchbulbs.com
"
17,"http://www.freshnless.com
"
18,"http://www.gliks.com
"
19,"http://www.halloweencostumesupplystore.com
"
20,"http://www.petco.com/Landing/RedirectSource.aspx?RedirectURL=http%3a%2f%2fwww.petco.com%3fcm_ven%3dbiz%26cm_cat%3d
"
21,"http://www.pyramidcollection.com/
"
22,"http://www.respiratorycarestore.com/
"
23,"http://www.spellbinderspaperarts.com
"
24,"http://www.ssense.com
"
25,"http://www.walmart.com
"
26,"http://www.wayfair.com
"
27,"http://www.wholesurgical.com/
"
28,"http://www.winechateau.com
"
29,"http://www.youngexplorers.com/
"
30,"http://www.zappos.com
"
31,"http://www.zazzle.com
"
32,"https://AutographsForSale.com
"
33,"https://www.fun.com
"
34,"https://www.italist.com/en/
"
35,"https://www.secondsale.com
"
36,"https://www.therealreal.com
"
37,"https://www.tillys.com
"
38,"https://www.trendsavvy.com
"
39,"https://www.trouva.com/
"
