,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://www.6ave.com
"
4,"http://www.Adorama.com
"
5,"http://www.SchoolOutfitters.com
"
6,"http://www.abt.com
"
7,"http://www.airturn.com/
"
8,"http://www.amazon.com
"
9,"http://www.amazon.com/
"
10,"http://www.bhphotovideo.com/?BI=82
"
11,"http://www.bizchair.com
"
12,"http://www.buybizsupplies.com
"
13,"http://www.crutchfield.com/I-rbizc000/index.html
"
14,"http://www.dell.com
"
15,"http://www.displays2go.com
"
16,"http://www.emerchantoutlet.com
"
17,"http://www.gamestop.com
"
18,"http://www.gearclubdirect.com
"
19,"http://www.groupon.com
"
20,"http://www.halloweencostumesupplystore.com
"
21,"http://www.homedepot.com
"
22,"http://www.homegoodscenter.com
"
23,"http://www.interstatemusic.com
"
24,"http://www.jcpenney.com/
"
25,"http://www.kohls.com
"
26,"http://www.larsonelectronics.com
"
27,"http://www.macys.com
"
28,"http://www.motoin.de/index.php?language=en
"
29,"http://www.mpb.com/en-us
"
30,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
31,"http://www.oceansmall.net
"
32,"http://www.onlinelivingaids.com/
"
33,"http://www.onlinemegamall.com
"
34,"http://www.peazz.com
"
35,"http://www.qvc.com/
"
36,"http://www.ritzcamera.com
"
37,"http://www.seismicaudiospeakers.com
"
38,"http://www.supsave.com
"
39,"http://www.sweetwater.com
"
40,"http://www.tschome.com
"
41,"http://www.tscshops.com
"
42,"http://www.tsctoys.com
"
43,"http://www.walmart.com
"
44,"http://www.zoro.com
"
45,"https://www.costway.com/
"
46,"https://www.dhgate.com/
"
47,"https://www.homedepot.com
"
48,"https://www.lightbulbs.com
"
49,"https://www.secondsale.com
"
50,"https://www.toyorb.com
"
51,"www.crutchfield.com
"
