,Shops
0,"http://discountdecorativeflags.com
"
1,"http://livingsocial.com
"
2,"http://luxycouture.com
"
3,"http://poshmark.com
"
4,"http://samsclub.com
"
5,"http://shop.mlb.com/
"
6,"http://shop.nhl.com
"
7,"http://soccer.epicsports.com
"
8,"http://store.nba.com/
"
9,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
10,"http://www.Adorama.com
"
11,"http://www.Educents.com
"
12,"http://www.Fanatics.com
"
13,"http://www.MidwayUSA.com
"
14,"http://www.UtahSkis.com
"
15,"http://www.abercrombie.com
"
16,"http://www.amazon.com
"
17,"http://www.amazon.com/
"
18,"http://www.autogeek.net
"
19,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
20,"http://www.backinthesaddle.com/
"
21,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
22,"http://www.belk.com/
"
23,"http://www.bizchair.com
"
24,"http://www.bluefly.com
"
25,"http://www.boscovs.com/
"
26,"http://www.bostonproper.com
"
27,"http://www.brownells.com
"
28,"http://www.cavenders.com
"
29,"http://www.charlotterusse.com
"
30,"http://www.classicshapewear.com
"
31,"http://www.cyberteez.com
"
32,"http://www.deepdiscount.com
"
33,"http://www.designeroptics.com
"
34,"http://www.doversaddlery.com
"
35,"http://www.emerchantoutlet.com
"
36,"http://www.everestgear.com
"
37,"http://www.fansedge.com/
"
38,"http://www.freshnless.com
"
39,"http://www.gliks.com
"
40,"http://www.groupon.com
"
41,"http://www.halloweencostumesupplystore.com
"
42,"http://www.herroom.com
"
43,"http://www.homedepot.com
"
44,"http://www.hottopic.com
"
45,"http://www.houzz.com
"
46,"http://www.indochino.com
"
47,"http://www.inthecompanyofdogs.com/
"
48,"http://www.jcpenney.com/
"
49,"http://www.joesnewbalanceoutlet.com
"
50,"http://www.joylot.com
"
51,"http://www.kohls.com
"
52,"http://www.layoffpain.com/
"
53,"http://www.lightingdirect.com
"
54,"http://www.lyst.com
"
55,"http://www.macys.com
"
56,"http://www.magellans.com
"
57,"http://www.maurices.com
"
58,"http://www.mountainsteals.com
"
59,"http://www.mrwatch.com
"
60,"http://www.net-a-porter.com
"
61,"http://www.newbalance.com
"
62,"http://www.nordstromrack.com
"
63,"http://www.nunnbush.com
"
64,"http://www.oceansmall.net
"
65,"http://www.officesupersavers.com
"
66,"http://www.onlinemegamall.com
"
67,"http://www.orange-traffic-cones.com
"
68,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
69,"http://www.pinzoo.com
"
70,"http://www.pyramidcollection.com/
"
71,"http://www.saksoff5th.com
"
72,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
73,"http://www.shindigz.com
"
74,"http://www.slothwingties.com
"
75,"http://www.society6.com/
"
76,"http://www.sportscollectibles.com
"
77,"http://www.sportsmanguide.com
"
78,"http://www.spyder.com/
"
79,"http://www.ssense.com
"
80,"http://www.stomabags.com/
"
81,"http://www.stumpsparty.com
"
82,"http://www.swimoutlet.com
"
83,"http://www.teamstores.com
"
84,"http://www.teamusashop.com/
"
85,"http://www.thredup.com
"
86,"http://www.titlenine.com
"
87,"http://www.underarmour.com
"
88,"http://www.us.purecollection.com
"
89,"http://www.voler.com
"
90,"http://www.walmart.com
"
91,"http://www.wayfair.com
"
92,"http://www.workoutz.com
"
93,"http://www.yandy.com
"
94,"http://www.yoox.com
"
95,"http://www.zappos.com
"
96,"http://www.zazzle.com
"
97,"http://www.zoro.com
"
98,"http://www.zulily.com
"
99,"https://AutographsForSale.com
"
100,"https://daytshirt.com
"
101,"https://goop.com
"
102,"https://pairofshoes.com
"
103,"https://pstpoolsupplies.com
"
104,"https://renewgoo.com/
"
105,"https://www.big5sportinggoods.com
"
106,"https://www.bigtopshirtshop.com
"
107,"https://www.chicksaddlery.com
"
108,"https://www.converse.com
"
109,"https://www.costbuys.com
"
110,"https://www.costway.com/
"
111,"https://www.discountmugs.com
"
112,"https://www.epicpetster.com
"
113,"https://www.fun.com
"
114,"https://www.hibbett.com/
"
115,"https://www.homedepot.com
"
116,"https://www.italist.com/en/
"
117,"https://www.marksandspencer.com/us/
"
118,"https://www.matsmatsmats.com
"
119,"https://www.minnowandmars.com/
"
120,"https://www.mountainwarehouse.com/us/
"
121,"https://www.reebok.com
"
122,"https://www.secondsale.com
"
123,"https://www.shoes.com
"
124,"https://www.skechers.com/en-us/
"
125,"https://www.sportsmans.com/
"
126,"https://www.therealreal.com
"
127,"https://www.threadsquad.com
"
128,"https://www.trouva.com/
"
129,"https://www.uniqlo.com/us/en/home/
"
130,"www.nflshop.com
"
131,"www.ssense.com
"
