,Shops
0,"http://apartysource.com
"
1,"http://bakersauthority.com
"
2,"http://brittandjules.com
"
3,"http://decorzee.com
"
4,"http://livingsocial.com
"
5,"http://my-bio-zen.com
"
6,"http://poshmark.com
"
7,"http://samsclub.com
"
8,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
9,"http://theelegantoffice.com
"
10,"http://www.Adorama.com
"
11,"http://www.CB2.com
"
12,"http://www.CatalogFavorites.com/
"
13,"http://www.CenturyNovelty.com
"
14,"http://www.DisneyStore.com
"
15,"http://www.DrsFosterSmith.com
"
16,"http://www.Fanatics.com
"
17,"http://www.JustArtifacts.net
"
18,"http://www.Lenox.com
"
19,"http://www.abt.com
"
20,"http://www.allposters.com
"
21,"http://www.amazon.com
"
22,"http://www.amazon.com/
"
23,"http://www.amsterdamprinting.com
"
24,"http://www.aninebing.com/
"
25,"http://www.ballarddesigns.com
"
26,"http://www.bambeco.com
"
27,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
28,"http://www.beallsflorida.com
"
29,"http://www.belk.com/
"
30,"http://www.bizchair.com
"
31,"http://www.black.co.uk
"
32,"http://www.blair.com
"
33,"http://www.bluefly.com
"
34,"http://www.boscovs.com/
"
35,"http://www.build.com
"
36,"http://www.buybizsupplies.com
"
37,"http://www.cavenders.com
"
38,"http://www.chewy.com
"
39,"http://www.chicos.com
"
40,"http://www.countrystorecatalog.com
"
41,"http://www.crateandbarrel.com
"
42,"http://www.displays2go.com
"
43,"http://www.dreamsoftbedware.com
"
44,"http://www.efaucets.com
"
45,"http://www.emerchantoutlet.com
"
46,"http://www.expressionscatalog.com/
"
47,"http://www.fansedge.com/
"
48,"http://www.faucetdirect.com?/source=bizrate
"
49,"http://www.finelinens.com
"
50,"http://www.franceandson.com
"
51,"http://www.freshnless.com
"
52,"http://www.frontgate.com/jump.jsp?itemID=162&itemType=HOME_PAGE&k=ZZ50921
"
53,"http://www.golfshopplus.com
"
54,"http://www.groupon.com
"
55,"http://www.halloweencostumesupplystore.com
"
56,"http://www.hautelook.com
"
57,"http://www.highfashionhome.com
"
58,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
59,"http://www.homedepot.com
"
60,"http://www.homegoodscenter.com
"
61,"http://www.houzz.com
"
62,"http://www.jcpenney.com/
"
63,"http://www.jenniferadams.com
"
64,"http://www.katespade.com
"
65,"http://www.katom.com
"
66,"http://www.kohls.com
"
67,"http://www.kotulas.com
"
68,"http://www.lightingdirect.com
"
69,"http://www.luckyvitamin.com
"
70,"http://www.lyst.com
"
71,"http://www.macys.com
"
72,"http://www.madisonseating.com
"
73,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
74,"http://www.net-a-porter.com
"
75,"http://www.nordstromrack.com
"
76,"http://www.northerntool.com/
"
77,"http://www.novica.com
"
78,"http://www.officesupersavers.com
"
79,"http://www.onlinemegamall.com
"
80,"http://www.partycheap.com
"
81,"http://www.peazzfurniture.com
"
82,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
83,"http://www.personalizationmall.com
"
84,"http://www.qvc.com/
"
85,"http://www.replacements.com
"
86,"http://www.roomstogokids.com
"
87,"http://www.rosegal.com
"
88,"http://www.saksoff5th.com
"
89,"http://www.sawesometoys.com
"
90,"http://www.scoutandnimble.com
"
91,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
92,"http://www.serengeticatalog.com/
"
93,"http://www.shein.com
"
94,"http://www.shindigz.com
"
95,"http://www.society6.com/
"
96,"http://www.sportsmanguide.com
"
97,"http://www.ssense.com
"
98,"http://www.stumpsparty.com
"
99,"http://www.thestitchery.com/
"
100,"http://www.tobox.com
"
101,"http://www.tommybahama.com
"
102,"http://www.toryburch.com
"
103,"http://www.totallyfurniture.com/
"
104,"http://www.touchofclass.com
"
105,"http://www.tschome.com
"
106,"http://www.tscshops.com
"
107,"http://www.vivaterra.com
"
108,"http://www.walmart.com
"
109,"http://www.wayfair.com
"
110,"http://www.webstaurantstore.com
"
111,"http://www.whateverworks.com/
"
112,"http://www.wholesurgical.com/
"
113,"http://www.winechateau.com
"
114,"http://www.worldmarket.com
"
115,"http://www.yoox.com
"
116,"http://www.zazzle.com
"
117,"http://www.zoro.com
"
118,"http://www.zoro1.com
"
119,"http://www.zulily.com
"
120,"https://acdecor.biz/
"
121,"https://gg-decor.com/
"
122,"https://goop.com
"
123,"https://renewgoo.com/
"
124,"https://shop.bikini.com
"
125,"https://store12373258.ecwid.com/
"
126,"https://webstore.northsails.com/us/en/homepage
"
127,"https://www.amara.com
"
128,"https://www.chicksaddlery.com
"
129,"https://www.costbuys.com
"
130,"https://www.costway.com/
"
131,"https://www.couturecandy.com
"
132,"https://www.discountmugs.com
"
133,"https://www.draperjames.com/
"
134,"https://www.hayneedle.com
"
135,"https://www.homedepot.com
"
136,"https://www.italist.com/en/
"
137,"https://www.lightbulbs.com
"
138,"https://www.marketcol.com
"
139,"https://www.marksandspencer.com/us/
"
140,"https://www.mileskimball.com
"
141,"https://www.parachutehome.com
"
142,"https://www.raise.com/
"
143,"https://www.ruelala.com
"
144,"https://www.therealreal.com
"
145,"https://www.trouva.com/
"
146,"https://www.zgallerie.com/
"
