,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://parkseed.com
"
3,"http://poshmark.com
"
4,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
5,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
6,"http://www.Adorama.com
"
7,"http://www.BarristerBooks.com
"
8,"http://www.allposters.com
"
9,"http://www.amazon.com
"
10,"http://www.amazon.com/
"
11,"http://www.americanbookwarehouse.com
"
12,"http://www.autopia-carcare.com
"
13,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
14,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
15,"http://www.cellphonecases.com
"
16,"http://www.christianbookbag.com
"
17,"http://www.deepdiscount.com
"
18,"http://www.dutchbulbs.com
"
19,"http://www.emerchantoutlet.com
"
20,"http://www.freshnless.com
"
21,"http://www.gamestop.com
"
22,"http://www.halloweencostumes.com
"
23,"http://www.halloweencostumesupplystore.com
"
24,"http://www.hottopic.com
"
25,"http://www.jcpenney.com/
"
26,"http://www.lightingdirect.com
"
27,"http://www.oceansmall.net
"
28,"http://www.qvc.com/
"
29,"http://www.respiratorycarestore.com/
"
30,"http://www.shindigz.com
"
31,"http://www.sportscollectibles.com
"
32,"http://www.ssense.com
"
33,"http://www.stomabags.com/
"
34,"http://www.stumpsparty.com
"
35,"http://www.thinkcooltoys.com
"
36,"http://www.walmart.com
"
37,"http://www.wayfair.com
"
38,"http://www.winechateau.com
"
39,"http://www.youngexplorers.com/
"
40,"http://www.zazzle.com
"
41,"https://AutographsForSale.com
"
42,"https://renewgoo.com/
"
43,"https://www.MostlyDead.com
"
44,"https://www.cozzoo.com/
"
45,"https://www.eneba.com
"
46,"https://www.fun.com
"
47,"https://www.naughtydelight.com
"
48,"https://www.orientaloutpost.com
"
49,"https://www.secondsale.com
"
50,"https://www.sportsmans.com/
"
51,"https://www.swaggsauce.com
"
52,"https://www.trouva.com/
"
