,Shops
0,"http://bakersauthority.com
"
1,"http://brittandjules.com
"
2,"http://gate4great.info/
"
3,"http://gurneys.com
"
4,"http://livingsocial.com
"
5,"http://myvaporclean.com
"
6,"http://northshorefaucets.com
"
7,"http://poshmark.com
"
8,"http://samsclub.com
"
9,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
10,"http://www.Adorama.com
"
11,"http://www.DrsFosterSmith.com
"
12,"http://www.ElectricGeneratorDepot.com
"
13,"http://www.Fanatics.com
"
14,"http://www.Lenox.com
"
15,"http://www.MidwayUSA.com
"
16,"http://www.PulseTV.com
"
17,"http://www.ReStockIt.com
"
18,"http://www.abbapatio.com/
"
19,"http://www.abt.com
"
20,"http://www.acoutlet.shop/
"
21,"http://www.allposters.com
"
22,"http://www.amazon.com
"
23,"http://www.amazon.com/
"
24,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
25,"http://www.autogeek.net
"
26,"http://www.autopartswarehouse.com
"
27,"http://www.autopia-carcare.com
"
28,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
29,"http://www.bambeco.com
"
30,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
31,"http://www.beallsflorida.com
"
32,"http://www.belk.com/
"
33,"http://www.bhphotovideo.com/?BI=82
"
34,"http://www.bizchair.com
"
35,"http://www.blackbeltshop.us
"
36,"http://www.blendmount.com
"
37,"http://www.boscovs.com/
"
38,"http://www.brownells.com
"
39,"http://www.build.com
"
40,"http://www.buybizsupplies.com
"
41,"http://www.carparts.com
"
42,"http://www.chewy.com
"
43,"http://www.cleanitsupply.com
"
44,"http://www.cpooutlets.com
"
45,"http://www.crateandbarrel.com
"
46,"http://www.crazycarlsdeals.com
"
47,"http://www.crutchfield.com/I-rbizc000/index.html
"
48,"http://www.cymax.com/
"
49,"http://www.deepdiscount.com
"
50,"http://www.deluxe.com
"
51,"http://www.directvapor.com
"
52,"http://www.doversaddlery.com
"
53,"http://www.driparmor.com/
"
54,"http://www.efaucets.com
"
55,"http://www.efloors.com
"
56,"http://www.elitemetaltools.com
"
57,"http://www.emerchantoutlet.com
"
58,"http://www.ezvacuum.com
"
59,"http://www.factoryoutletstore.com
"
60,"http://www.freshnless.com
"
61,"http://www.freshwatersystems.com
"
62,"http://www.groupon.com
"
63,"http://www.halloweencostumesupplystore.com
"
64,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
65,"http://www.homedepot.com
"
66,"http://www.homegoodscenter.com
"
67,"http://www.hottopic.com
"
68,"http://www.houzz.com
"
69,"http://www.interstatemusic.com
"
70,"http://www.jcpenney.com/
"
71,"http://www.katom.com
"
72,"http://www.kinkytoy.store
"
73,"http://www.kohls.com
"
74,"http://www.kotulas.com
"
75,"http://www.layoffpain.com/
"
76,"http://www.lightingdirect.com
"
77,"http://www.lockandhinge.com
"
78,"http://www.luckyvitamin.com
"
79,"http://www.macys.com
"
80,"http://www.mobilityequip.com/
"
81,"http://www.motoin.de/index.php?language=en
"
82,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
83,"http://www.myboelter.com
"
84,"http://www.naturewoo.com/
"
85,"http://www.newegg.com
"
86,"http://www.northerntool.com/
"
87,"http://www.oceansmall.net
"
88,"http://www.officesupersavers.com
"
89,"http://www.onlinemegamall.com
"
90,"http://www.oralprecision.com/
"
91,"http://www.overstock.com/cgi-bin/d2.cgi?cid=19516&fp=f
"
92,"http://www.partsgeek.com
"
93,"http://www.peazz.com
"
94,"http://www.peets.com/
"
95,"http://www.pyramidcollection.com/
"
96,"http://www.qvc.com/
"
97,"http://www.replacements.com
"
98,"http://www.respiratorycarestore.com/
"
99,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
100,"http://www.shein.com
"
101,"http://www.shoemall.com
"
102,"http://www.sportsmanguide.com
"
103,"http://www.ssense.com
"
104,"http://www.stomabags.com/
"
105,"http://www.surrounding.com
"
106,"http://www.sweetwater.com
"
107,"http://www.sylvane.com
"
108,"http://www.thedogsupplyco.com
"
109,"http://www.tschome.com
"
110,"http://www.tscshops.com
"
111,"http://www.valleyvet.com
"
112,"http://www.vidaxl.com
"
113,"http://www.walmart.com
"
114,"http://www.wayfair.com
"
