,Shops
0,"http://livingsocial.com
"
1,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
2,"http://www.Adorama.com
"
3,"http://www.abt.com
"
4,"http://www.amazon.com
"
5,"http://www.amazon.com/
"
6,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
7,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
8,"http://www.bhphotovideo.com/?BI=82
"
9,"http://www.bossaudio.com
"
10,"http://www.crazycarlsdeals.com
"
11,"http://www.crutchfield.com/I-rbizc000/index.html
"
12,"http://www.denniskirk.com
"
13,"http://www.emerchantoutlet.com
"
14,"http://www.homedepot.com
"
15,"http://www.houzz.com
"
16,"http://www.interstatemusic.com
"
17,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
18,"http://www.oceansmall.net
"
19,"http://www.peazz.com
"
20,"http://www.seismicaudiospeakers.com
"
21,"http://www.sonicelectronix.com
"
22,"http://www.sweetwater.com
"
23,"http://www.tschome.com
"
24,"http://www.walmart.com
"
25,"http://www.wholesurgical.com/
"
26,"https://www.cjponyparts.com/
"
27,"https://www.dhgate.com/
"
28,"https://www.homedepot.com
"
29,"https://www.sportsmans.com/
"
30,"www.crutchfield.com
"
