,Shops
0,"http://brittandjules.com
"
1,"http://discountdecorativeflags.com
"
2,"http://livingsocial.com
"
3,"http://movieszeries.myshopify.com
"
4,"http://parkseed.com
"
5,"http://poshmark.com
"
6,"http://soccer.epicsports.com
"
7,"http://store.scholastic.com
"
8,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
9,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
10,"http://www.Adorama.com
"
11,"http://www.CatalogFavorites.com/
"
12,"http://www.DisneyStore.com
"
13,"http://www.Educents.com
"
14,"http://www.Lenox.com
"
15,"http://www.allposters.com
"
16,"http://www.amazon.com
"
17,"http://www.amazon.com/
"
18,"http://www.americanbookwarehouse.com
"
19,"http://www.backinthesaddle.com/
"
20,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
21,"http://www.beallsflorida.com
"
22,"http://www.bluefly.com
"
23,"http://www.boscovs.com/
"
24,"http://www.canadapetproducts.com
"
25,"http://www.christianbookbag.com
"
26,"http://www.cyberteez.com
"
27,"http://www.deepdiscount.com
"
28,"http://www.doversaddlery.com
"
29,"http://www.emerchantoutlet.com
"
30,"http://www.fitzulas.com
"
31,"http://www.fivebarkingdogs.com
"
32,"http://www.freshnless.com
"
33,"http://www.fromyouflowers.com
"
34,"http://www.gamestop.com
"
35,"http://www.groupon.com
"
36,"http://www.halloweencostumes.com
"
37,"http://www.halloweencostumesupplystore.com
"
38,"http://www.hottopic.com
"
39,"http://www.interstatemusic.com
"
40,"http://www.jcpenney.com/
"
41,"http://www.joylot.com
"
42,"http://www.kohls.com
"
43,"http://www.layoffpain.com/
"
44,"http://www.lightingdirect.com
"
45,"http://www.luggagepros.com
"
46,"http://www.macys.com
"
47,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
48,"http://www.oceansmall.net
"
49,"http://www.onlinelivingaids.com/
"
50,"http://www.onlinemegamall.com
"
51,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
52,"http://www.puppethut.com
"
53,"http://www.qvc.com/
"
54,"http://www.respiratorycarestore.com/
"
55,"http://www.rosegal.com
"
56,"http://www.sawesometoys.com
"
57,"http://www.shindigz.com
"
58,"http://www.society6.com/
"
59,"http://www.ssense.com
"
60,"http://www.stumpsparty.com
"
61,"http://www.thinkcooltoys.com
"
62,"http://www.tscshops.com
"
63,"http://www.tsctoys.com
"
64,"http://www.walmart.com
"
65,"http://www.wayfair.com
"
66,"http://www.wholesurgical.com/
"
67,"http://www.winechateau.com
"
68,"http://www.youngexplorers.com/
"
69,"http://www.zappos.com
"
70,"http://www.zulily.com
"
71,"https://acdecor.biz/
"
72,"https://bargainjunkie.com/
"
73,"https://gg-decor.com/
"
74,"https://goop.com
"
75,"https://ironandresin.com/
"
76,"https://pstpoolsupplies.com
"
77,"https://webstore.northsails.com/us/en/homepage
"
78,"https://www.cozzoo.com/
"
79,"https://www.dhgate.com/
"
80,"https://www.discountmugs.com
"
81,"https://www.epicpetster.com
"
82,"https://www.fun.com
"
83,"https://www.marketcol.com
"
84,"https://www.omahasteaks.com/shop/
"
85,"https://www.ruelala.com
"
86,"https://www.secondsale.com
"
87,"https://www.springhillnursery.com
"
88,"https://www.threadsquad.com
"
89,"https://www.tillys.com
"
90,"https://www.toyorb.com
"
91,"https://www.trouva.com/
"
