,Shops
0,"http://adameve.com
"
1,"http://livingsocial.com
"
2,"http://parkseed.com
"
3,"http://poshmark.com
"
4,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
5,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
6,"http://www.Educents.com
"
7,"http://www.MidwayUSA.com
"
8,"http://www.PulseTV.com
"
9,"http://www.allposters.com
"
10,"http://www.amazon.com
"
11,"http://www.amazon.com/
"
12,"http://www.americanbookwarehouse.com
"
13,"http://www.backinthesaddle.com/
"
14,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
15,"http://www.belk.com/
"
16,"http://www.berries.com
"
17,"http://www.bluefly.com
"
18,"http://www.christianbookbag.com
"
19,"http://www.cyberteez.com
"
20,"http://www.deepdiscount.com
"
21,"http://www.directvapor.com
"
22,"http://www.emerchantoutlet.com
"
23,"http://www.freshnless.com
"
24,"http://www.gamestop.com
"
25,"http://www.halloweencostumes.com
"
26,"http://www.halloweencostumesupplystore.com
"
27,"http://www.kohls.com
"
28,"http://www.lightingdirect.com
"
29,"http://www.petco.com/Landing/RedirectSource.aspx?RedirectURL=http%3a%2f%2fwww.petco.com%3fcm_ven%3dbiz%26cm_cat%3d
"
30,"http://www.petsupplies4less.com
"
31,"http://www.qvc.com/
"
32,"http://www.respiratorycarestore.com/
"
33,"http://www.sportscollectibles.com
"
34,"http://www.ssense.com
"
35,"http://www.thinkcooltoys.com
"
36,"http://www.walmart.com
"
37,"http://www.zazzle.com
"
38,"https://AutographsForSale.com
"
39,"https://gg-decor.com/
"
40,"https://goop.com
"
41,"https://renewgoo.com/
"
42,"https://www.amara.com
"
43,"https://www.costbuys.com
"
44,"https://www.cozzoo.com/
"
45,"https://www.fun.com
"
46,"https://www.naughtydelight.com
"
47,"https://www.ruelala.com
"
48,"https://www.secondsale.com
"
49,"https://www.threadsquad.com
"
50,"https://www.tillys.com
"
51,"https://www.trouva.com/
"
