,Shops
0,"http://WWW.VITATENT.COM
"
1,"http://bakersauthority.com
"
2,"http://brittandjules.com
"
3,"http://carhartt.com
"
4,"http://closetsauce.com
"
5,"http://gate4great.info/
"
6,"http://gurneys.com
"
7,"http://livingsocial.com
"
8,"http://my-bio-zen.com
"
9,"http://parkseed.com
"
10,"http://poshmark.com
"
11,"http://samsclub.com
"
12,"http://shop.mlb.com/
"
13,"http://shop.nhl.com
"
14,"http://soccer.epicsports.com
"
15,"http://store.nba.com/
"
16,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
17,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
18,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
19,"http://store.yahoo.com/cgi-bin/clink?vitasprings+QpULg7+index.html
"
20,"http://wintersilks.com
"
21,"http://www.1800petmeds.com
"
22,"http://www.Adorama.com
"
23,"http://www.CatalogFavorites.com/
"
24,"http://www.DisneyStore.com
"
25,"http://www.DrsFosterSmith.com
"
26,"http://www.Educents.com
"
27,"http://www.Fanatics.com
"
28,"http://www.JustArtifacts.net
"
29,"http://www.LambertVetSupply.com
"
30,"http://www.Lenox.com
"
31,"http://www.MidwayUSA.com
"
32,"http://www.PartySpin.com
"
33,"http://www.SchoolOutfitters.com
"
34,"http://www.agrisupply.com
"
35,"http://www.allivet.com
"
36,"http://www.allposters.com
"
37,"http://www.amazon.com
"
38,"http://www.amazon.com/
"
39,"http://www.amsterdamprinting.com
"
40,"http://www.appoutdoors.com
"
41,"http://www.arkdiscountpetsupplies.com
"
42,"http://www.ashleystewart.com
"
43,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
44,"http://www.autogeek.net
"
45,"http://www.autopia-carcare.com
"
46,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
47,"http://www.backinthesaddle.com/
"
48,"http://www.ballarddesigns.com
"
49,"http://www.bambeco.com
"
50,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
51,"http://www.beallsflorida.com
"
52,"http://www.belk.com/
"
53,"http://www.betterhealthinternational.com/
"
54,"http://www.bevmo.com
"
55,"http://www.bizchair.com
"
56,"http://www.bluefly.com
"
57,"http://www.boscovs.com/
"
58,"http://www.brownells.com
"
59,"http://www.budgetpetcare.com
"
60,"http://www.build.com
"
61,"http://www.californiapetpharmacy.com
"
62,"http://www.canadapetcare.com
"
63,"http://www.canadavetexpress.com
"
64,"http://www.candymachines.com
"
65,"http://www.catsnus.com/
"
66,"http://www.chewy.com
"
67,"http://www.classicshapewear.com
"
68,"http://www.countrystorecatalog.com
"
69,"http://www.crateandbarrel.com
"
70,"http://www.crutchfield.com/I-rbizc000/index.html
"
71,"http://www.cymax.com/
"
72,"http://www.deepdiscount.com
"
73,"http://www.dogtrainerstore.com
"
74,"http://www.doversaddlery.com
"
75,"http://www.efaucets.com
"
76,"http://www.elephantwine.com
"
77,"http://www.emerchantoutlet.com
"
78,"http://www.everestgear.com
"
79,"http://www.expressionscatalog.com/
"
80,"http://www.fairpricenow.com
"
81,"http://www.fansedge.com/
"
82,"http://www.faucetdirect.com?/source=bizrate
"
83,"http://www.finelinens.com
"
84,"http://www.fivebarkingdogs.com
"
85,"http://www.franceandson.com
"
86,"http://www.freshnless.com
"
87,"http://www.gamestop.com
"
88,"http://www.gardensalive.com
"
89,"http://www.gliks.com
"
90,"http://www.gnc.com
"
91,"http://www.golfshopplus.com
"
