,Shops
0,"http://bakersauthority.com
"
1,"http://discountdecorativeflags.com
"
2,"http://linksoul.com
"
3,"http://livingsocial.com
"
4,"http://poshmark.com
"
5,"http://samsclub.com
"
6,"http://shop.mlb.com/
"
7,"http://shop.nhl.com
"
8,"http://soccer.epicsports.com
"
9,"http://store.nba.com/
"
10,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
11,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
12,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
13,"http://www.Adorama.com
"
14,"http://www.Everymemorabilia.com
"
15,"http://www.Fanatics.com
"
16,"http://www.LambertVetSupply.com
"
17,"http://www.MidwayUSA.com
"
18,"http://www.SchoolOutfitters.com
"
19,"http://www.allposters.com
"
20,"http://www.amazon.com
"
21,"http://www.amazon.com/
"
22,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
23,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
24,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
25,"http://www.belk.com/
"
26,"http://www.bhphotovideo.com/?BI=82
"
27,"http://www.bizchair.com
"
28,"http://www.blackbeltshop.us
"
29,"http://www.boscovs.com/
"
30,"http://www.cellphonecases.com
"
31,"http://www.charlotterusse.com
"
32,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
33,"http://www.doversaddlery.com
"
34,"http://www.emerchantoutlet.com
"
35,"http://www.fansedge.com/
"
36,"http://www.gliks.com
"
37,"http://www.groupon.com
"
38,"http://www.halloweencostumes.com
"
39,"http://www.halloweencostumesupplystore.com
"
40,"http://www.homedepot.com
"
41,"http://www.houzz.com
"
42,"http://www.indochino.com
"
43,"http://www.jcpenney.com/
"
44,"http://www.joylot.com
"
45,"http://www.kohls.com
"
46,"http://www.kungfu4less.com
"
47,"http://www.layoffpain.com/
"
48,"http://www.lightingdirect.com
"
49,"http://www.lyst.com
"
50,"http://www.macys.com
"
51,"http://www.mobilityequip.com/
"
52,"http://www.motoin.de/index.php?language=en
"
53,"http://www.nordstromrack.com
"
54,"http://www.oceansmall.net
"
55,"http://www.officesupersavers.com
"
56,"http://www.oralprecision.com/
"
57,"http://www.partycheap.com
"
58,"http://www.peterglenn.com
"
59,"http://www.qvc.com/
"
60,"http://www.respiratorycarestore.com/
"
61,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
62,"http://www.shindigz.com
"
63,"http://www.shoemall.com
"
64,"http://www.slothwingties.com
"
65,"http://www.sportscollectibles.com
"
66,"http://www.sportsmanguide.com
"
67,"http://www.ssense.com
"
68,"http://www.stomabags.com/
"
69,"http://www.stumpsparty.com
"
70,"http://www.teamstores.com
"
71,"http://www.teamusashop.com/
"
72,"http://www.thredup.com
"
73,"http://www.tschome.com
"
74,"http://www.tsctoys.com
"
75,"http://www.underarmour.com
"
76,"http://www.voler.com
"
77,"http://www.walmart.com
"
78,"http://www.wayfair.com
"
79,"http://www.wholesurgical.com/
"
80,"http://www.workoutz.com
"
81,"http://www.zappos.com
"
82,"http://www.zazzle.com
"
83,"http://www.zoro.com
"
84,"http://www.zulily.com
"
85,"https://AutographsForSale.com
"
86,"https://renewgoo.com/
"
87,"https://shop.ballislife.com
"
88,"https://www.MostlyDead.com
"
89,"https://www.balfour.com
"
90,"https://www.big5sportinggoods.com
"
91,"https://www.coedstore.co/
"
92,"https://www.costbuys.com
"
93,"https://www.cufflinksdepot.com/
"
94,"https://www.datavision.com
"
95,"https://www.discountmugs.com
"
96,"https://www.fun.com
"
97,"https://www.hayneedle.com
"
98,"https://www.hibbett.com/
"
99,"https://www.hlsproparts.com
"
100,"https://www.homedepot.com
"
101,"https://www.homeshoppingmalls.com/
"
102,"https://www.secondsale.com
"
103,"https://www.shoes.com
"
104,"https://www.shoppingzoneplus.com
"
105,"https://www.sportsmans.com/
"
106,"https://www.therealreal.com
"
107,"https://www.toyorb.com
"
108,"https://www.trouva.com/
"
109,"https://www.wodfitters.com/
"
110,"www.nflshop.com
"
111,"www.ssense.com
"
