,Shops
0,"http://gurneys.com
"
1,"http://livingsocial.com
"
2,"http://parkseed.com
"
3,"http://poshmark.com
"
4,"http://samsclub.com
"
5,"http://www.Educents.com
"
6,"http://www.allposters.com
"
7,"http://www.amazon.com
"
8,"http://www.amazon.com/
"
9,"http://www.americanbookwarehouse.com
"
10,"http://www.bambeco.com
"
11,"http://www.berries.com
"
12,"http://www.deepdiscount.com
"
13,"http://www.gardensalive.com
"
14,"http://www.halloweencostumesupplystore.com
"
15,"http://www.highfashionhome.com
"
16,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
17,"http://www.homedepot.com
"
18,"http://www.kohls.com
"
19,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
20,"http://www.softwarecw.com
"
21,"http://www.underarmour.com
"
22,"http://www.wayfair.com
"
23,"http://www.webstaurantstore.com
"
24,"http://www.zazzle.com
"
25,"http://www.zoro.com
"
26,"http://www.zulily.com
"
27,"https://bargainjunkie.com/
"
28,"https://renewgoo.com/
"
29,"https://www.epicpetster.com
"
30,"https://www.homedepot.com
"
31,"https://www.secondsale.com
"
32,"https://www.springhillnursery.com
"
33,"https://www.trouva.com/
"
