,Shops
0,"http://bluebath.com
"
1,"http://brittandjules.com
"
2,"http://livingsocial.com
"
3,"http://my-bio-zen.com
"
4,"http://poshmark.com
"
5,"http://samsclub.com
"
6,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
7,"http://usa.hudsonreed.com
"
8,"http://www.Adorama.com
"
9,"http://www.Fanatics.com
"
10,"http://www.abt.com
"
11,"http://www.agrisupply.com
"
12,"http://www.amazon.com
"
13,"http://www.amazon.com/
"
14,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
15,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
16,"http://www.beallsflorida.com
"
17,"http://www.belk.com/
"
18,"http://www.bestmaterials.com
"
19,"http://www.bizchair.com
"
20,"http://www.boscovs.com/
"
21,"http://www.build.com
"
22,"http://www.buybizsupplies.com
"
23,"http://www.cpooutlets.com
"
24,"http://www.crazycarlsdeals.com
"
25,"http://www.crutchfield.com/I-rbizc000/index.html
"
26,"http://www.cymax.com/
"
27,"http://www.dealyard.com
"
28,"http://www.efaucets.com
"
29,"http://www.emerchantoutlet.com
"
30,"http://www.energysavinglighting.com
"
31,"http://www.fansedge.com/
"
32,"http://www.frontgate.com/jump.jsp?itemID=162&itemType=HOME_PAGE&k=ZZ50921
"
33,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
34,"http://www.groupon.com
"
35,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
36,"http://www.homedepot.com
"
37,"http://www.homegoodscenter.com
"
38,"http://www.houzz.com
"
39,"http://www.jcpenney.com/
"
40,"http://www.johnnyseeds.com
"
41,"http://www.katom.com
"
42,"http://www.kohls.com
"
43,"http://www.kotulas.com
"
44,"http://www.larsonelectronics.com
"
45,"http://www.layoffpain.com/
"
46,"http://www.lightingdirect.com
"
47,"http://www.macys.com
"
48,"http://www.newegg.com
"
49,"http://www.northerntool.com/
"
50,"http://www.oceansmall.net
"
51,"http://www.officesupersavers.com
"
52,"http://www.onlinemegamall.com
"
53,"http://www.oralprecision.com/
"
54,"http://www.peazz.com
"
55,"http://www.qvc.com/
"
56,"http://www.sawesometoys.com
"
57,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
58,"http://www.sportsmanguide.com
"
59,"http://www.tanklessking.com
"
60,"http://www.thewarmingstore.com
"
61,"http://www.tschome.com
"
62,"http://www.tscshops.com
"
63,"http://www.vidaxl.com
"
64,"http://www.walmart.com
"
65,"http://www.wayfair.com
"
66,"http://www.webstaurantstore.com
"
67,"http://www.whateverworks.com/
"
68,"http://www.zoro.com
"
69,"http://www.zoro1.com
"
70,"http://www.zulily.com
"
71,"https://acdecor.biz/
"
72,"https://bargainjunkie.com/
"
73,"https://gg-decor.com/
"
74,"https://gonegreenstore.com
"
75,"https://pstpoolsupplies.com
"
76,"https://renewgoo.com/
"
77,"https://thevacuumfactory.com
"
78,"https://www.costway.com/
"
79,"https://www.crowdcontrolstore.com
"
80,"https://www.dhgate.com/
"
81,"https://www.edenpure.com
"
82,"https://www.epicpetster.com
"
83,"https://www.hayneedle.com
"
84,"https://www.homedepot.com
"
85,"https://www.homeshoppingmalls.com/
"
86,"https://www.homesquare.com
"
87,"https://www.mileskimball.com
"
88,"https://www.sportsmans.com/
"
89,"www..jencowholesale.com
"
90,"www.flooranddecor.com
"
