,Shops
0,"http://amalfidecor.com
"
1,"http://amerilifevitamin.com
"
2,"http://apartysource.com
"
3,"http://bakersauthority.com
"
4,"http://bluebath.com
"
5,"http://brittandjules.com
"
6,"http://buymbs.com
"
7,"http://carhartt.com
"
8,"http://click.linksynergy.com/fs-bin/stat?id=hLUPakqa5g4&offerid=10116.9&type=3&subid=0&u1=1x1
"
9,"http://collectiblestoday18.cpcmanager.com/?1750663
"
10,"http://decormarket.com
"
11,"http://decorzee.com
"
12,"http://discountdecorativeflags.com
"
13,"http://essentials.banyantree.com
"
14,"http://gate4great.info/
"
15,"http://gurneys.com
"
16,"http://industrial-meters.com
"
17,"http://linksoul.com
"
18,"http://livingsocial.com
"
19,"http://luxycouture.com
"
20,"http://my-bio-zen.com
"
21,"http://onestopfanshop.com
"
22,"http://parkseed.com
"
23,"http://poshmark.com
"
24,"http://samsclub.com
"
25,"http://shop.mlb.com/
"
26,"http://shop.nhl.com
"
27,"http://shopping.franklincovey.com
"
28,"http://soccer.epicsports.com
"
29,"http://store.nascar.com/entry.point?target=z&source=BZLG:2774:TXT:N:3693:1003:NASCAR
"
30,"http://store.nba.com/
"
31,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
32,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
33,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
34,"http://store.yahoo.com/cgi-bin/clink?vitasprings+QpULg7+index.html
"
35,"http://thefixturezone.com
"
36,"http://www.1800lighting.com
"
37,"http://www.Adorama.com
"
38,"http://www.AtticTrunk.com
"
39,"http://www.BarristerBooks.com
"
40,"http://www.CB2.com
"
41,"http://www.Campmor.com
"
42,"http://www.CatalogFavorites.com/
"
43,"http://www.CenturyNovelty.com
"
44,"http://www.DisneyStore.com
"
45,"http://www.DrsFosterSmith.com
"
46,"http://www.Educents.com
"
47,"http://www.Everymemorabilia.com
"
48,"http://www.Fanatics.com
"
49,"http://www.JustArtifacts.net
"
50,"http://www.LambertVetSupply.com
"
51,"http://www.Lenox.com
"
52,"http://www.MidwayUSA.com
"
53,"http://www.PartySpin.com
"
54,"http://www.PulseTV.com
"
55,"http://www.ReStockIt.com
"
56,"http://www.SchoolOutfitters.com
"
57,"http://www.TabletopFountainsPlus.com
"
58,"http://www.abt.com
"
59,"http://www.acoutlet.shop/
"
60,"http://www.agrisupply.com
"
61,"http://www.albeebaby.com
"
62,"http://www.allposters.com
"
63,"http://www.amazon.com
"
64,"http://www.amazon.com/
"
65,"http://www.americanbookwarehouse.com
"
66,"http://www.amsterdamprinting.com
"
67,"http://www.apmex.com
"
68,"http://www.aquapillar.com
"
69,"http://www.art.com
"
70,"http://www.asecretadmirer.com
"
71,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
72,"http://www.autogeek.net
"
73,"http://www.autopia-carcare.com
"
74,"http://www.avondaleactive.com
"
75,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
76,"http://www.backinthesaddle.com/
"
77,"http://www.ballarddesigns.com
"
78,"http://www.balsamhill.com
"
79,"http://www.bambeco.com
"
80,"http://www.bananarepublic.com/
"
81,"http://www.barstooldirect.com
"
82,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
83,"http://www.beallsflorida.com
"
84,"http://www.belk.com/
"
85,"http://www.berries.com
"
86,"http://www.betterhealthinternational.com/
"
87,"http://www.bevmo.com
"
88,"http://www.bhphotovideo.com/?BI=82
"
89,"http://www.bizchair.com
"
90,"http://www.black.co.uk
"
91,"http://www.blackbeltshop.us
"
92,"http://www.blackhelmetapparel.com
"
93,"http://www.blair.com
"
94,"http://www.blueandcream.com
"
95,"http://www.bluefly.com
"
96,"http://www.bnbtobacco.com
"
97,"http://www.boscovs.com/
"
98,"http://www.bradfordexchangechecks.com
"
99,"http://www.brownells.com
"
100,"http://www.build.com
"
101,"http://www.bulbamerica.com
"
102,"http://www.buybizsupplies.com
"
103,"http://www.buyrareseeds.com
"
104,"http://www.calexotics.com
"
105,"http://www.catsnus.com/
"
106,"http://www.cavenders.com
"
107,"http://www.cellphonecases.com
"
108,"http://www.charlotterusse.com
"
109,"http://www.chewy.com
"
110,"http://www.chicos.com
"
111,"http://www.cleanitsupply.com
"
112,"http://www.cokesbury.com
"
113,"http://www.cosyhousecollection.com
"
114,"http://www.countrystorecatalog.com
"
115,"http://www.cpooutlets.com
"
116,"http://www.crateandbarrel.com
"
117,"http://www.crazycarlsdeals.com
"
118,"http://www.crutchfield.com/I-rbizc000/index.html
"
119,"http://www.cyberteez.com
"
120,"http://www.cymax.com/
"
121,"http://www.decorisland.com
"
122,"http://www.deepdiscount.com
"
123,"http://www.dell.com
"
124,"http://www.deluxe.com
"
125,"http://www.denniskirk.com
"
126,"http://www.designeroptics.com
"
127,"http://www.directvapor.com
"
128,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
129,"http://www.displays2go.com
"
130,"http://www.doversaddlery.com
"
131,"http://www.dutchbulbs.com
"
132,"http://www.earthtechproducts.com
"
133,"http://www.eclipseillumination.com
"
134,"http://www.efaucets.com
"
135,"http://www.efloors.com
"
136,"http://www.emerchantoutlet.com
"
137,"http://www.energysavinglighting.com
"
138,"http://www.ergoback.com
"
139,"http://www.everestgear.com
"
140,"http://www.everythingbutwater.com
"
141,"http://www.expressionscatalog.com/
"
142,"http://www.fairpricenow.com
"
143,"http://www.familyleisure.com
"
144,"http://www.fansedge.com/
"
145,"http://www.faucetdirect.com?/source=bizrate
"
146,"http://www.finelinens.com
"
147,"http://www.fitzulas.com
"
148,"http://www.fivebarkingdogs.com
"
149,"http://www.fragrancenet.com/fnet/index.html?mv_pc=bizrateMF
"
150,"http://www.franceandson.com
"
151,"http://www.freshnless.com
"
152,"http://www.frontgate.com/jump.jsp?itemID=162&itemType=HOME_PAGE&k=ZZ50921
"
153,"http://www.gamestop.com
"
154,"http://www.giftespot.com
"
155,"http://www.gliks.com
"
156,"http://www.gnc.com
"
157,"http://www.goldentrainer.com
"
158,"http://www.golfshopplus.com
"
159,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
160,"http://www.groupon.com
"
161,"http://www.haband.com
"
162,"http://www.hairthirst.com
"
163,"http://www.halloweencostumes.com
"
164,"http://www.halloweencostumesupplystore.com
"
165,"http://www.harryanddavid.com
"
166,"http://www.hautelook.com
"
167,"http://www.hconecompanies.com
"
168,"http://www.healthproductsforyou.com
"
169,"http://www.highfashionhome.com
"
170,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
171,"http://www.homedepot.com
"
172,"http://www.homegoodscenter.com
"
173,"http://www.hottopic.com
"
174,"http://www.houzz.com
"
175,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
176,"http://www.hrdirect.com
"
177,"http://www.ifitnessdirect.com
"
178,"http://www.interstatemusic.com
"
179,"http://www.inthecompanyofdogs.com/
"
180,"http://www.jcpenney.com/
"
181,"http://www.jenniferadams.com
"
182,"http://www.jerrysartarama.com
"
183,"http://www.jmbullion.com/
"
184,"http://www.johnnyseeds.com
"
185,"http://www.johnsonwallcoverings.com
"
186,"http://www.joylot.com
"
187,"http://www.katespade.com
"
188,"http://www.katom.com
"
189,"http://www.kinkytoy.store
"
190,"http://www.kmart.com
"
191,"http://www.kohls.com
"
192,"http://www.kotulas.com
"
193,"http://www.kqzyfj.com/click-177778-10379988
"
194,"http://www.lampsplus.com/source.asp?a=17528
"
195,"http://www.landofnod.com
"
196,"http://www.landsend.com/
"
197,"http://www.larsonelectronics.com
"
198,"http://www.laurelcrown.com
"
199,"http://www.layoffpain.com/
"
200,"http://www.lightingdirect.com
"
201,"http://www.lightingsquad.com
"
202,"http://www.lightsonline.com
"
203,"http://www.llbean.com/
"
204,"http://www.lockandhinge.com
"
205,"http://www.lonestartradingcompany.com/
"
206,"http://www.luckyvitamin.com
"
207,"http://www.lyst.com
"
208,"http://www.macys.com
"
209,"http://www.madisonseating.com
"
210,"http://www.magellans.com
"
211,"http://www.melissaanddoug.com
"
212,"http://www.memorablegifts.com
"
213,"http://www.meydastore.com
"
214,"http://www.michiganbulb.com
"
215,"http://www.mrporter.com
"
216,"http://www.mrwatch.com
"
217,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
218,"http://www.naturesjewelry.com/
"
219,"http://www.naturewoo.com/
"
220,"http://www.net-a-porter.com
"
221,"http://www.netnutri.com
"
222,"http://www.nordstrom.com
"
223,"http://www.nordstromrack.com
"
224,"http://www.northerntool.com/
"
225,"http://www.northstyle.com/
"
226,"http://www.novica.com
"
227,"http://www.oceansmall.net
"
228,"http://www.officefurniture2go.com
"
229,"http://www.officesupersavers.com
"
230,"http://www.onlinelivingaids.com/
"
231,"http://www.onlinemegamall.com
"
232,"http://www.orange-traffic-cones.com
"
233,"http://www.otcdeal.com
"
234,"http://www.overstock.com/cgi-bin/d2.cgi?cid=19516&fp=f
"
235,"http://www.partsgeek.com
"
236,"http://www.partycheap.com
"
237,"http://www.peazz.com
"
238,"http://www.peazzfurniture.com
"
239,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
240,"http://www.personalizationmall.com
"
241,"http://www.petco.com/Landing/RedirectSource.aspx?RedirectURL=http%3a%2f%2fwww.petco.com%3fcm_ven%3dbiz%26cm_cat%3d
"
242,"http://www.petsupplies4less.com
"
243,"http://www.pinzoo.com
"
244,"http://www.precisiontools.com
"
245,"http://www.princetonwatches.com
"
246,"http://www.proflowers.com
"
247,"http://www.pyramidcollection.com/
"
248,"http://www.qvc.com/
"
249,"http://www.replacements.com
"
250,"http://www.respiratorycarestore.com/
"
251,"http://www.ritzcamera.com
"
252,"http://www.roomstogo.com
"
253,"http://www.rosegal.com
"
254,"http://www.rugsusa.com
"
255,"http://www.saksoff5th.com
"
256,"http://www.sawesometoys.com
"
257,"http://www.scoutandnimble.com
"
258,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
259,"http://www.serengeticatalog.com/
"
260,"http://www.serversupply.com
"
261,"http://www.shein.com
"
262,"http://www.shelhealth.com
"
263,"http://www.shindigz.com
"
264,"http://www.shineretrofits.com
"
265,"http://www.shoemall.com
"
266,"http://www.signaturehardware.com
"
267,"http://www.society6.com/
"
268,"http://www.speedousa.com
"
269,"http://www.spellbinderspaperarts.com
"
270,"http://www.sportscollectibles.com
"
271,"http://www.sportsmanguide.com
"
272,"http://www.springsunday.com
"
273,"http://www.ssense.com
"
274,"http://www.stockinteriors.com
"
275,"http://www.stomabags.com/
"
276,"http://www.stumpsparty.com
"
277,"http://www.successories.com
"
278,"http://www.surrounding.com
"
279,"http://www.suspenderstore.com
"
280,"http://www.swimoutlet.com
"
281,"http://www.sylvane.com
"
282,"http://www.teamstores.com
"
283,"http://www.teamusashop.com/
"
284,"http://www.thecrabbynook.com
"
285,"http://www.theoutnet.com/
"
286,"http://www.therestoredhome.com
"
287,"http://www.thesensorconnection.com
"
288,"http://www.thestitchery.com/
"
289,"http://www.thinkcooltoys.com
"
290,"http://www.thredup.com
"
291,"http://www.tires-easy.com
"
292,"http://www.tommybahama.com
"
293,"http://www.toryburch.com
"
294,"http://www.totallyfurniture.com/
"
295,"http://www.touchofclass.com
"
296,"http://www.toyconnection.com/Merchant2/merchant.mvc?Screen=SFNT
"
297,"http://www.trivoshop.com
"
298,"http://www.tschome.com
"
299,"http://www.tscshops.com
"
300,"http://www.tsctoys.com
"
301,"http://www.underarmour.com
"
302,"http://www.unique-vintage.com
"
303,"http://www.valleyvet.com
"
304,"http://www.vandykes.com
"
305,"http://www.vidaxl.com
"
306,"http://www.vitacart.com
"
307,"http://www.vivaterra.com
"
308,"http://www.voler.com
"
309,"http://www.walmart.com
"
310,"http://www.warehousespot.com
"
311,"http://www.wayfair.com
"
312,"http://www.webstaurantstore.com
"
313,"http://www.whateverworks.com/
"
314,"http://www.wholesurgical.com/
"
315,"http://www.wine.com
"
316,"http://www.winechateau.com
"
317,"http://www.worldmarket.com
"
318,"http://www.woundtx.com/
"
319,"http://www.xmastreeusa.com
"
320,"http://www.yandy.com
"
321,"http://www.yankeecandle.com
"
322,"http://www.yoox.com
"
323,"http://www.youngexplorers.com/
"
324,"http://www.zappos.com
"
325,"http://www.zazzle.com
"
326,"http://www.zoro.com
"
327,"http://www.zoro1.com
"
328,"http://www.zulily.com
"
329,"https://AutographsForSale.com
"
330,"https://IncredibleRugsAndDecor.com
"
331,"https://acdecor.biz/
"
332,"https://bargainjunkie.com/
"
333,"https://bloomist.com/
"
334,"https://coveti.com/
"
335,"https://gfurn.com
"
336,"https://gg-decor.com/
"
337,"https://gonegreenstore.com
"
338,"https://goop.com
"
339,"https://ironandresin.com/
"
340,"https://modelights.com/
"
341,"https://pstpoolsupplies.com
"
342,"https://renewgoo.com/
"
343,"https://scotsmanshield.com
"
344,"https://shop.bikini.com
"
345,"https://shopinspiredhome.com/
"
346,"https://store12373258.ecwid.com/
"
347,"https://thevacuumfactory.com
"
348,"https://webstore.northsails.com/us/en/homepage
"
349,"https://www.MostlyDead.com
"
350,"https://www.aeropostale.com
"
351,"https://www.air-innovations.com
"
352,"https://www.allhdd.com
"
353,"https://www.alooatta.com/
"
354,"https://www.alphabetdeal.com
"
355,"https://www.amara.com
"
356,"https://www.aosom.com
"
357,"https://www.balfour.com
"
358,"https://www.bountyhunterwine.com/
"
359,"https://www.campsaver.com
"
360,"https://www.chicksaddlery.com
"
361,"https://www.christmasdesigners.com/
"
362,"https://www.cjponyparts.com/
"
363,"https://www.coedstore.co/
"
364,"https://www.costbuys.com
"
