,Shops
0,"http://discountdecorativeflags.com
"
1,"http://gate4great.info/
"
2,"http://livingsocial.com
"
3,"http://poshmark.com
"
4,"http://samsclub.com
"
5,"http://store.scholastic.com
"
6,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
7,"http://www.Adorama.com
"
8,"http://www.BarristerBooks.com
"
9,"http://www.allposters.com
"
10,"http://www.amazon.com
"
11,"http://www.amazon.com/
"
12,"http://www.americanbookwarehouse.com
"
13,"http://www.belk.com/
"
14,"http://www.bhphotovideo.com/?BI=82
"
15,"http://www.bizchair.com
"
16,"http://www.build.com
"
17,"http://www.christianbookbag.com
"
18,"http://www.cyberteez.com
"
19,"http://www.deepdiscount.com
"
20,"http://www.discountcatheters.com/
"
21,"http://www.driparmor.com/
"
22,"http://www.emerchantoutlet.com
"
23,"http://www.faucetdirect.com?/source=bizrate
"
24,"http://www.halloweencostumesupplystore.com
"
25,"http://www.hconecompanies.com
"
26,"http://www.homedepot.com
"
27,"http://www.interstatemusic.com
"
28,"http://www.jet.com
"
29,"http://www.kohls.com
"
30,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
31,"http://www.northerntool.com/
"
32,"http://www.oceansmall.net
"
33,"http://www.partsgeek.com
"
34,"http://www.qvc.com/
"
35,"http://www.respiratorycarestore.com/
"
36,"http://www.sportscollectibles.com
"
37,"http://www.ssense.com
"
38,"http://www.tschome.com
"
39,"http://www.walmart.com
"
40,"http://www.warehousespot.com
"
41,"http://www.wayfair.com
"
42,"http://www.webstaurantstore.com
"
43,"http://www.winechateau.com
"
44,"http://www.youngexplorers.com/
"
45,"http://www.zazzle.com
"
46,"http://www.zoro.com
"
47,"http://www.zulily.com
"
48,"https://AutographsForSale.com
"
49,"https://ironandresin.com/
"
50,"https://www.homesquare.com
"
51,"https://www.orientaloutpost.com
"
52,"https://www.secondsale.com
"
53,"https://www.tillys.com
"
54,"https://www.trouva.com/
"
