,Shops
0,"http://brittandjules.com
"
1,"http://carhartt.com
"
2,"http://livingsocial.com
"
3,"http://poshmark.com
"
4,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
5,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
6,"http://www.Adorama.com
"
7,"http://www.BarristerBooks.com
"
8,"http://www.DisneyStore.com
"
9,"http://www.Educents.com
"
10,"http://www.allposters.com
"
11,"http://www.amazon.com
"
12,"http://www.amazon.com/
"
13,"http://www.americanbookwarehouse.com
"
14,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
15,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
16,"http://www.belk.com/
"
17,"http://www.bnbtobacco.com
"
18,"http://www.cavenders.com
"
19,"http://www.christianbookbag.com
"
20,"http://www.cyberteez.com
"
21,"http://www.deepdiscount.com
"
22,"http://www.deluxe.com
"
23,"http://www.emerchantoutlet.com
"
24,"http://www.fitzulas.com
"
25,"http://www.halloweencostumesupplystore.com
"
26,"http://www.hautelook.com
"
27,"http://www.interstatemusic.com
"
28,"http://www.jerrysartarama.com
"
29,"http://www.kinkytoy.store
"
30,"http://www.lightingdirect.com
"
31,"http://www.luggagepros.com
"
32,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
33,"http://www.net-a-porter.com
"
34,"http://www.nordstromrack.com
"
35,"http://www.oceansmall.net
"
36,"http://www.onlinemegamall.com
"
37,"http://www.oralprecision.com/
"
38,"http://www.qvc.com/
"
39,"http://www.respiratorycarestore.com/
"
40,"http://www.shindigz.com
"
41,"http://www.society6.com/
"
42,"http://www.ssense.com
"
43,"http://www.stumpsparty.com
"
44,"http://www.sweetwater.com
"
45,"http://www.walmart.com
"
46,"http://www.wayfair.com
"
47,"http://www.wholesurgical.com/
"
48,"http://www.winechateau.com
"
49,"http://www.zappos.com
"
50,"http://www.zazzle.com
"
51,"http://www.zulily.com
"
52,"https://AutographsForSale.com
"
53,"https://ironandresin.com/
"
54,"https://www.costbuys.com
"
55,"https://www.cozzoo.com/
"
56,"https://www.fun.com
"
57,"https://www.ruelala.com
"
58,"https://www.secondsale.com
"
59,"https://www.sportsmans.com/
"
60,"https://www.tillys.com
"
61,"https://www.trouva.com/
"
62,"https://www.uncommongoods.com
"
