,Shops
0,"http://amazonmicrousa.com
"
1,"http://livingsocial.com
"
2,"http://memorydealers.com/
"
3,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
4,"http://www.Adorama.com
"
5,"http://www.AtticTrunk.com
"
6,"http://www.BarristerBooks.com
"
7,"http://www.abt.com
"
8,"http://www.amazon.com
"
9,"http://www.amazon.com/
"
10,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
11,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
12,"http://www.bhphotovideo.com/?BI=82
"
13,"http://www.bluecosmo.com
"
14,"http://www.build.com
"
15,"http://www.clxgaming.com
"
16,"http://www.crutchfield.com/I-rbizc000/index.html
"
17,"http://www.dell.com
"
18,"http://www.emerchantoutlet.com
"
19,"http://www.greatprinterdeals.com
"
20,"http://www.homedepot.com
"
21,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
22,"http://www.kohls.com
"
23,"http://www.lenovo.com/think/us/en/
"
24,"http://www.newegg.com
"
25,"http://www.oceansmall.net
"
26,"http://www.officesupersavers.com
"
27,"http://www.ritzcamera.com
"
28,"http://www.serversupply.com
"
29,"http://www.shindigz.com
"
30,"http://www.sonicelectronix.com
"
31,"http://www.stumpsparty.com
"
32,"http://www.tschome.com
"
33,"http://www.walmart.com
"
34,"http://www.wayfair.com
"
35,"http://www.webstaurantstore.com
"
36,"http://www.zoro.com
"
37,"http://www1.us.dell.com/content/
"
38,"https://hexadash.com/
"
39,"https://renewgoo.com/
"
40,"https://www.allhdd.com
"
41,"https://www.datavision.com
"
42,"https://www.hlsproparts.com
"
43,"https://www.homedepot.com
"
44,"https://www.tillys.com
"
