,Shops
0,"http://brittandjules.com
"
1,"http://decormarket.com
"
2,"http://livingsocial.com
"
3,"http://modernofficefurniture.com
"
4,"http://my-bio-zen.com
"
5,"http://poshmark.com
"
6,"http://samsclub.com
"
7,"http://shop.mlb.com/
"
8,"http://shop.nhl.com
"
9,"http://soccer.epicsports.com
"
10,"http://store.closetmaid.com/webapp/wcs/stores/servlet/TopCategoriesDisplay?langId=-1&storeId=10151&catalogId=10051
"
11,"http://store.nba.com/
"
12,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
13,"http://thefixturezone.com
"
14,"http://www.Adorama.com
"
15,"http://www.CB2.com
"
16,"http://www.Educents.com
"
17,"http://www.Fanatics.com
"
18,"http://www.JustArtifacts.net
"
19,"http://www.ReStockIt.com
"
20,"http://www.SchoolOutfitters.com
"
21,"http://www.abt.com
"
22,"http://www.agrisupply.com
"
23,"http://www.albeebaby.com
"
24,"http://www.allposters.com
"
25,"http://www.amazon.com
"
26,"http://www.amazon.com/
"
27,"http://www.appoutdoors.com
"
28,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
29,"http://www.autogeek.net
"
30,"http://www.autopia-carcare.com
"
31,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
32,"http://www.ballarddesigns.com
"
33,"http://www.bambeco.com
"
34,"http://www.barstooldirect.com
"
35,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
36,"http://www.beallsflorida.com
"
37,"http://www.belk.com/
"
38,"http://www.bhphotovideo.com/?BI=82
"
39,"http://www.bizchair.com
"
40,"http://www.bluefly.com
"
41,"http://www.boscovs.com/
"
42,"http://www.brownells.com
"
43,"http://www.build.com
"
44,"http://www.buybizsupplies.com
"
45,"http://www.cavenders.com
"
46,"http://www.classicshapewear.com
"
47,"http://www.cleanitsupply.com
"
48,"http://www.cpooutlets.com
"
49,"http://www.crateandbarrel.com
"
50,"http://www.crutchfield.com/I-rbizc000/index.html
"
51,"http://www.cymax.com/
"
52,"http://www.deepdiscount.com
"
53,"http://www.dell.com
"
54,"http://www.denniskirk.com
"
55,"http://www.discountcatheters.com/
"
56,"http://www.discounttiredirect.com
"
57,"http://www.displays2go.com
"
58,"http://www.doversaddlery.com
"
59,"http://www.driparmor.com/
"
60,"http://www.efaucets.com
"
61,"http://www.efloors.com
"
62,"http://www.emerchantoutlet.com
"
63,"http://www.epicofficefurniture.com
"
64,"http://www.ergoback.com
"
65,"http://www.familyleisure.com
"
66,"http://www.fansedge.com/
"
67,"http://www.faucetdirect.com?/source=bizrate
"
68,"http://www.finelinens.com
"
69,"http://www.flashfurniturestore.com
"
70,"http://www.franceandson.com
"
71,"http://www.freshnless.com
"
72,"http://www.gamestop.com
"
73,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
74,"http://www.groupon.com
"
75,"http://www.halloweencostumesupplystore.com
"
