,Shops
0,"http://blbeauty.co
"
1,"http://click.linksynergy.com/fs-bin/stat?id=hLUPakqa5g4&offerid=10116.9&type=3&subid=0&u1=1x1
"
2,"http://gate4great.info/
"
3,"http://livingsocial.com
"
4,"http://poshmark.com
"
5,"http://shop.mlb.com/
"
6,"http://shop.nhl.com
"
7,"http://silverbene.com
"
8,"http://store.nba.com/
"
9,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
10,"http://www.Adorama.com
"
11,"http://www.CatalogFavorites.com/
"
12,"http://www.CenturyNovelty.com
"
13,"http://www.DisneyStore.com
"
14,"http://www.Fanatics.com
"
15,"http://www.JustArtifacts.net
"
16,"http://www.PartySpin.com
"
17,"http://www.agrisupply.com
"
18,"http://www.allposters.com
"
19,"http://www.allurez.com
"
20,"http://www.amazon.com
"
21,"http://www.amazon.com/
"
22,"http://www.amsterdamprinting.com
"
23,"http://www.apmex.com
"
24,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
25,"http://www.bananarepublic.com/
"
26,"http://www.beallsflorida.com
"
27,"http://www.belk.com/
"
28,"http://www.blackbeltshop.us
"
29,"http://www.blair.com
"
30,"http://www.bluefly.com
"
31,"http://www.boscovs.com/
"
32,"http://www.brownells.com
"
33,"http://www.build.com
"
34,"http://www.cavenders.com
"
35,"http://www.cellphonecases.com
"
36,"http://www.classicshapewear.com
"
37,"http://www.cokesbury.com
"
38,"http://www.countrystorecatalog.com
"
39,"http://www.cyberteez.com
"
40,"http://www.efaucets.com
"
41,"http://www.emerchantoutlet.com
"
42,"http://www.expressionscatalog.com/
"
43,"http://www.fansedge.com/
"
44,"http://www.fitzulas.com
"
45,"http://www.fossil.com/shopping/default.asp?Tier1=Shopping&PSID=bizfeedfslshop_ratingspage
"
46,"http://www.gamestop.com
"
47,"http://www.gliks.com
"
48,"http://www.golfshopplus.com
"
49,"http://www.halloweencostumesupplystore.com
"
50,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
51,"http://www.hottopic.com
"
52,"http://www.houzz.com
"
53,"http://www.jcpenney.com/
"
54,"http://www.katespade.com
"
55,"http://www.kohls.com
"
56,"http://www.kqzyfj.com/click-177778-10379988
"
57,"http://www.landofnod.com
"
58,"http://www.lechateau.com/style/index.jsp
"
59,"http://www.lightingdirect.com
"
60,"http://www.lockandhinge.com
"
61,"http://www.lyst.com
"
62,"http://www.macys.com
"
63,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
64,"http://www.naturesjewelry.com/
"
65,"http://www.net-a-porter.com
"
66,"http://www.nordstromrack.com
"
67,"http://www.northerntool.com/
"
68,"http://www.novica.com
"
69,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
70,"http://www.qvc.com/
"
71,"http://www.rosegal.com
"
72,"http://www.saksoff5th.com
"
73,"http://www.samuelsjewelers.com
"
74,"http://www.sarraf.com
"
75,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
76,"http://www.serengeticatalog.com/
"
77,"http://www.shein.com
"
78,"http://www.shindigz.com
"
79,"http://www.spellbinderspaperarts.com
"
80,"http://www.ssense.com
"
81,"http://www.stumpsparty.com
"
82,"http://www.successories.com
"
83,"http://www.teamusashop.com/
"
84,"http://www.theoutnet.com/
"
85,"http://www.thredup.com
"
86,"http://www.tmlewin.co.uk/
"
87,"http://www.tscshops.com
"
88,"http://www.unique-vintage.com
"
89,"http://www.vans.com
"
90,"http://www.walmart.com
"
91,"http://www.wayfair.com
"
92,"http://www.worldmarket.com
"
93,"http://www.yoox.com
"
94,"http://www.zappos.com
"
95,"http://www.zazzle.com
"
96,"http://www.zulily.com
"
97,"https://brandsvice.com/
"
98,"https://gg-decor.com/
"
99,"https://ironandresin.com/
"
100,"https://withyoulockets.com
"
101,"https://www.chicksaddlery.com
"
102,"https://www.costbuys.com
"
103,"https://www.discountmugs.com
"
104,"https://www.fun.com
"
105,"https://www.italist.com/en/
"
106,"https://www.jewelryshopping.com/
"
107,"https://www.jouercosmetics.com/
"
108,"https://www.juwelo.com
"
109,"https://www.marksandspencer.com/us/
"
110,"https://www.mileskimball.com
"
111,"https://www.mountainwarehouse.com/us/
"
112,"https://www.ruelala.com
"
113,"https://www.secondsale.com
"
114,"https://www.therealreal.com
"
115,"https://www.tillys.com
"
116,"https://www.toyorb.com
"
117,"https://www.trouva.com/
"
118,"https://www.zeelool.com/?utm_source=connexity
"
119,"www.nflshop.com
"
120,"www.ssense.com
"
121,"www.stylebop.com
"
