,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
4,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
5,"http://www.Adorama.com
"
6,"http://www.abt.com
"
7,"http://www.allposters.com
"
8,"http://www.amazon.com
"
9,"http://www.amazon.com/
"
10,"http://www.appoutdoors.com
"
11,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
12,"http://www.blendmount.com
"
13,"http://www.crutchfield.com/I-rbizc000/index.html
"
14,"http://www.emerchantoutlet.com
"
15,"http://www.homedepot.com
"
16,"http://www.oceansmall.net
"
17,"http://www.qvc.com/
"
18,"http://www.sonicelectronix.com
"
19,"http://www.walmart.com
"
20,"https://www.dhgate.com/
"
21,"https://www.homedepot.com
"
22,"www.crutchfield.com
"
