,Shops
0,"http://critpro.com
"
1,"http://discountdecorativeflags.com
"
2,"http://my-bio-zen.com
"
3,"http://poshmark.com
"
4,"http://www.BarristerBooks.com
"
5,"http://www.CatalogFavorites.com/
"
6,"http://www.Lenox.com
"
7,"http://www.PartySpin.com
"
8,"http://www.allposters.com
"
9,"http://www.amazon.com
"
10,"http://www.amazon.com/
"
11,"http://www.americanbookwarehouse.com
"
12,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
13,"http://www.beallsflorida.com
"
14,"http://www.boscovs.com/
"
15,"http://www.build.com
"
16,"http://www.christianbookbag.com
"
17,"http://www.countrystorecatalog.com
"
18,"http://www.deepdiscount.com
"
19,"http://www.emerchantoutlet.com
"
20,"http://www.faucetdirect.com?/source=bizrate
"
21,"http://www.fitzulas.com
"
22,"http://www.freshnless.com
"
23,"http://www.houzz.com
"
24,"http://www.layoffpain.com/
"
25,"http://www.net-a-porter.com
"
26,"http://www.oceansmall.net
"
27,"http://www.partsgeek.com
"
28,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
29,"http://www.personalizationmall.com
"
30,"http://www.society6.com/
"
31,"http://www.ssense.com
"
32,"http://www.underarmour.com
"
33,"http://www.walmart.com
"
34,"http://www.wayfair.com
"
35,"http://www.wine.com
"
36,"http://www.winechateau.com
"
37,"http://www.zazzle.com
"
38,"https://www.coedstore.co/
"
39,"https://www.cozzoo.com/
"
40,"https://www.epicpetster.com
"
41,"https://www.marketcol.com
"
42,"https://www.rivalworld.com/
"
43,"https://www.secondsale.com
"
44,"https://www.trouva.com/
"
45,"https://www.uncommongoods.com
"
