,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://www.abt.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.beallsflorida.com
"
8,"http://www.belk.com/
"
9,"http://www.boscovs.com/
"
10,"http://www.build.com
"
11,"http://www.emerchantoutlet.com
"
12,"http://www.groupon.com
"
13,"http://www.homedepot.com
"
14,"http://www.houzz.com
"
15,"http://www.jcpenney.com/
"
16,"http://www.katom.com
"
17,"http://www.kohls.com
"
18,"http://www.kotulas.com
"
19,"http://www.macys.com
"
20,"http://www.newegg.com
"
21,"http://www.onlinemegamall.com
"
22,"http://www.qvc.com/
"
23,"http://www.tobox.com
"
24,"http://www.tschome.com
"
25,"http://www.tscshops.com
"
26,"http://www.walmart.com
"
27,"http://www.wayfair.com
"
28,"http://www.webstaurantstore.com
"
29,"http://www.zulily.com
"
30,"https://www.acitydiscount.com
"
31,"https://www.costway.com/
"
32,"https://www.hayneedle.com
"
33,"https://www.homedepot.com
"
34,"https://www.hotelrestaurantsupply.com/
"
