,Shops
0,"http://brittandjules.com
"
1,"http://critpro.com
"
2,"http://gate4great.info/
"
3,"http://livingsocial.com
"
4,"http://poshmark.com
"
5,"http://soccer.epicsports.com
"
6,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
7,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
8,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
9,"http://www.MidwayUSA.com
"
10,"http://www.allposters.com
"
11,"http://www.amazon.com
"
12,"http://www.amazon.com/
"
13,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
14,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
15,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
16,"http://www.bhphotovideo.com/?BI=82
"
17,"http://www.build.com
"
18,"http://www.cellphonecases.com
"
19,"http://www.doversaddlery.com
"
20,"http://www.efaucets.com
"
21,"http://www.emerchantoutlet.com
"
22,"http://www.faucetdirect.com?/source=bizrate
"
23,"http://www.groupon.com
"
24,"http://www.halloweencostumesupplystore.com
"
25,"http://www.homedepot.com
"
26,"http://www.inthecompanyofdogs.com/
"
27,"http://www.kotulas.com
"
28,"http://www.llbean.com/
"
29,"http://www.lyst.com
"
30,"http://www.macys.com
"
31,"http://www.michiganbulb.com
"
32,"http://www.oceansmall.net
"
33,"http://www.peazzfurniture.com
"
34,"http://www.respiratorycarestore.com/
"
35,"http://www.scoutandnimble.com
"
36,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
37,"http://www.shineretrofits.com
"
38,"http://www.society6.com/
"
39,"http://www.speedousa.com
"
40,"http://www.ssense.com
"
41,"http://www.stomabags.com/
"
42,"http://www.swimoutlet.com
"
43,"http://www.tschome.com
"
44,"http://www.tsctoys.com
"
45,"http://www.voler.com
"
46,"http://www.walmart.com
"
47,"http://www.wayfair.com
"
48,"http://www.wholesurgical.com/
"
49,"http://www.yoox.com
"
50,"http://www.youngexplorers.com/
"
51,"http://www.zazzle.com
"
52,"http://www.zoro.com
"
53,"http://www.zulily.com
"
54,"https://ironandresin.com/
"
55,"https://www.MostlyDead.com
"
56,"https://www.alphabetdeal.com
"
57,"https://www.big5sportinggoods.com
"
58,"https://www.campsaver.com
"
59,"https://www.chicksaddlery.com
"
60,"https://www.costbuys.com
"
61,"https://www.epicpetster.com
"
62,"https://www.fun.com
"
63,"https://www.hayneedle.com
"
64,"https://www.homedepot.com
"
65,"https://www.secondsale.com
"
66,"https://www.sportsmans.com/
"
67,"https://www.trendsavvy.com
"
68,"https://www.trouva.com/
"
