,Shops
0,"http://appleseeds.blair.com
"
1,"http://brittandjules.com
"
2,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
3,"http://gate4great.info/
"
4,"http://holabirdsports.com
"
5,"http://linksoul.com
"
6,"http://livingsocial.com
"
7,"http://luxycouture.com
"
8,"http://mjboutiqueonline.com
"
9,"http://poshmark.com
"
10,"http://rheosgear.com
"
11,"http://samsclub.com
"
12,"http://shop.mlb.com/
"
13,"http://soccer.epicsports.com
"
14,"http://store.nba.com/
"
15,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
16,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
17,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
18,"http://svmoscow.com
"
19,"http://www.Adorama.com
"
20,"http://www.Campmor.com
"
21,"http://www.CatalogFavorites.com/
"
22,"http://www.CenturyNovelty.com
"
23,"http://www.DisneyStore.com
"
24,"http://www.Fanatics.com
"
25,"http://www.JustArtifacts.net
"
26,"http://www.MidwayUSA.com
"
27,"http://www.PulseTV.com
"
28,"http://www.abercrombie.com
"
29,"http://www.abt.com
"
30,"http://www.allposters.com
"
31,"http://www.amazon.com
"
32,"http://www.amazon.com/
"
33,"http://www.americanbookwarehouse.com
"
34,"http://www.amsterdamprinting.com
"
35,"http://www.aninebing.com/
"
36,"http://www.appoutdoors.com
"
37,"http://www.ariat.com
"
38,"http://www.ashleystewart.com
"
39,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
40,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
41,"http://www.backinthesaddle.com/
"
42,"http://www.bambeco.com
"
43,"http://www.bananarepublic.com/
"
44,"http://www.barenecessities.com/csi/default.asp?source=bizrate&term=ratings
"
45,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
46,"http://www.beallsflorida.com
"
47,"http://www.belk.com/
"
48,"http://www.blueandcream.com
"
49,"http://www.bluefly.com
"
50,"http://www.bodybuilding.com
"
51,"http://www.boscovs.com/
"
52,"http://www.bostonproper.com
"
53,"http://www.brownells.com
"
54,"http://www.buckle.com
"
55,"http://www.build.com
"
56,"http://www.bulbhead.com
"
57,"http://www.callawaygolf.com
"
58,"http://www.callawaygolfpreowned.com/?GCID=C1504x030
"
59,"http://www.charlotterusse.com
"
60,"http://www.chicos.com
"
61,"http://www.coolibar.com
"
62,"http://www.countrystorecatalog.com
"
63,"http://www.crazycarlsdeals.com
"
64,"http://www.crutchfield.com/I-rbizc000/index.html
"
65,"http://www.cyberteez.com
"
66,"http://www.cymax.com/
"
67,"http://www.dealyard.com
"
68,"http://www.deepdiscount.com
"
69,"http://www.denniskirk.com
"
70,"http://www.designeroptics.com
"
71,"http://www.doversaddlery.com
"
72,"http://www.efaucets.com
"
73,"http://www.emerchantoutlet.com
"
74,"http://www.everestgear.com
"
75,"http://www.expressionscatalog.com/
"
76,"http://www.fansedge.com/
"
77,"http://www.faucetdirect.com?/source=bizrate
"
78,"http://www.fossil.com/shopping/default.asp?Tier1=Shopping&PSID=bizfeedfslshop_ratingspage
"
79,"http://www.freshnless.com
"
80,"http://www.gliks.com
"
81,"http://www.groupon.com
"
82,"http://www.halloweencostumesupplystore.com
"
83,"http://www.hautelook.com
"
84,"http://www.herroom.com
"
85,"http://www.homedepot.com
"
86,"http://www.hottopic.com
"
87,"http://www.houzz.com
"
88,"http://www.jcpenney.com/
"
89,"http://www.jny.com
"
90,"http://www.joylot.com
"
91,"http://www.katespade.com
"
92,"http://www.kohls.com
"
93,"http://www.larsonelectronics.com
"
94,"http://www.lechateau.com/style/index.jsp
"
95,"http://www.llbean.com/
"
96,"http://www.lulus.com
"
97,"http://www.lyst.com
"
98,"http://www.macys.com
"
99,"http://www.magellans.com
"
100,"http://www.michaelkors.com/
"
101,"http://www.motoin.de/index.php?language=en
"
102,"http://www.mountainsteals.com
"
103,"http://www.mrporter.com
"
104,"http://www.mrwatch.com
"
105,"http://www.mvmtwatches.com
"
106,"http://www.naturesjewelry.com/
"
107,"http://www.net-a-porter.com
"
108,"http://www.nordstrom.com
"
109,"http://www.nordstromrack.com
"
110,"http://www.northerntool.com/
"
111,"http://www.oceansmall.net
"
112,"http://www.onlinelivingaids.com/
"
113,"http://www.onlinemegamall.com
"
114,"http://www.oralprecision.com/
"
115,"http://www.overstockbait.com
"
116,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
117,"http://www.peterglenn.com
"
118,"http://www.qvc.com/
"
119,"http://www.ritzcamera.com
"
120,"http://www.rosegal.com
"
121,"http://www.royalrobbins.com
"
122,"http://www.saksoff5th.com
"
123,"http://www.scoutandnimble.com
"
124,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
125,"http://www.shein.com
"
126,"http://www.shindigz.com
"
127,"http://www.shineretrofits.com
"
128,"http://www.shoemall.com
"
129,"http://www.spcsports.com
"
130,"http://www.sportsmanguide.com
"
131,"http://www.sportsmanslogistics.com
"
132,"http://www.ssense.com
"
133,"http://www.stomabags.com/
"
134,"http://www.stumpsparty.com
"
135,"http://www.swimoutlet.com
"
136,"http://www.teamstores.com
"
137,"http://www.the-house.com
"
138,"http://www.theory.com/
"
139,"http://www.theoutnet.com/
"
140,"http://www.threadandfashion.com
"
141,"http://www.tommybahama.com
"
142,"http://www.toryburch.com
"
143,"http://www.tschome.com
"
144,"http://www.underarmour.com
"
145,"http://www.unique-vintage.com
"
146,"http://www.valleyvet.com
"
147,"http://www.vans.com
"
148,"http://www.venus.com
"
149,"http://www.walmart.com
"
150,"http://www.warehousespot.com
"
151,"http://www.wayfair.com
"
152,"http://www.weldingsuppliesfromioc.com
"
153,"http://www.whateverworks.com/
"
154,"http://www.wholesurgical.com/
"
155,"http://www.worldmarket.com
"
156,"http://www.yesglasses.com
"
157,"http://www.yoox.com
"
158,"http://www.zappos.com
"
159,"http://www.zazzle.com
"
160,"http://www.zoro.com
"
161,"http://www.zulily.com
"
162,"http://zenni.com
"
163,"https://coveti.com/
"
164,"https://goop.com
"
165,"https://ironandresin.com/
"
166,"https://modelights.com/
"
167,"https://pairofshoes.com
"
168,"https://pstpoolsupplies.com
"
169,"https://renewgoo.com/
"
170,"https://shop.bikini.com
"
171,"https://shyftedvision.com/
"
172,"https://www.aeropostale.com
"
173,"https://www.alphabetdeal.com
"
174,"https://www.amara.com
"
175,"https://www.balfour.com
"
176,"https://www.big5sportinggoods.com
"
177,"https://www.campsaver.com
"
178,"https://www.chicksaddlery.com
"
179,"https://www.cjponyparts.com/
"
180,"https://www.costbuys.com
"
181,"https://www.cozzoo.com/
"
182,"https://www.dhgate.com/
"
183,"https://www.dickies.com
"
184,"https://www.discountmugs.com
"
185,"https://www.draperjames.com/
"
186,"https://www.factorydirecthardware.com
"
187,"https://www.felina.com
"
188,"https://www.gearthirty.com/
"
189,"https://www.hibbett.com/
"
190,"https://www.homedepot.com
"
191,"https://www.homeshoppingmalls.com/
"
192,"https://www.italist.com/en/
"
193,"https://www.jewelryshopping.com/
"
194,"https://www.jmclaughlin.com
"
195,"https://www.marksandspencer.com/us/
"
196,"https://www.mileskimball.com
"
