,Shops
0,"http://livingsocial.com
"
1,"http://vtechphones.com
"
2,"http://www.Adorama.com
"
3,"http://www.ReStockIt.com
"
4,"http://www.amazon.com
"
5,"http://www.amazon.com/
"
6,"http://www.bhphotovideo.com/?BI=82
"
7,"http://www.bizchair.com
"
8,"http://www.blackbeltshop.us
"
9,"http://www.bluecosmo.com
"
10,"http://www.buybizsupplies.com
"
11,"http://www.cleanitsupply.com
"
12,"http://www.crutchfield.com/I-rbizc000/index.html
"
13,"http://www.emerchantoutlet.com
"
14,"http://www.factoryoutletstore.com
"
15,"http://www.gamestop.com
"
16,"http://www.groupon.com
"
17,"http://www.heartratemonitorsusa.com
"
18,"http://www.homedepot.com
"
19,"http://www.jcpenney.com/
"
20,"http://www.northerntool.com/
"
21,"http://www.oceansmall.net
"
22,"http://www.officesupersavers.com
"
23,"http://www.onlinelivingaids.com/
"
24,"http://www.pinzoo.com
"
25,"http://www.respiratorycarestore.com/
"
26,"http://www.serversupply.com
"
27,"http://www.tschome.com
"
28,"http://www.tscshops.com
"
29,"http://www.walmart.com
"
30,"http://www.webstaurantstore.com
"
31,"http://www.wholesurgical.com/
"
32,"http://www.zoro.com
"
33,"http://www1.us.dell.com/content/
"
34,"https://www.allhdd.com
"
35,"https://www.datavision.com
"
36,"https://www.dhgate.com/
"
37,"https://www.homedepot.com
"
