,Shops
0,"http://brittandjules.com
"
1,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
2,"http://holabirdsports.com
"
3,"http://livingsocial.com
"
4,"http://poshmark.com
"
5,"http://samsclub.com
"
6,"http://soccer.epicsports.com
"
7,"http://www.CenturyNovelty.com
"
8,"http://www.Fanatics.com
"
9,"http://www.LambertVetSupply.com
"
10,"http://www.SchoolOutfitters.com
"
11,"http://www.allposters.com
"
12,"http://www.amazon.com
"
13,"http://www.amazon.com/
"
14,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
15,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
16,"http://www.beallsflorida.com
"
17,"http://www.belk.com/
"
18,"http://www.bizchair.com
"
19,"http://www.bluefly.com
"
20,"http://www.chewy.com
"
21,"http://www.deepdiscount.com
"
22,"http://www.doversaddlery.com
"
23,"http://www.emerchantoutlet.com
"
24,"http://www.freshnless.com
"
25,"http://www.groupon.com
"
26,"http://www.halloweencostumesupplystore.com
"
27,"http://www.homedepot.com
"
28,"http://www.houzz.com
"
29,"http://www.joesnewbalanceoutlet.com
"
30,"http://www.kohls.com
"
31,"http://www.layoffpain.com/
"
32,"http://www.lyst.com
"
33,"http://www.macys.com
"
34,"http://www.mobilityequip.com/
"
35,"http://www.mrporter.com
"
36,"http://www.mrwatch.com
"
37,"http://www.net-a-porter.com
"
38,"http://www.newbalance.com
"
39,"http://www.nordstrom.com
"
40,"http://www.nordstromrack.com
"
41,"http://www.officesupersavers.com
"
42,"http://www.onlinelivingaids.com/
"
43,"http://www.onlinemegamall.com
"
44,"http://www.partycheap.com
"
45,"http://www.respiratorycarestore.com/
"
46,"http://www.saksoff5th.com
"
47,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
48,"http://www.shoemall.com
"
49,"http://www.society6.com/
"
50,"http://www.sportscollectibles.com
"
51,"http://www.sportsmanguide.com
"
52,"http://www.ssense.com
"
53,"http://www.titlenine.com
"
54,"http://www.underarmour.com
"
55,"http://www.valleyvet.com
"
56,"http://www.walmart.com
"
57,"http://www.wayfair.com
"
58,"http://www.zappos.com
"
59,"http://www.zazzle.com
"
60,"http://www.zoro.com
"
61,"http://www.zulily.com
"
62,"https://AutographsForSale.com
"
63,"https://buyfmgear.com/
"
64,"https://webstore.northsails.com/us/en/homepage
"
65,"https://www.costbuys.com
"
66,"https://www.discountbandit.com
"
67,"https://www.epicpetster.com
"
68,"https://www.hexbug.com
"
69,"https://www.hibbett.com/
"
70,"https://www.homedepot.com
"
71,"https://www.italist.com/en/
"
72,"https://www.secondsale.com
"
73,"https://www.shoes.com
"
74,"https://www.therealreal.com
"
75,"https://www.tillys.com
"
76,"https://www.trouva.com/
"
77,"www..jencowholesale.com
"
