,Shops
0,"http://brittandjules.com
"
1,"http://gate4great.info/
"
2,"http://livingsocial.com
"
3,"http://luxycouture.com
"
4,"http://movieszeries.myshopify.com
"
5,"http://poshmark.com
"
6,"http://samsclub.com
"
7,"http://shop.nhl.com
"
8,"http://store.nascar.com/entry.point?target=z&source=BZLG:2774:TXT:N:3693:1003:NASCAR
"
9,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
10,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
11,"http://www.Adorama.com
"
12,"http://www.CenturyNovelty.com
"
13,"http://www.DisneyStore.com
"
14,"http://www.DrsFosterSmith.com
"
15,"http://www.Educents.com
"
16,"http://www.Fanatics.com
"
17,"http://www.PulseTV.com
"
18,"http://www.SchoolOutfitters.com
"
19,"http://www.abt.com
"
20,"http://www.acoutlet.shop/
"
21,"http://www.agrisupply.com
"
22,"http://www.albeebaby.com
"
23,"http://www.allposters.com
"
24,"http://www.amazon.com
"
25,"http://www.amazon.com/
"
26,"http://www.authenticwatches.com
"
27,"http://www.autogeek.net
"
28,"http://www.autopia-carcare.com
"
29,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
30,"http://www.beallsflorida.com
"
31,"http://www.belk.com/
"
32,"http://www.bizchair.com
"
33,"http://www.bluefly.com
"
34,"http://www.boscovs.com/
"
35,"http://www.build.com
"
36,"http://www.carcovers.com
"
37,"http://www.cavenders.com
"
38,"http://www.crateandbarrel.com
"
39,"http://www.deepdiscount.com
"
40,"http://www.displays2go.com
"
41,"http://www.doversaddlery.com
"
42,"http://www.emerchantoutlet.com
"
43,"http://www.fansedge.com/
"
44,"http://www.fitzulas.com
"
45,"http://www.freshnless.com
"
46,"http://www.gamestop.com
"
47,"http://www.getwineonline.com
"
48,"http://www.groupon.com
"
49,"http://www.halloweencostumesupplystore.com
"
50,"http://www.homedepot.com
"
51,"http://www.homegoodscenter.com
"
52,"http://www.houzz.com
"
53,"http://www.interstatemusic.com
"
54,"http://www.jcpenney.com/
"
55,"http://www.katom.com
"
56,"http://www.kohls.com
"
57,"http://www.kotulas.com
"
58,"http://www.landofnod.com
"
59,"http://www.lightingdirect.com
"
60,"http://www.macys.com
"
61,"http://www.melissaanddoug.com
"
62,"http://www.naturewoo.com/
"
63,"http://www.northerntool.com/
"
64,"http://www.oceansmall.net
"
65,"http://www.onlinemegamall.com
"
66,"http://www.orange-traffic-cones.com
"
67,"http://www.peazz.com
"
68,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
69,"http://www.personalizationmall.com
"
70,"http://www.qvc.com/
"
71,"http://www.respiratorycarestore.com/
"
72,"http://www.sawesometoys.com
"
73,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
74,"http://www.shindigz.com
"
75,"http://www.society6.com/
"
76,"http://www.sportscollectibles.com
"
77,"http://www.ssense.com
"
78,"http://www.tschome.com
"
79,"http://www.tscshops.com
"
80,"http://www.tsctoys.com
"
81,"http://www.underarmour.com
"
82,"http://www.walmart.com
"
83,"http://www.warehousespot.com
"
84,"http://www.wayfair.com
"
85,"http://www.wholesurgical.com/
"
86,"http://www.yoox.com
"
87,"http://www.youngexplorers.com/
"
88,"http://www.zazzle.com
"
89,"http://www.zulily.com
"
90,"https://AutographsForSale.com
"
91,"https://acdecor.biz/
"
92,"https://gg-decor.com/
"
93,"https://kidslearningshop.com
"
94,"https://otakuplan.com/
"
95,"https://renewgoo.com/
"
96,"https://selletonscales.com
"
97,"https://store12373258.ecwid.com/
"
98,"https://www.alphabetdeal.com
"
99,"https://www.chicksaddlery.com
"
100,"https://www.discountmugs.com
"
101,"https://www.fun.com
"
102,"https://www.hayneedle.com
"
103,"https://www.hexbug.com
"
104,"https://www.homedepot.com
"
105,"https://www.mileskimball.com
"
106,"https://www.naughtydelight.com
"
107,"https://www.raise.com/
"
108,"https://www.secondsale.com
"
109,"https://www.shoes.com
"
110,"https://www.shoppingzoneplus.com
"
111,"https://www.sportsmans.com/
"
112,"https://www.therealreal.com
"
113,"https://www.toyorb.com
"
114,"https://www.trouva.com/
"
