,Shops
0,"http://adameve.com
"
1,"http://apartysource.com
"
2,"http://bakersauthority.com
"
3,"http://brittandjules.com
"
4,"http://buymbs.com
"
5,"http://carhartt.com
"
6,"http://click.linksynergy.com/fs-bin/stat?id=hLUPakqa5g4&offerid=10116.9&type=3&subid=0&u1=1x1
"
7,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
8,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
9,"http://closetsauce.com
"
10,"http://collectiblestoday18.cpcmanager.com/?1750663
"
11,"http://discountdecorativeflags.com
"
12,"http://gate4great.info/
"
13,"http://holabirdsports.com
"
14,"http://livingsocial.com
"
15,"http://luxycouture.com
"
16,"http://movieszeries.myshopify.com
"
17,"http://my-bio-zen.com
"
18,"http://nitroracer.net
"
19,"http://northshorefaucets.com
"
20,"http://parkseed.com
"
21,"http://poshmark.com
"
22,"http://samsclub.com
"
23,"http://shop.LEGO.com
"
24,"http://shop.mlb.com/
"
25,"http://shop.nhl.com
"
26,"http://shopping.franklincovey.com
"
27,"http://soccer.epicsports.com
"
28,"http://store.nascar.com/entry.point?target=z&source=BZLG:2774:TXT:N:3693:1003:NASCAR
"
29,"http://store.nba.com/
"
30,"http://store.scholastic.com
"
31,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
32,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
33,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
34,"http://svmoscow.com
"
35,"http://www.1800lighting.com
"
36,"http://www.6ave.com
"
37,"http://www.Adorama.com
"
38,"http://www.AtticTrunk.com
"
39,"http://www.Campmor.com
"
40,"http://www.CatalogFavorites.com/
"
41,"http://www.CenturyNovelty.com
"
42,"http://www.DisneyStore.com
"
43,"http://www.DrsFosterSmith.com
"
44,"http://www.Educents.com
"
45,"http://www.Everymemorabilia.com
"
46,"http://www.Fanatics.com
"
47,"http://www.JustArtifacts.net
"
48,"http://www.LambertVetSupply.com
"
49,"http://www.Lenox.com
"
50,"http://www.MidwayUSA.com
"
51,"http://www.PartySpin.com
"
52,"http://www.PulseTV.com
"
53,"http://www.ReStockIt.com
"
54,"http://www.SchoolOutfitters.com
"
55,"http://www.UtahSkis.com
"
56,"http://www.abt.com
"
57,"http://www.acoutlet.shop/
"
58,"http://www.agrisupply.com
"
59,"http://www.albeebaby.com
"
60,"http://www.allposters.com
"
61,"http://www.amazon.com
"
62,"http://www.amazon.com/
"
63,"http://www.americanbookwarehouse.com
"
64,"http://www.amsterdamprinting.com
"
65,"http://www.aninebing.com/
"
66,"http://www.appoutdoors.com
"
67,"http://www.ashleystewart.com
"
68,"http://www.authenticwatches.com
"
69,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
70,"http://www.autogeek.net
"
71,"http://www.autopia-carcare.com
"
72,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
73,"http://www.backinthesaddle.com/
"
74,"http://www.ballarddesigns.com
"
75,"http://www.barenecessities.com/csi/default.asp?source=bizrate&term=ratings
"
76,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
77,"http://www.beallsflorida.com
"
78,"http://www.belk.com/
"
79,"http://www.berries.com
"
80,"http://www.bestmaterials.com
"
81,"http://www.bhphotovideo.com/?BI=82
"
82,"http://www.bizchair.com
"
83,"http://www.blackbeltshop.us
"
84,"http://www.blendmount.com
"
85,"http://www.blueandcream.com
"
86,"http://www.bluecosmo.com
"
87,"http://www.bluefly.com
"
88,"http://www.boscovs.com/
"
89,"http://www.brownells.com
"
90,"http://www.buckle.com
"
91,"http://www.build.com
"
92,"http://www.buybizsupplies.com
"
93,"http://www.calexotics.com
"
94,"http://www.candymachines.com
"
95,"http://www.carcovers.com
"
96,"http://www.carparts.com
"
97,"http://www.cavenders.com
"
98,"http://www.charlotterusse.com
"
99,"http://www.chewy.com
"
100,"http://www.chicos.com
"
101,"http://www.christianbookbag.com
"
102,"http://www.cleanitsupply.com
"
103,"http://www.cokesbury.com
"
104,"http://www.countrystorecatalog.com
"
105,"http://www.cpooutlets.com
"
106,"http://www.crateandbarrel.com
"
107,"http://www.crazycarlsdeals.com
"
108,"http://www.crutchfield.com/I-rbizc000/index.html
"
109,"http://www.cyberteez.com
"
110,"http://www.cymax.com/
"
111,"http://www.deepdiscount.com
"
112,"http://www.dell.com
"
113,"http://www.deluxe.com
"
114,"http://www.denniskirk.com
"
115,"http://www.directvapor.com
"
116,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
117,"http://www.discounttiredirect.com
"
118,"http://www.displays2go.com
"
119,"http://www.doversaddlery.com
"
120,"http://www.driparmor.com/
"
121,"http://www.efaucets.com
"
122,"http://www.energysavinglighting.com
"
123,"http://www.ergoback.com
"
124,"http://www.expressionscatalog.com/
"
125,"http://www.factoryoutletstore.com
"
126,"http://www.fairpricenow.com
"
