,Shops
0,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
1,"http://gate4great.info/
"
2,"http://holabirdsports.com
"
3,"http://livingsocial.com
"
4,"http://poshmark.com
"
5,"http://soccer.epicsports.com
"
6,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
7,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
8,"http://www.Adorama.com
"
9,"http://www.Campmor.com
"
10,"http://www.agrisupply.com
"
11,"http://www.allposters.com
"
12,"http://www.allurez.com
"
13,"http://www.amazon.com
"
14,"http://www.amazon.com/
"
15,"http://www.ariat.com
"
16,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
17,"http://www.autogeek.net
"
18,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
19,"http://www.belk.com/
"
20,"http://www.boscovs.com/
"
21,"http://www.buckle.com
"
22,"http://www.crazycarlsdeals.com
"
23,"http://www.designeroptics.com
"
24,"http://www.emerchantoutlet.com
"
25,"http://www.fossil.com/shopping/default.asp?Tier1=Shopping&PSID=bizfeedfslshop_ratingspage
"
26,"http://www.groupon.com
"
27,"http://www.halloweencostumesupplystore.com
"
28,"http://www.heartratemonitorsusa.com
"
29,"http://www.homedepot.com
"
30,"http://www.houzz.com
"
31,"http://www.jcpenney.com/
"
32,"http://www.kohls.com
"
33,"http://www.kqzyfj.com/click-177778-10379988
"
34,"http://www.lightingdirect.com
"
35,"http://www.lyst.com
"
36,"http://www.macys.com
"
37,"http://www.mensusa.com
"
38,"http://www.michaelkors.com/
"
39,"http://www.mobilityequip.com/
"
40,"http://www.mrporter.com
"
41,"http://www.net-a-porter.com
"
42,"http://www.nordstrom.com
"
43,"http://www.nordstromrack.com
"
44,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
45,"http://www.princetonwatches.com
"
46,"http://www.respiratorycarestore.com/
"
47,"http://www.saksoff5th.com
"
48,"http://www.sarraf.com
"
49,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
50,"http://www.ssense.com
"
51,"http://www.stomabags.com/
"
52,"http://www.thefryecompany.com/
"
53,"http://www.theory.com/
"
54,"http://www.timex.com
"
55,"http://www.walmart.com
"
56,"http://www.wayfair.com
"
57,"http://www.wholesurgical.com/
"
58,"http://www.yoox.com
"
59,"http://www.zappos.com
"
60,"http://www.zoro.com
"
61,"http://www.zulily.com
"
62,"https://proxytee.com/
"
63,"https://www.chicksaddlery.com
"
64,"https://www.costbuys.com
"
65,"https://www.costway.com/
"
66,"https://www.davincivaporizer.com
"
67,"https://www.epicpetster.com
"
68,"https://www.homedepot.com
"
69,"https://www.italist.com/en/
"
70,"https://www.jewelryshopping.com/
"
71,"https://www.lightbulbs.com
"
72,"https://www.ruelala.com
"
73,"https://www.sportsmans.com/
"
74,"https://www.therealreal.com
"
75,"www.flooranddecor.com
"
