,Shops
0,"adamandeve.com
"
1,"http://appleseeds.blair.com
"
2,"http://billsoutlets.com
"
3,"http://birkenstock.com/us
"
4,"http://brittandjules.com
"
5,"http://carhartt.com
"
6,"http://click.linksynergy.com/fs-bin/stat?id=hLUPakqa5g4&offerid=10116.9&type=3&subid=0&u1=1x1
"
7,"http://clickserve.cc-dt.com/link/click?lid=41000000000059074
"
8,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
9,"http://discountdecorativeflags.com
"
10,"http://gate4great.info/
"
11,"http://gurneys.com
"
12,"http://holabirdsports.com
"
13,"http://livingsocial.com
"
14,"http://luxycouture.com
"
15,"http://morphmallow.com
"
16,"http://my-bio-zen.com
"
17,"http://poshmark.com
"
18,"http://samsclub.com
"
19,"http://shop.mlb.com/
"
20,"http://shop.nhl.com
"
21,"http://soccer.epicsports.com
"
22,"http://store.nba.com/
"
23,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
24,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
25,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
26,"http://svmoscow.com
"
27,"http://thenorthface.com/
"
28,"http://ullapopken.com/
"
29,"http://wintersilks.com
"
30,"http://www.Adorama.com
"
31,"http://www.Campmor.com
"
32,"http://www.CatalogFavorites.com/
"
33,"http://www.CenturyNovelty.com
"
34,"http://www.Fanatics.com
"
35,"http://www.JustArtifacts.net
"
36,"http://www.PartySpin.com
"
37,"http://www.PulseTV.com
"
38,"http://www.UtahSkis.com
"
39,"http://www.abercrombie.com
"
40,"http://www.airturn.com/
"
41,"http://www.allposters.com
"
42,"http://www.amazon.com
"
43,"http://www.amazon.com/
"
44,"http://www.americanbookwarehouse.com
"
45,"http://www.amsterdamprinting.com
"
46,"http://www.aninebing.com/
"
47,"http://www.appoutdoors.com
"
48,"http://www.aquapillar.com
"
49,"http://www.ariat.com
"
50,"http://www.ashleystewart.com
"
51,"http://www.autogeek.net
"
52,"http://www.autopia-carcare.com
"
53,"http://www.avondaleactive.com
"
54,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
55,"http://www.backinthesaddle.com/
"
56,"http://www.ballarddesigns.com
"
57,"http://www.bananarepublic.com/
"
58,"http://www.barenecessities.com/csi/default.asp?source=bizrate&term=ratings
"
59,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
60,"http://www.beallsflorida.com
"
61,"http://www.belk.com/
"
62,"http://www.birchbox.com
"
63,"http://www.birkenstock.com/us
"
64,"http://www.bizchair.com
"
65,"http://www.black.co.uk
"
66,"http://www.blackbeltshop.us
"
67,"http://www.blackhelmetapparel.com
"
68,"http://www.blair.com
"
69,"http://www.blueandcream.com
"
70,"http://www.bluefly.com
"
71,"http://www.boscovs.com/
"
72,"http://www.bostonproper.com
"
73,"http://www.brooksrunning.com
"
74,"http://www.buckle.com
"
75,"http://www.build.com
"
76,"http://www.catsnus.com/
"
77,"http://www.cavenders.com
"
78,"http://www.charlotterusse.com
"
79,"http://www.chicos.com
"
80,"http://www.coolibar.com
"
81,"http://www.countrystorecatalog.com
"
82,"http://www.crateandbarrel.com
"
83,"http://www.cyberteez.com
"
84,"http://www.deepdiscount.com
"
85,"http://www.designeroptics.com
"
86,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
87,"http://www.doversaddlery.com
"
88,"http://www.dreamsoftbedware.com
"
89,"http://www.driparmor.com/
"
90,"http://www.emerchantoutlet.com
"
91,"http://www.esalon.com
"
92,"http://www.everestgear.com
"
93,"http://www.everythingbutwater.com
"
94,"http://www.expressionscatalog.com/
"
95,"http://www.fansedge.com/
"
96,"http://www.faucetdirect.com?/source=bizrate
"
97,"http://www.fossil.com/shopping/default.asp?Tier1=Shopping&PSID=bizfeedfslshop_ratingspage
"
98,"http://www.fragrancenet.com/fnet/index.html?mv_pc=bizrateMF
"
99,"http://www.freshnless.com
"
100,"http://www.gamestop.com
"
101,"http://www.gliks.com
"
102,"http://www.gnc.com
"
103,"http://www.golfshopplus.com
"
104,"http://www.groupon.com
"
105,"http://www.haband.com
"
106,"http://www.hairthirst.com
"
107,"http://www.halloweencostumes.com
"
108,"http://www.halloweencostumesupplystore.com
"
109,"http://www.hautelook.com
"
110,"http://www.hconecompanies.com
"
111,"http://www.herroom.com
"
112,"http://www.homedepot.com
"
113,"http://www.honestbeauty.com
"
114,"http://www.hottopic.com
"
115,"http://www.houzz.com
"
116,"http://www.jcpenney.com/
"
117,"http://www.jny.com
"
118,"http://www.jockey.com
"
119,"http://www.joylot.com
"
120,"http://www.katespade.com
"
121,"http://www.katom.com
"
122,"http://www.keenfootwear.com
"
123,"http://www.kellsons.com
"
124,"http://www.kohls.com
"
125,"http://www.krisarclothing.com
"
126,"http://www.landsend.com/
"
127,"http://www.layoffpain.com/
"
