,Shops
0,"http://WWW.GLASSRACK.NET
"
1,"http://brittandjules.com
"
2,"http://closetsauce.com
"
3,"http://livingsocial.com
"
4,"http://poshmark.com
"
5,"http://samsclub.com
"
6,"http://shop.mlb.com/
"
7,"http://shop.nhl.com
"
8,"http://shopping.franklincovey.com
"
9,"http://soccer.epicsports.com
"
10,"http://store.nascar.com/entry.point?target=z&source=BZLG:2774:TXT:N:3693:1003:NASCAR
"
11,"http://store.nba.com/
"
12,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
13,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
14,"http://www.Adorama.com
"
15,"http://www.Campmor.com
"
16,"http://www.CatalogFavorites.com/
"
17,"http://www.Fanatics.com
"
18,"http://www.MidwayUSA.com
"
19,"http://www.abt.com
"
20,"http://www.agrisupply.com
"
21,"http://www.allposters.com
"
22,"http://www.amazon.com
"
23,"http://www.amazon.com/
"
24,"http://www.appoutdoors.com
"
25,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
26,"http://www.autogeek.net
"
27,"http://www.autopartswarehouse.com
"
28,"http://www.autopia-carcare.com
"
29,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
30,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
31,"http://www.beallsflorida.com
"
32,"http://www.belk.com/
"
33,"http://www.bizchair.com
"
34,"http://www.blendmount.com
"
35,"http://www.boscovs.com/
"
36,"http://www.brownells.com
"
37,"http://www.build.com
"
38,"http://www.carcovers.com
"
39,"http://www.carparts.com
"
40,"http://www.cellphonecases.com
"
41,"http://www.cepcompression.com
"
42,"http://www.chewy.com
"
43,"http://www.cpooutlets.com
"
44,"http://www.crazycarlsdeals.com
"
45,"http://www.crutchfield.com/I-rbizc000/index.html
"
46,"http://www.cyberteez.com
"
47,"http://www.deepdiscount.com
"
48,"http://www.deluxe.com
"
49,"http://www.denniskirk.com
"
50,"http://www.designeroptics.com
"
51,"http://www.discounttiredirect.com
"
52,"http://www.doversaddlery.com
"
53,"http://www.elitemetaltools.com
"
54,"http://www.emerchantoutlet.com
"
55,"http://www.everestgear.com
"
56,"http://www.fansedge.com/
"
57,"http://www.fillernecksupply.com
"
58,"http://www.groupon.com
"
59,"http://www.halloweencostumesupplystore.com
"
60,"http://www.homedepot.com
"
61,"http://www.hottopic.com
"
62,"http://www.inthecompanyofdogs.com/
"
63,"http://www.jcpenney.com/
"
64,"http://www.jmbullion.com/
"
65,"http://www.joylot.com
"
66,"http://www.keylessentryremotefob.com
"
67,"http://www.kohls.com
"
