,Shops
0,"http://WWW.GLASSRACK.NET
"
1,"http://brittandjules.com
"
2,"http://buymbs.com
"
3,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
4,"http://holabirdsports.com
"
5,"http://livingsocial.com
"
6,"http://my-bio-zen.com
"
7,"http://poshmark.com
"
8,"http://samsclub.com
"
9,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
10,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
11,"http://www.Adorama.com
"
12,"http://www.DrsFosterSmith.com
"
13,"http://www.Educents.com
"
14,"http://www.Fanatics.com
"
15,"http://www.MidwayUSA.com
"
16,"http://www.ReStockIt.com
"
17,"http://www.abt.com
"
18,"http://www.agrisupply.com
"
19,"http://www.allposters.com
"
20,"http://www.amazon.com
"
21,"http://www.amazon.com/
"
22,"http://www.americanbookwarehouse.com
"
23,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
24,"http://www.autogeek.net
"
25,"http://www.autopartswarehouse.com
"
26,"http://www.autopia-carcare.com
"
27,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
28,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
29,"http://www.beallsflorida.com
"
30,"http://www.bizchair.com
"
31,"http://www.blendmount.com
"
32,"http://www.bluecosmo.com
"
33,"http://www.brownells.com
"
34,"http://www.build.com
"
35,"http://www.bulbamerica.com
"
36,"http://www.carcovers.com
"
37,"http://www.carparts.com
"
38,"http://www.cellphonecases.com
"
39,"http://www.cpooutlets.com
"
40,"http://www.crazycarlsdeals.com
"
41,"http://www.crutchfield.com/I-rbizc000/index.html
"
42,"http://www.deepdiscount.com
"
43,"http://www.denniskirk.com
"
44,"http://www.diabeticstreatment.com/
"
45,"http://www.directvapor.com
"
46,"http://www.discounttiredirect.com
"
47,"http://www.doversaddlery.com
"
48,"http://www.efaucets.com
"
49,"http://www.elitemetaltools.com
"
50,"http://www.emerchantoutlet.com
"
51,"http://www.fansedge.com/
"
52,"http://www.faucetdirect.com?/source=bizrate
"
53,"http://www.fillernecksupply.com
"
54,"http://www.freshnless.com
"
55,"http://www.freshwatersystems.com
"
56,"http://www.frsport.com
"
57,"http://www.groupon.com
"
58,"http://www.herroom.com
"
59,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
60,"http://www.homedepot.com
"
61,"http://www.houzz.com
"
62,"http://www.jerrysartarama.com
"
63,"http://www.jmbullion.com/
"
64,"http://www.katom.com
"
65,"http://www.keylessentryremotefob.com
"
66,"http://www.kohls.com
"
67,"http://www.kotulas.com
"
68,"http://www.larsonelectronics.com
"
69,"http://www.lightingdirect.com
"
70,"http://www.lockandhinge.com
"
71,"http://www.lyst.com
"
72,"http://www.mobilityequip.com/
"
73,"http://www.motoin.de/index.php?language=en
"
74,"http://www.mrporter.com
"
75,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
76,"http://www.northerntool.com/
"
77,"http://www.oceansmall.net
"
78,"http://www.onlinemegamall.com
"
79,"http://www.partsgeek.com
"
80,"http://www.petfenceusa.com
"
81,"http://www.qvc.com/
"
82,"http://www.respiratorycarestore.com/
"
83,"http://www.rosegal.com
"
84,"http://www.saksoff5th.com
"
85,"http://www.shindigz.com
"
86,"http://www.shoemall.com
"
87,"http://www.sonicelectronix.com
"
88,"http://www.sportsmanguide.com
"
89,"http://www.stockinteriors.com
"
90,"http://www.stumpsparty.com
"
91,"http://www.sweetwater.com
"
92,"http://www.thesensorconnection.com
"
93,"http://www.tirebuyer.com
"
94,"http://www.tirerack.com
"
95,"http://www.tires-easy.com
"
96,"http://www.tschome.com
"
97,"http://www.tscshops.com
"
98,"http://www.walmart.com
"
99,"http://www.wayfair.com
"
100,"http://www.webstaurantstore.com
"
101,"http://www.weldingsuppliesfromioc.com
"
102,"http://www.wholesurgical.com/
"
103,"http://www.zazzle.com
"
104,"http://www.zoro.com
"
105,"http://www.zoro1.com
"
106,"https://buyfmgear.com/
"
107,"https://caautoparts.com/
"
108,"https://customstickershop.us
"
109,"https://pstpoolsupplies.com
"
110,"https://renewgoo.com/
"
111,"https://replacementbatterystore.com/
"
112,"https://steelfitusa.com/
"
113,"https://tiresshipped2you.com/
"
114,"https://webstore.northsails.com/us/en/homepage
"
115,"https://www.artistsupplysource.com
"
116,"https://www.campsaver.com
"
117,"https://www.carparts.com/
"
118,"https://www.chicksaddlery.com
"
119,"https://www.cjponyparts.com/
"
120,"https://www.costway.com/
"
121,"https://www.fun.com
"
122,"https://www.hayneedle.com
"
123,"https://www.hlsproparts.com
"
124,"https://www.homedepot.com
"
125,"https://www.industrialsafetygear.com/
"
126,"https://www.invertersupply.com
"
127,"https://www.italist.com/en/
"
128,"https://www.mastertoolsupply.com
"
129,"https://www.maxpeedingrods.com/
"
130,"https://www.naughtydelight.com
"
131,"https://www.pethoot.com
"
132,"https://www.secondsale.com
"
133,"https://www.swaggsauce.com
"
134,"https://www.therealreal.com
"
135,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
136,"www.crutchfield.com
"
