,Shops
0,"http://bakersauthority.com
"
1,"http://bluebath.com
"
2,"http://brittandjules.com
"
3,"http://closetsauce.com
"
4,"http://gate4great.info/
"
5,"http://holabirdsports.com
"
6,"http://livingsocial.com
"
7,"http://my-bio-zen.com
"
8,"http://northshorefaucets.com
"
9,"http://poshmark.com
"
10,"http://samsclub.com
"
11,"http://shop.mlb.com/
"
12,"http://shop.nhl.com
"
13,"http://shopping.franklincovey.com
"
14,"http://soccer.epicsports.com
"
15,"http://store.nba.com/
"
16,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
17,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
18,"http://vtechphones.com
"
19,"http://www.1800petmeds.com
"
20,"http://www.Adorama.com
"
21,"http://www.Campmor.com
"
22,"http://www.CenturyNovelty.com
"
23,"http://www.DrsFosterSmith.com
"
24,"http://www.Educents.com
"
25,"http://www.Fanatics.com
"
26,"http://www.JustArtifacts.net
"
27,"http://www.LambertVetSupply.com
"
28,"http://www.Lenox.com
"
29,"http://www.MidwayUSA.com
"
30,"http://www.SchoolOutfitters.com
"
31,"http://www.abt.com
"
32,"http://www.albeebaby.com
"
33,"http://www.allivet.com
"
34,"http://www.allposters.com
"
35,"http://www.amazon.com
"
36,"http://www.amazon.com/
"
37,"http://www.appoutdoors.com
"
38,"http://www.aquasana.com
"
39,"http://www.ariaperfume.com
"
40,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
41,"http://www.autogeek.net
"
42,"http://www.autopia-carcare.com
"
43,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
44,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
45,"http://www.beallsflorida.com
"
46,"http://www.belk.com/
"
47,"http://www.bhphotovideo.com/?BI=82
"
48,"http://www.bizchair.com
"
49,"http://www.bluefly.com
"
50,"http://www.boscovs.com/
"
51,"http://www.build.com
"
52,"http://www.cavenders.com
"
53,"http://www.chewy.com
"
54,"http://www.concordhealthsupply.com
"
55,"http://www.coolibar.com
"
56,"http://www.cpooutlets.com
"
57,"http://www.crateandbarrel.com
"
58,"http://www.crazycarlsdeals.com
"
59,"http://www.cymax.com/
"
60,"http://www.dealyard.com
"
61,"http://www.deepdiscount.com
"
62,"http://www.diabeticstreatment.com/
"
63,"http://www.directvapor.com
"
64,"http://www.discounttiredirect.com
"
65,"http://www.doversaddlery.com
"
66,"http://www.driparmor.com/
"
67,"http://www.efaucets.com
"
68,"http://www.emerchantoutlet.com
"
69,"http://www.eufylife.com
"
70,"http://www.fansedge.com/
"
71,"http://www.faucetdirect.com?/source=bizrate
"
72,"http://www.finelinens.com
"
73,"http://www.freshnless.com
"
74,"http://www.frugalorganics.com
"
75,"http://www.funridingtoys.com
"
76,"http://www.gnc.com
"
77,"http://www.golfshopplus.com
"
78,"http://www.hairthirst.com
"
79,"http://www.halloweencostumes.com
"
80,"http://www.halloweencostumesupplystore.com
"
81,"http://www.hconecompanies.com
"
82,"http://www.healthproductsforyou.com
"
83,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
84,"http://www.homedepot.com
"
85,"http://www.homegoodscenter.com
"
86,"http://www.honest.com
"
87,"http://www.houzz.com
"
88,"http://www.inthecompanyofdogs.com/
"
89,"http://www.jcpenney.com/
"
90,"http://www.jerrysartarama.com
"
91,"http://www.johnnyseeds.com
"
92,"http://www.joylot.com
"
93,"http://www.katom.com
"
94,"http://www.kinkytoy.store
"
95,"http://www.kohls.com
"
96,"http://www.kotulas.com
"
97,"http://www.kqzyfj.com/click-177778-10379988
"
98,"http://www.landofnod.com
"
99,"http://www.layoffpain.com/
"
100,"http://www.lightingdirect.com
"
101,"http://www.lockandhinge.com
"
102,"http://www.luckyvitamin.com
"
103,"http://www.lyst.com
"
104,"http://www.macys.com
"
105,"http://www.madisonseating.com
"
106,"http://www.melissaanddoug.com
"
107,"http://www.memorablegifts.com
"
108,"http://www.mobilityequip.com/
"
109,"http://www.mountainsteals.com
"
110,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
111,"http://www.mybeautybuy.com
"
112,"http://www.naturewoo.com/
"
113,"http://www.nordstromrack.com
"
114,"http://www.northerntool.com/
"
115,"http://www.oceansmall.net
"
116,"http://www.officesupersavers.com
"
117,"http://www.onlinelivingaids.com/
"
118,"http://www.onlinemegamall.com
"
119,"http://www.oralprecision.com/
"
120,"http://www.overstock.com/cgi-bin/d2.cgi?cid=19516&fp=f
"
121,"http://www.peazz.com
"
122,"http://www.peazzfurniture.com
"
123,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
124,"http://www.personalizationmall.com
"
125,"http://www.petco.com/Landing/RedirectSource.aspx?RedirectURL=http%3a%2f%2fwww.petco.com%3fcm_ven%3dbiz%26cm_cat%3d
"
126,"http://www.petfenceusa.com
"
127,"http://www.petsupplies4less.com
"
128,"http://www.pinzoo.com
"
129,"http://www.qvc.com/
"
130,"http://www.replacements.com
"
131,"http://www.respiratorycarestore.com/
"
132,"http://www.ritzcamera.com
"
133,"http://www.saksoff5th.com
"
134,"http://www.sawesometoys.com
"
135,"http://www.scoutandnimble.com
"
136,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
137,"http://www.shein.com
"
138,"http://www.shelhealth.com
"
139,"http://www.shindigz.com
"
140,"http://www.spanglercandy.com/candy-store/
"
141,"http://www.springsunday.com
"
142,"http://www.ssense.com
"
143,"http://www.stomabags.com/
"
144,"http://www.stumpsparty.com
"
145,"http://www.swimoutlet.com
"
146,"http://www.teamstores.com
"
147,"http://www.totallyfurniture.com/
"
148,"http://www.tschome.com
"
149,"http://www.tscshops.com
"
150,"http://www.tsctoys.com
"
151,"http://www.underarmour.com
"
152,"http://www.valleyvet.com
"
153,"http://www.walmart.com
"
154,"http://www.warehousespot.com
"
155,"http://www.wayfair.com
"
156,"http://www.webstaurantstore.com
"
157,"http://www.whateverworks.com/
"
158,"http://www.wholesurgical.com/
"
159,"http://www.woundtx.com/
"
160,"http://www.yankeecandle.com
"
161,"http://www.yoox.com
"
162,"http://www.youngexplorers.com/
"
163,"http://www.zappos.com
"
164,"http://www.zazzle.com
"
165,"http://www.zoro.com
"
166,"http://www.zulily.com
"
167,"https://acdecor.biz/
"
168,"https://bargainjunkie.com/
"
169,"https://gonegreenstore.com
"
170,"https://pstpoolsupplies.com
"
171,"https://renewgoo.com/
"
172,"https://scotsmanshield.com
"
173,"https://www.balfour.com
"
174,"https://www.campsaver.com
"
175,"https://www.chicksaddlery.com
"
176,"https://www.coedstore.co/
"
177,"https://www.cosmic-perfume.com
"
178,"https://www.costbuys.com
"
179,"https://www.costway.com/
"
180,"https://www.crowdcontrolstore.com
"
181,"https://www.dhgate.com/
"
182,"https://www.discountmugs.com
"
183,"https://www.entirelypets.com
"
184,"https://www.epicpetster.com
"
185,"https://www.factorydirecthardware.com
"
186,"https://www.fun.com
"
187,"https://www.hayneedle.com
"
188,"https://www.hexbug.com
"
189,"https://www.homedepot.com
"
190,"https://www.homeshoppingmalls.com/
"
191,"https://www.homesquare.com
"
192,"https://www.italist.com/en/
"
193,"https://www.marketcol.com
"
194,"https://www.pandasuperstore.com
"
195,"https://www.parachutehome.com
"
196,"https://www.pethoot.com
"
197,"https://www.ruelala.com
"
198,"https://www.shoes.com
"
199,"https://www.sportsmans.com/
"
200,"https://www.therealreal.com
"
201,"https://www.toyorb.com
"
202,"https://www.trouva.com/
"
203,"https://www.vintagetub.com/
"
204,"www..jencowholesale.com
"
205,"www.911healthshop.com
"
206,"www.nflshop.com
"
