,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
3,"http://www.Adorama.com
"
4,"http://www.abt.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
8,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
9,"http://www.bhphotovideo.com/?BI=82
"
10,"http://www.bossaudio.com
"
11,"http://www.crazycarlsdeals.com
"
12,"http://www.crutchfield.com/I-rbizc000/index.html
"
13,"http://www.emerchantoutlet.com
"
14,"http://www.homedepot.com
"
15,"http://www.houzz.com
"
16,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
17,"http://www.oceansmall.net
"
18,"http://www.peazz.com
"
19,"http://www.sonicelectronix.com
"
20,"http://www.sweetwater.com
"
21,"http://www.tschome.com
"
22,"http://www.walmart.com
"
23,"http://www.wholesurgical.com/
"
24,"https://www.cjponyparts.com/
"
25,"https://www.dhgate.com/
"
26,"https://www.homedepot.com
"
27,"https://www.invertersupply.com
"
28,"www.crutchfield.com
"
