,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://www.abt.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
8,"http://www.belk.com/
"
9,"http://www.boscovs.com/
"
10,"http://www.brownells.com
"
11,"http://www.build.com
"
12,"http://www.emerchantoutlet.com
"
13,"http://www.groupon.com
"
14,"http://www.homedepot.com
"
15,"http://www.houzz.com
"
16,"http://www.jcpenney.com/
"
17,"http://www.katom.com
"
18,"http://www.kohls.com
"
19,"http://www.macys.com
"
20,"http://www.officesupersavers.com
"
21,"http://www.qvc.com/
"
22,"http://www.society6.com/
"
23,"http://www.walmart.com
"
24,"http://www.wayfair.com
"
25,"http://www.webstaurantstore.com
"
26,"http://www.worldmarket.com
"
27,"http://www.zoro.com
"
28,"http://www.zulily.com
"
29,"https://gg-decor.com/
"
30,"https://www.costway.com/
"
31,"https://www.datavision.com
"
32,"https://www.hayneedle.com
"
33,"https://www.homedepot.com
"
34,"https://www.quenchessentials.com
"
35,"https://www.trouva.com/
"
