,Shops
0,"http://WWW.GLASSRACK.NET
"
1,"http://amalfidecor.com
"
2,"http://bakersauthority.com
"
3,"http://bluebath.com
"
4,"http://brecks.com
"
5,"http://brittandjules.com
"
6,"http://buymbs.com
"
7,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
8,"http://decormarket.com
"
9,"http://discountdecorativeflags.com
"
10,"http://gate4great.info/
"
11,"http://gurneys.com
"
12,"http://livingsocial.com
"
13,"http://modernofficefurniture.com
"
14,"http://my-bio-zen.com
"
15,"http://parkseed.com
"
16,"http://poshmark.com
"
17,"http://samsclub.com
"
18,"http://shop.mlb.com/
"
19,"http://shop.nhl.com
"
20,"http://soccer.epicsports.com
"
21,"http://store.nba.com/
"
22,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
23,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
24,"http://theelegantoffice.com
"
25,"http://thefixturezone.com
"
26,"http://www.1800lighting.com
"
27,"http://www.4AllVitamins.com
"
28,"http://www.Adorama.com
"
29,"http://www.AtticTrunk.com
"
30,"http://www.BarristerBooks.com
"
31,"http://www.CB2.com
"
32,"http://www.Campmor.com
"
33,"http://www.CatalogFavorites.com/
"
34,"http://www.DrsFosterSmith.com
"
35,"http://www.Fanatics.com
"
36,"http://www.JustArtifacts.net
"
37,"http://www.Lenox.com
"
38,"http://www.MidwayUSA.com
"
39,"http://www.PartySpin.com
"
40,"http://www.PulseTV.com
"
41,"http://www.SchoolOutfitters.com
"
42,"http://www.abt.com
"
43,"http://www.acoutlet.shop/
"
44,"http://www.albeebaby.com
"
45,"http://www.allposters.com
"
46,"http://www.amazon.com
"
47,"http://www.amazon.com/
"
48,"http://www.anjaysdesigns.com/
"
49,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
50,"http://www.autogeek.net
"
51,"http://www.autopia-carcare.com
"
52,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
53,"http://www.bagsandbowsonline.com
"
54,"http://www.ballarddesigns.com
"
55,"http://www.bambeco.com
"
56,"http://www.barstooldirect.com
"
57,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
58,"http://www.beallsflorida.com
"
59,"http://www.beddingstyle.com
"
60,"http://www.belk.com/
"
61,"http://www.bestmaterials.com
"
62,"http://www.bhphotovideo.com/?BI=82
"
63,"http://www.bizchair.com
"
64,"http://www.blackbeltshop.us
"
65,"http://www.blair.com
"
66,"http://www.bluefly.com
"
67,"http://www.bodybuilding.com
"
68,"http://www.boscovs.com/
"
69,"http://www.brownells.com
"
70,"http://www.build.com
"
71,"http://www.bulbamerica.com
"
72,"http://www.bulbhead.com
"
73,"http://www.buybizsupplies.com
"
74,"http://www.cavenders.com
"
75,"http://www.chewy.com
"
76,"http://www.cleanitsupply.com
"
77,"http://www.cpooutlets.com
"
78,"http://www.crateandbarrel.com
"
79,"http://www.crazycarlsdeals.com
"
80,"http://www.crutchfield.com/I-rbizc000/index.html
"
81,"http://www.cymax.com/
"
82,"http://www.dealyard.com
"
83,"http://www.deepdiscount.com
"
84,"http://www.dell.com
"
85,"http://www.deluxe.com
"
