,Shops
0,"http://brittandjules.com
"
1,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
2,"http://gate4great.info/
"
3,"http://livingsocial.com
"
4,"http://my-bio-zen.com
"
5,"http://poshmark.com
"
6,"http://samsclub.com
"
7,"http://www.abt.com
"
8,"http://www.albeebaby.com
"
9,"http://www.amazon.com
"
10,"http://www.amazon.com/
"
11,"http://www.amsterdamprinting.com
"
12,"http://www.belk.com/
"
13,"http://www.bluefly.com
"
14,"http://www.build.com
"
15,"http://www.buybizsupplies.com
"
16,"http://www.crutchfield.com/I-rbizc000/index.html
"
17,"http://www.dealyard.com
"
18,"http://www.emerchantoutlet.com
"
19,"http://www.factoryoutletstore.com
"
20,"http://www.faucetdirect.com?/source=bizrate
"
21,"http://www.groupon.com
"
22,"http://www.homedepot.com
"
23,"http://www.houzz.com
"
24,"http://www.jcpenney.com/
"
25,"http://www.kohls.com
"
26,"http://www.lightingdirect.com
"
27,"http://www.luckyvitamin.com
"
28,"http://www.macys.com
"
29,"http://www.officesupersavers.com
"
30,"http://www.onlinemegamall.com
"
31,"http://www.qvc.com/
"
32,"http://www.respiratorycarestore.com/
"
33,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
34,"http://www.stomabags.com/
"
35,"http://www.sylvane.com
"
36,"http://www.tschome.com
"
37,"http://www.walmart.com
"
38,"http://www.wayfair.com
"
39,"http://www.webstaurantstore.com
"
40,"http://www.whateverworks.com/
"
41,"http://www.zoro.com
"
42,"http://www.zoro1.com
"
43,"http://www.zulily.com
"
44,"https://bargainjunkie.com/
"
45,"https://renewgoo.com/
"
46,"https://www.JSPunk.com/
"
47,"https://www.air-innovations.com
"
48,"https://www.costway.com/
"
49,"https://www.hayneedle.com
"
50,"https://www.homedepot.com
"
51,"https://www.mileskimball.com
"
52,"https://www.ruelala.com
"
53,"https://www.shoppingzoneplus.com
"
54,"https://www.trouva.com/
"
