,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://www.Adorama.com
"
4,"http://www.Educents.com
"
5,"http://www.allposters.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.americanbookwarehouse.com
"
9,"http://www.bhphotovideo.com/?BI=82
"
10,"http://www.boscovs.com/
"
11,"http://www.crutchfield.com/I-rbizc000/index.html
"
12,"http://www.emerchantoutlet.com
"
13,"http://www.flashfurniturestore.com
"
14,"http://www.groupon.com
"
15,"http://www.interstatemusic.com
"
16,"http://www.jcpenney.com/
"
17,"http://www.kohls.com
"
18,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
19,"http://www.peazzfurniture.com
"
20,"http://www.qvc.com/
"
21,"http://www.ritzcamera.com
"
22,"http://www.sportsmanguide.com
"
23,"http://www.sweetwater.com
"
24,"http://www.tschome.com
"
25,"http://www.tscshops.com
"
26,"http://www.tsctoys.com
"
27,"http://www.vidaxl.com
"
28,"http://www.walmart.com
"
29,"http://www.warehousespot.com
"
30,"http://www.wayfair.com
"
31,"http://www.zulily.com
"
32,"https://www.costway.com/
"
33,"https://www.dhgate.com/
"
34,"https://www.hayneedle.com
"
35,"https://www.toyorb.com
"
36,"www.crutchfield.com
"
