,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://strongsupplementshop.com
"
4,"http://www.allposters.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
8,"http://www.bevmo.com
"
9,"http://www.bnbtobacco.com
"
10,"http://www.carcovers.com
"
11,"http://www.crateandbarrel.com
"
12,"http://www.deepdiscount.com
"
13,"http://www.doversaddlery.com
"
14,"http://www.efaucets.com
"
15,"http://www.elephantwine.com
"
16,"http://www.fitzulas.com
"
17,"http://www.freshnless.com
"
18,"http://www.getwineonline.com
"
19,"http://www.kohls.com
"
20,"http://www.kotulas.com
"
21,"http://www.lightingdirect.com
"
22,"http://www.macys.com
"
23,"http://www.mobilityequip.com/
"
24,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
25,"http://www.personalizationmall.com
"
26,"http://www.ssense.com
"
27,"http://www.walmart.com
"
28,"http://www.wayfair.com
"
29,"http://www.wholesurgical.com/
"
30,"http://www.winechateau.com
"
31,"http://www.zulily.com
"
32,"https://310nutrition.com/
"
33,"https://daytshirt.com
"
34,"https://proxytee.com/
"
35,"https://www.bountyhunterwine.com/
"
36,"https://www.fun.com
"
37,"https://www.homedepot.com
"
38,"https://www.therealreal.com
"
39,"https://www.trouva.com/
"
40,"https://www.westchesterwine.com
"
41,"www.drizly.com
"
