,Shops
0,"http://gurneys.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://www.Adorama.com
"
5,"http://www.abt.com
"
6,"http://www.albeebaby.com
"
7,"http://www.amazon.com
"
8,"http://www.amazon.com/
"
9,"http://www.americanbookwarehouse.com
"
10,"http://www.autopia-carcare.com
"
11,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
12,"http://www.belk.com/
"
13,"http://www.bhphotovideo.com/?BI=82
"
14,"http://www.bluefly.com
"
15,"http://www.boscovs.com/
"
16,"http://www.build.com
"
17,"http://www.cellphonecases.com
"
18,"http://www.crutchfield.com/I-rbizc000/index.html
"
19,"http://www.emerchantoutlet.com
"
20,"http://www.faucetdirect.com?/source=bizrate
"
21,"http://www.groupon.com
"
22,"http://www.hautelook.com
"
23,"http://www.homedepot.com
"
24,"http://www.houzz.com
"
25,"http://www.interstatemusic.com
"
26,"http://www.jcpenney.com/
"
27,"http://www.katom.com
"
28,"http://www.kohls.com
"
29,"http://www.macys.com
"
30,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
31,"http://www.nordstromrack.com
"
32,"http://www.oralprecision.com/
"
33,"http://www.qvc.com/
"
34,"http://www.saksoff5th.com
"
35,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
36,"http://www.tobox.com
"
37,"http://www.tschome.com
"
38,"http://www.vivaterra.com
"
39,"http://www.walmart.com
"
40,"http://www.wayfair.com
"
41,"http://www.webstaurantstore.com
"
42,"https://bargainjunkie.com/
"
43,"https://www.acitydiscount.com
"
44,"https://www.bodum.com/
"
45,"https://www.costway.com/
"
46,"https://www.hayneedle.com
"
47,"https://www.homedepot.com
"
48,"https://www.quenchessentials.com
"
49,"https://www.ruelala.com
"
50,"https://www.trouva.com/
"
51,"www.crutchfield.com
"
