,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
3,"http://www.Adorama.com
"
4,"http://www.allposters.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.bhphotovideo.com/?BI=82
"
8,"http://www.brownells.com
"
9,"http://www.build.com
"
10,"http://www.cellphonecases.com
"
11,"http://www.crutchfield.com/I-rbizc000/index.html
"
12,"http://www.emerchantoutlet.com
"
13,"http://www.homedepot.com
"
14,"http://www.interstatemusic.com
"
15,"http://www.jcpenney.com/
"
16,"http://www.kohls.com
"
17,"http://www.lightingdirect.com
"
18,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
19,"http://www.oceansmall.net
"
20,"http://www.onlinelivingaids.com/
"
21,"http://www.respiratorycarestore.com/
"
22,"http://www.ritzcamera.com
"
23,"http://www.scoutandnimble.com
"
24,"http://www.seismicaudiospeakers.com
"
25,"http://www.sweetwater.com
"
26,"http://www.tschome.com
"
27,"http://www.walmart.com
"
28,"http://www.wayfair.com
"
29,"http://www.winechateau.com
"
30,"https://modelights.com/
"
31,"https://www.homedepot.com
"
32,"https://www.secondsale.com
"
33,"https://www.tillys.com
"
34,"https://www.trouva.com/
"
35,"www.crutchfield.com
"
