,Shops
0,"http://livingsocial.com
"
1,"http://www.Adorama.com
"
2,"http://www.allposters.com
"
3,"http://www.amazon.com
"
4,"http://www.amazon.com/
"
5,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
6,"http://www.bhphotovideo.com/?BI=82
"
7,"http://www.crutchfield.com/I-rbizc000/index.html
"
8,"http://www.denniskirk.com
"
9,"http://www.directvapor.com
"
10,"http://www.emerchantoutlet.com
"
11,"http://www.interstatemusic.com
"
12,"http://www.jcpenney.com/
"
13,"http://www.kohls.com
"
14,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
15,"http://www.ritzcamera.com
"
16,"http://www.seismicaudiospeakers.com
"
17,"http://www.sonicelectronix.com
"
18,"http://www.sweetwater.com
"
19,"http://www.tschome.com
"
20,"http://www.walmart.com
"
21,"http://www.youngexplorers.com/
"
22,"https://AutographsForSale.com
"
23,"https://www.coedstore.co/
"
24,"https://www.dhgate.com/
"
25,"https://www.discountbandit.com
"
26,"https://www.trouva.com/
"
27,"www.crutchfield.com
"
