,Shops
0,"http://apartysource.com
"
1,"http://brittandjules.com
"
2,"http://buymbs.com
"
3,"http://gurneys.com
"
4,"http://linksoul.com
"
5,"http://livingsocial.com
"
6,"http://my-bio-zen.com
"
7,"http://parkseed.com
"
8,"http://poshmark.com
"
9,"http://samsclub.com
"
10,"http://shop.mlb.com/
"
11,"http://shop.nhl.com
"
12,"http://shopping.franklincovey.com
"
13,"http://soccer.epicsports.com
"
14,"http://store.nba.com/
"
15,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
16,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
17,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
18,"http://theelegantoffice.com
"
19,"http://thefixturezone.com
"
20,"http://www.Adorama.com
"
21,"http://www.AtticTrunk.com
"
22,"http://www.CenturyNovelty.com
"
23,"http://www.DisneyStore.com
"
24,"http://www.DrsFosterSmith.com
"
25,"http://www.Educents.com
"
26,"http://www.Fanatics.com
"
27,"http://www.JustArtifacts.net
"
28,"http://www.MidwayUSA.com
"
29,"http://www.PartySpin.com
"
30,"http://www.PulseTV.com
"
31,"http://www.ReStockIt.com
"
32,"http://www.SchoolOutfitters.com
"
33,"http://www.agrisupply.com
"
34,"http://www.allivet.com
"
35,"http://www.allposters.com
"
36,"http://www.amazon.com
"
37,"http://www.amazon.com/
"
38,"http://www.amsterdamprinting.com
"
39,"http://www.autogeek.net
"
40,"http://www.autopia-carcare.com
"
41,"http://www.bagsandbowsonline.com
"
42,"http://www.ballarddesigns.com
"
43,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
44,"http://www.beallsflorida.com
"
45,"http://www.belk.com/
"
46,"http://www.bhphotovideo.com/?BI=82
"
47,"http://www.bluefly.com
"
48,"http://www.boscovs.com/
"
49,"http://www.bradfordexchangechecks.com
"
50,"http://www.brownells.com
"
51,"http://www.build.com
"
52,"http://www.buybizsupplies.com
"
53,"http://www.cellphonecases.com
"
54,"http://www.cepcompression.com
"
55,"http://www.chicos.com
"
56,"http://www.christianbookbag.com
"
57,"http://www.cleanitsupply.com
"
58,"http://www.cokesbury.com
"
59,"http://www.cpooutlets.com
"
60,"http://www.crateandbarrel.com
"
61,"http://www.crazycarlsdeals.com
"
62,"http://www.crutchfield.com/I-rbizc000/index.html
"
63,"http://www.cymax.com/
"
64,"http://www.deepdiscount.com
"
65,"http://www.dell.com
"
66,"http://www.deluxe.com
"
67,"http://www.diabeticstreatment.com/
"
68,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
69,"http://www.displays2go.com
"
70,"http://www.doversaddlery.com
"
71,"http://www.efaucets.com
"
72,"http://www.efloors.com
"
73,"http://www.elect-mer.com
"
74,"http://www.emerchantoutlet.com
"
75,"http://www.fansedge.com/
"
76,"http://www.fossil.com/shopping/default.asp?Tier1=Shopping&PSID=bizfeedfslshop_ratingspage
"
77,"http://www.franceandson.com
"
78,"http://www.freshnless.com
"
79,"http://www.freshwatersystems.com
"
80,"http://www.gamestop.com
"
81,"http://www.giftespot.com
"
82,"http://www.golfshopplus.com
"
83,"http://www.greatprinterdeals.com
"
84,"http://www.groupon.com
"
85,"http://www.halloweencostumes.com
"
86,"http://www.halloweencostumesupplystore.com
"
87,"http://www.hconecompanies.com
"
88,"http://www.heartratemonitorsusa.com
"
89,"http://www.homedepot.com
"
90,"http://www.hottopic.com
"
91,"http://www.houzz.com
"
92,"http://www.hrdirect.com
"
93,"http://www.interstatemusic.com
"
94,"http://www.inthecompanyofdogs.com/
"
95,"http://www.jcpenney.com/
"
96,"http://www.jerrysartarama.com
"
97,"http://www.johnnyseeds.com
"
98,"http://www.katespade.com
"
99,"http://www.katom.com
"
100,"http://www.kmart.com
"
101,"http://www.kohls.com
"
102,"http://www.layoffpain.com/
"
103,"http://www.lexjet.com
"
104,"http://www.lightingdirect.com
"
105,"http://www.lightingsquad.com
"
106,"http://www.llbean.com/
"
107,"http://www.lockandhinge.com
"
