,Shops
0,"http://brittandjules.com
"
1,"http://gurneys.com
"
2,"http://livingsocial.com
"
3,"http://northshorefaucets.com
"
4,"http://parkseed.com
"
5,"http://poshmark.com
"
6,"http://samsclub.com
"
7,"http://soccer.epicsports.com
"
8,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
9,"http://www.1800lighting.com
"
10,"http://www.Adorama.com
"
11,"http://www.DrsFosterSmith.com
"
12,"http://www.ElectricGeneratorDepot.com
"
13,"http://www.MidwayUSA.com
"
14,"http://www.PulseTV.com
"
15,"http://www.agrisupply.com
"
16,"http://www.allivet.com
"
17,"http://www.amazon.com
"
18,"http://www.amazon.com/
"
19,"http://www.appoutdoors.com
"
20,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
21,"http://www.autogeek.net
"
22,"http://www.autopartswarehouse.com
"
23,"http://www.autopia-carcare.com
"
24,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
25,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
26,"http://www.bhphotovideo.com/?BI=82
"
27,"http://www.bizchair.com
"
28,"http://www.boscovs.com/
"
29,"http://www.brownells.com
"
30,"http://www.build.com
"
31,"http://www.buybizsupplies.com
"
32,"http://www.carparts.com
"
33,"http://www.chewy.com
"
34,"http://www.cleanitsupply.com
"
35,"http://www.cpooutlets.com
"
36,"http://www.crutchfield.com/I-rbizc000/index.html
"
37,"http://www.decorisland.com
"
38,"http://www.directvapor.com
"
39,"http://www.doversaddlery.com
"
40,"http://www.efaucets.com
"
41,"http://www.elitemetaltools.com
"
42,"http://www.emerchantoutlet.com
"
43,"http://www.energysavinglighting.com
"
44,"http://www.faucetdirect.com?/source=bizrate
"
45,"http://www.gardensalive.com
"
46,"http://www.golfworks.com
"
47,"http://www.groupon.com
"
48,"http://www.haband.com
"
49,"http://www.halloweencostumesupplystore.com
"
50,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
51,"http://www.homedepot.com
"
52,"http://www.houzz.com
"
53,"http://www.ifixit.com
"
54,"http://www.jcpenney.com/
"
55,"http://www.johnnyseeds.com
"
56,"http://www.katom.com
"
57,"http://www.kohls.com
"
58,"http://www.kotulas.com
"
59,"http://www.lightingsquad.com
"
60,"http://www.luckyvitamin.com
"
61,"http://www.macys.com
"
62,"http://www.northerntool.com/
"
63,"http://www.oceansmall.net
"
64,"http://www.officesupersavers.com
"
65,"http://www.onlinemegamall.com
"
66,"http://www.petfenceusa.com
"
67,"http://www.qvc.com/
"
68,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
69,"http://www.shoemall.com
"
70,"http://www.sportsmanguide.com
"
71,"http://www.stringtrimmersdirect.com
"
72,"http://www.thewarmingstore.com
"
73,"http://www.toolbarn.com
"
74,"http://www.tschome.com
"
75,"http://www.tscshops.com
"
76,"http://www.valleyvet.com
"
77,"http://www.vidaxl.com
"
78,"http://www.walmart.com
"
79,"http://www.wayfair.com
"
80,"http://www.webstaurantstore.com
"
81,"http://www.weldingsuppliesfromioc.com
"
82,"http://www.whateverworks.com/
"
83,"http://www.wholesurgical.com/
"
84,"http://www.zazzle.com
"
85,"http://www.zoro.com
"
86,"http://www.zoro1.com
"
87,"http://www.zulily.com
"
88,"https://pstpoolsupplies.com
"
89,"https://renewgoo.com/
"
90,"https://thevacuumfactory.com
"
91,"https://www.MostlyDead.com
"
92,"https://www.allhdd.com
"
93,"https://www.amara.com
"
94,"https://www.aosom.com
"
95,"https://www.btibrands.com
"
96,"https://www.chicksaddlery.com
"
97,"https://www.coedstore.co/
"
98,"https://www.costway.com/
"
99,"https://www.discountmugs.com
"
100,"https://www.entirelypets.com
"
101,"https://www.epicpetster.com
"
102,"https://www.hayneedle.com
"
103,"https://www.hlsproparts.com
"
104,"https://www.homedepot.com
"
105,"https://www.homeshoppingmalls.com/
"
106,"https://www.lightbulbs.com
"
107,"https://www.mileskimball.com
"
108,"https://www.pethoot.com
"
109,"https://www.secondsale.com
"
110,"https://www.sportsmans.com/
"
111,"https://www.springhillnursery.com
"
112,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
113,"https://zonabargainsusa.com
"
114,"www.flooranddecor.com
"
115,"www.nflshop.com
"
