,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://www.Adorama.com
"
4,"http://www.allposters.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.americanbookwarehouse.com
"
8,"http://www.bhphotovideo.com/?BI=82
"
9,"http://www.birchbox.com
"
10,"http://www.bizchair.com
"
11,"http://www.bluefly.com
"
12,"http://www.build.com
"
13,"http://www.christianbookbag.com
"
14,"http://www.deepdiscount.com
"
15,"http://www.fansedge.com/
"
16,"http://www.faucetdirect.com?/source=bizrate
"
17,"http://www.homedepot.com
"
18,"http://www.lockandhinge.com
"
19,"http://www.oceansmall.net
"
20,"http://www.officesupersavers.com
"
21,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
22,"http://www.spellbinderspaperarts.com
"
23,"http://www.ssense.com
"
24,"http://www.thestitchery.com/
"
25,"http://www.walmart.com
"
26,"http://www.webstaurantstore.com
"
27,"http://www.winechateau.com
"
28,"http://www.zazzle.com
"
29,"http://www.zoro.com
"
30,"https://www.lightbulbs.com
"
31,"https://www.orientaloutpost.com
"
32,"https://www.secondsale.com
"
33,"https://www.trouva.com/
"
