,Shops
0,"http://gurneys.com
"
1,"http://poshmark.com
"
2,"http://strongsupplementshop.com
"
3,"http://www.allposters.com
"
4,"http://www.amazon.com
"
5,"http://www.amazon.com/
"
6,"http://www.americanbookwarehouse.com
"
7,"http://www.aninebing.com/
"
8,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
9,"http://www.deepdiscount.com
"
10,"http://www.elephantwine.com
"
11,"http://www.emerchantoutlet.com
"
12,"http://www.fitzulas.com
"
13,"http://www.freshnless.com
"
14,"http://www.macys.com
"
15,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
16,"http://www.naturesjewelry.com/
"
17,"http://www.net-a-porter.com
"
18,"http://www.oceansmall.net
"
19,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
20,"http://www.personalizationmall.com
"
21,"http://www.sportscollectibles.com
"
22,"http://www.vivaterra.com
"
23,"http://www.walmart.com
"
24,"http://www.wayfair.com
"
25,"http://www.zazzle.com
"
26,"https://AutographsForSale.com
"
27,"https://www.costbuys.com
"
28,"https://www.fun.com
"
29,"https://www.ruelala.com
"
30,"https://www.secondsale.com
"
31,"https://www.tillys.com
"
32,"https://www.trouva.com/
"
