,Shops
0,"http://bakersauthority.com
"
1,"http://brittandjules.com
"
2,"http://gate4great.info/
"
3,"http://holabirdsports.com
"
4,"http://livingsocial.com
"
5,"http://my-bio-zen.com
"
6,"http://parkseed.com
"
7,"http://poshmark.com
"
8,"http://shopping.franklincovey.com
"
9,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
10,"http://strongsupplementshop.com
"
11,"http://www.1800lighting.com
"
12,"http://www.Adorama.com
"
13,"http://www.BarristerBooks.com
"
14,"http://www.Lenox.com
"
15,"http://www.acoutlet.shop/
"
16,"http://www.allivet.com
"
17,"http://www.allposters.com
"
18,"http://www.amazon.com
"
19,"http://www.amazon.com/
"
20,"http://www.americanbookwarehouse.com
"
21,"http://www.autogeek.net
"
22,"http://www.autopia-carcare.com
"
23,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
24,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
25,"http://www.beallsflorida.com
"
26,"http://www.berries.com
"
27,"http://www.boscovs.com/
"
28,"http://www.brownells.com
"
29,"http://www.bulbamerica.com
"
30,"http://www.carcovers.com
"
31,"http://www.cavenders.com
"
32,"http://www.cellphonecases.com
"
33,"http://www.christianbookbag.com
"
34,"http://www.countrystorecatalog.com
"
35,"http://www.cyberteez.com
"
36,"http://www.deepdiscount.com
"
37,"http://www.deluxe.com
"
38,"http://www.directvapor.com
"
39,"http://www.displays2go.com
"
40,"http://www.driparmor.com/
"
41,"http://www.emerchantoutlet.com
"
42,"http://www.expressionscatalog.com/
"
43,"http://www.faucetdirect.com?/source=bizrate
"
44,"http://www.fitzulas.com
"
45,"http://www.freshnless.com
"
46,"http://www.halloweencostumesupplystore.com
"
47,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
48,"http://www.interstatemusic.com
"
49,"http://www.jerrysartarama.com
"
50,"http://www.joylot.com
"
51,"http://www.layoffpain.com/
"
52,"http://www.lightingdirect.com
"
53,"http://www.lockandhinge.com
"
54,"http://www.lyst.com
"
55,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
56,"http://www.naturewoo.com/
"
57,"http://www.net-a-porter.com
"
58,"http://www.oceansmall.net
"
59,"http://www.onlinelivingaids.com/
"
60,"http://www.partycheap.com
"
61,"http://www.peazzfurniture.com
"
62,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
63,"http://www.petsupplies4less.com
"
64,"http://www.qvc.com/
"
65,"http://www.shindigz.com
"
66,"http://www.shineretrofits.com
"
67,"http://www.society6.com/
"
68,"http://www.spellbinderspaperarts.com
"
69,"http://www.sportscollectibles.com
"
70,"http://www.ssense.com
"
71,"http://www.stomabags.com/
"
72,"http://www.stumpsparty.com
"
73,"http://www.sweetwater.com
"
74,"http://www.underarmour.com
"
75,"http://www.vivaterra.com
"
76,"http://www.walmart.com
"
77,"http://www.wayfair.com
"
78,"http://www.wholesurgical.com/
"
79,"http://www.winechateau.com
"
80,"http://www.worldmarket.com
"
81,"http://www.youngexplorers.com/
"
82,"http://www.zazzle.com
"
83,"http://www.zulily.com
"
84,"https://AutographsForSale.com
"
85,"https://acdecor.biz/
"
86,"https://daytshirt.com
"
87,"https://gg-decor.com/
"
88,"https://proxytee.com/
"
89,"https://us.glidesoul.com/en/
"
90,"https://www.cjponyparts.com/
"
91,"https://www.coedstore.co/
"
92,"https://www.cozzoo.com/
"
93,"https://www.dhgate.com/
"
94,"https://www.epicpetster.com
"
95,"https://www.fun.com
"
96,"https://www.homedepot.com
"
97,"https://www.jewelryshopping.com/
"
98,"https://www.marketcol.com
"
99,"https://www.naughtydelight.com
"
100,"https://www.orientaloutpost.com
"
101,"https://www.ruelala.com
"
102,"https://www.secondsale.com
"
103,"https://www.shoes.com
"
104,"https://www.springhillnursery.com
"
105,"https://www.swaggsauce.com
"
106,"https://www.tillys.com
"
107,"https://www.trendsavvy.com
"
108,"https://www.trouva.com/
"
