,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://www.allposters.com
"
3,"http://www.amazon.com
"
4,"http://www.amazon.com/
"
5,"http://www.boscovs.com/
"
6,"http://www.build.com
"
7,"http://www.emerchantoutlet.com
"
8,"http://www.groupon.com
"
9,"http://www.homedepot.com
"
10,"http://www.houzz.com
"
11,"http://www.interstatemusic.com
"
12,"http://www.jcpenney.com/
"
13,"http://www.kohls.com
"
14,"http://www.macys.com
"
15,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
16,"http://www.qvc.com/
"
17,"http://www.walmart.com
"
18,"http://www.wayfair.com
"
19,"http://www.zoro.com
"
20,"http://www.zulily.com
"
21,"https://thevacuumfactory.com
"
22,"https://www.dhgate.com/
"
23,"https://www.homedepot.com
"
