,Shops
0,"http://adameve.com
"
1,"http://holabirdsports.com
"
2,"http://livingsocial.com
"
3,"http://my-bio-zen.com
"
4,"http://parkseed.com
"
5,"http://poshmark.com
"
6,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
7,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
8,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
9,"http://www.Adorama.com
"
10,"http://www.AtticTrunk.com
"
11,"http://www.JustArtifacts.net
"
12,"http://www.LambertVetSupply.com
"
13,"http://www.MidwayUSA.com
"
14,"http://www.PartySpin.com
"
15,"http://www.albeebaby.com
"
16,"http://www.allposters.com
"
17,"http://www.amazon.com
"
18,"http://www.amazon.com/
"
19,"http://www.americanbookwarehouse.com
"
20,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
21,"http://www.autogeek.net
"
22,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
23,"http://www.boscovs.com/
"
24,"http://www.build.com
"
25,"http://www.calexotics.com
"
26,"http://www.charlotterusse.com
"
27,"http://www.crazycarlsdeals.com
"
28,"http://www.cumtoys.com/
"
29,"http://www.deepdiscount.com
"
30,"http://www.discountcatheters.com/
"
31,"http://www.doversaddlery.com
"
32,"http://www.efaucets.com
"
33,"http://www.elephantwine.com
"
34,"http://www.emerchantoutlet.com
"
35,"http://www.expressionscatalog.com/
"
36,"http://www.groupon.com
"
37,"http://www.halloweencostumesupplystore.com
"
38,"http://www.healthmateforever.com
"
39,"http://www.homedepot.com
"
40,"http://www.houzz.com
"
41,"http://www.inthecompanyofdogs.com/
"
42,"http://www.kinkytoy.store
"
43,"http://www.layoffpain.com/
"
44,"http://www.lightingdirect.com
"
45,"http://www.macys.com
"
46,"http://www.northerntool.com/
"
47,"http://www.oceansmall.net
"
48,"http://www.onlinelivingaids.com/
"
49,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
50,"http://www.respiratorycarestore.com/
"
51,"http://www.sawesometoys.com
"
52,"http://www.sextoyzone.com
"
53,"http://www.shindigz.com
"
54,"http://www.shoemall.com
"
55,"http://www.sportsmanguide.com
"
56,"http://www.ssense.com
"
57,"http://www.stomabags.com/
"
58,"http://www.stumpsparty.com
"
59,"http://www.walmart.com
"
60,"http://www.wayfair.com
"
61,"http://www.whateverworks.com/
"
62,"http://www.workoutz.com
"
63,"http://www.yandy.com
"
64,"http://www.zappos.com
"
65,"http://www.zazzle.com
"
66,"http://www.zulily.com
"
67,"https://bargainjunkie.com/
"
68,"https://boutiquelust.com/
"
69,"https://goop.com
"
70,"https://renewgoo.com/
"
71,"https://www.chicksaddlery.com
"
72,"https://www.christmasdesigners.com/
"
73,"https://www.coedstore.co/
"
74,"https://www.costbuys.com
"
75,"https://www.couturecandy.com
"
76,"https://www.cozzoo.com/
"
77,"https://www.epicpetster.com
"
78,"https://www.hlsproparts.com
"
79,"https://www.homedepot.com
"
80,"https://www.naughtydelight.com
"
81,"https://www.pinkiewinkie.com
"
82,"https://www.secondsale.com
"
83,"https://www.sherrysshack.com/
"
84,"https://www.swaggsauce.com
"
85,"https://www.theenhancedmale.com
"
86,"https://www.tillys.com
"
87,"https://www.trouva.com/
"
88,"https://www.uncommongoods.com
"
89,"https://www.zldoll.com/index.php
"
