,Shops
0,"Https://happeespice.com
"
1,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
2,"http://critpro.com
"
3,"http://gate4great.info/
"
4,"http://livingsocial.com
"
5,"http://my-bio-zen.com
"
6,"http://parkseed.com
"
7,"http://poshmark.com
"
8,"http://samsclub.com
"
9,"http://shop.mlb.com/
"
10,"http://store.nascar.com/entry.point?target=z&source=BZLG:2774:TXT:N:3693:1003:NASCAR
"
11,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
12,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
13,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
14,"http://thefixturezone.com
"
15,"http://www.Adorama.com
"
16,"http://www.Fanatics.com
"
17,"http://www.MidwayUSA.com
"
18,"http://www.PartySpin.com
"
19,"http://www.allposters.com
"
20,"http://www.amazon.com
"
21,"http://www.amazon.com/
"
22,"http://www.americanbookwarehouse.com
"
23,"http://www.authenticwatches.com
"
24,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
25,"http://www.autogeek.net
"
26,"http://www.autopia-carcare.com
"
27,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
28,"http://www.beallsflorida.com
"
29,"http://www.belk.com/
"
30,"http://www.bevmo.com
"
31,"http://www.bizchair.com
"
32,"http://www.bnbtobacco.com
"
33,"http://www.boscovs.com/
"
34,"http://www.brownells.com
"
35,"http://www.buitragocigars.com
"
36,"http://www.bulbhead.com
"
37,"http://www.buylittlecigars.com
"
38,"http://www.cellphonecases.com
"
39,"http://www.deepdiscount.com
"
40,"http://www.directvapor.com
"
41,"http://www.displays2go.com
"
42,"http://www.ecblendflavors.com
"
43,"http://www.efaucets.com
"
44,"http://www.elephantwine.com
"
45,"http://www.elitemetaltools.com
"
46,"http://www.emerchantoutlet.com
"
47,"http://www.fairpricenow.com
"
48,"http://www.fansedge.com/
"
49,"http://www.faucetdirect.com?/source=bizrate
"
50,"http://www.freshnless.com
"
51,"http://www.groupon.com
"
52,"http://www.hairthirst.com
"
53,"http://www.halloweencostumesupplystore.com
"
54,"http://www.hautelook.com
"
55,"http://www.homedepot.com
"
56,"http://www.houzz.com
"
57,"http://www.interstatemusic.com
"
58,"http://www.jcpenney.com/
"
59,"http://www.jerrysartarama.com
"
60,"http://www.jmbullion.com/
"
61,"http://www.joylot.com
"
62,"http://www.katom.com
"
63,"http://www.klipsch.com
"
64,"http://www.kohls.com
"
65,"http://www.kotulas.com
"
66,"http://www.layoffpain.com/
"
67,"http://www.lightingdirect.com
"
68,"http://www.macys.com
"
69,"http://www.medibubbler.com
"
70,"http://www.memorablegifts.com
"
71,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
72,"http://www.nordstromrack.com
"
73,"http://www.oceansmall.net
"
74,"http://www.onlinemegamall.com
"
75,"http://www.peazzfurniture.com
"
76,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
77,"http://www.personalizationmall.com
"
78,"http://www.portablehookahs.com
"
79,"http://www.replacements.com
"
80,"http://www.respiratorycarestore.com/
"
81,"http://www.sawesometoys.com
"
82,"http://www.shatterkitchen.com
"
83,"http://www.shindigz.com
"
84,"http://www.ssense.com
"
85,"http://www.stumpsparty.com
"
86,"http://www.tommybahama.com
"
87,"http://www.tschome.com
"
88,"http://www.tscshops.com
"
89,"http://www.tsctoys.com
"
90,"http://www.underarmour.com
"
91,"http://www.vapor4life.com
"
92,"http://www.walmart.com
"
93,"http://www.wayfair.com
"
94,"http://www.webstaurantstore.com
"
95,"http://www.wholesurgical.com/
"
96,"http://www.winechateau.com
"
97,"http://www.zazzle.com
"
98,"http://www.zulily.com
"
99,"https://ironandresin.com/
"
100,"https://pinkvape.com
"
101,"https://proxytee.com/
"
102,"https://www.MostlyDead.com
"
103,"https://www.amara.com
"
104,"https://www.chicksaddlery.com
"
105,"https://www.coedstore.co/
"
106,"https://www.costway.com/
"
107,"https://www.cozzoo.com/
"
108,"https://www.cufflinksdepot.com/
"
109,"https://www.dhgate.com/
"
110,"https://www.discountmugs.com
"
111,"https://www.dopeboo.com
"
112,"https://www.fun.com
"
113,"https://www.hayneedle.com
"
114,"https://www.hexbug.com
"
115,"https://www.homedepot.com
"
116,"https://www.italist.com/en/
"
117,"https://www.jewelryshopping.com/
"
118,"https://www.lightbulbs.com
"
119,"https://www.marketcol.com
"
120,"https://www.omahasteaks.com/shop/
"
121,"https://www.pandasuperstore.com
"
122,"https://www.planetofthevapes.com/
"
123,"https://www.ruelala.com
"
124,"https://www.secondsale.com
"
125,"https://www.sportsmans.com/
"
126,"https://www.swaggsauce.com
"
127,"https://www.therealreal.com
"
128,"https://www.tillys.com
"
129,"https://www.toyorb.com
"
130,"https://www.trouva.com/
"
131,"https://www.vandvdistribution.com/ecommerce/
"
132,"https://zonabargainsusa.com
"
133,"thavapeshop.com/
"
134,"www.nflshop.com
"
