,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
3,"http://www.Adorama.com
"
4,"http://www.BarristerBooks.com
"
5,"http://www.SchoolOutfitters.com
"
6,"http://www.allposters.com
"
7,"http://www.amazon.com
"
8,"http://www.amazon.com/
"
9,"http://www.americanbookwarehouse.com
"
10,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
11,"http://www.autogeek.net
"
12,"http://www.autopia-carcare.com
"
13,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
14,"http://www.bizchair.com
"
15,"http://www.carcovers.com
"
16,"http://www.christianbookbag.com
"
17,"http://www.crazycarlsdeals.com
"
18,"http://www.deepdiscount.com
"
19,"http://www.denniskirk.com
"
20,"http://www.designeroptics.com
"
21,"http://www.doversaddlery.com
"
22,"http://www.driparmor.com/
"
23,"http://www.emerchantoutlet.com
"
24,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
25,"http://www.houzz.com
"
26,"http://www.larsonelectronics.com
"
27,"http://www.lightingdirect.com
"
28,"http://www.lockandhinge.com
"
29,"http://www.mobilityequip.com/
"
30,"http://www.oceansmall.net
"
31,"http://www.partsgeek.com
"
32,"http://www.qvc.com/
"
33,"http://www.respiratorycarestore.com/
"
34,"http://www.society6.com/
"
35,"http://www.tschome.com
"
36,"http://www.tscshops.com
"
37,"http://www.walmart.com
"
38,"http://www.wayfair.com
"
39,"http://www.webstaurantstore.com
"
40,"http://www.whateverworks.com/
"
41,"http://www.zazzle.com
"
42,"http://www.zoro.com
"
43,"http://www.zoro1.com
"
44,"https://caautoparts.com/
"
45,"https://www.cjponyparts.com/
"
46,"https://www.fun.com
"
47,"https://www.homedepot.com
"
48,"https://www.secondsale.com
"
49,"https://www.trouva.com/
"
