,Shops
0,"http://buymbs.com
"
1,"http://gate4great.info/
"
2,"http://livingsocial.com
"
3,"http://poshmark.com
"
4,"http://samsclub.com
"
5,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
6,"http://www.Adorama.com
"
7,"http://www.amazon.com
"
8,"http://www.amazon.com/
"
9,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
10,"http://www.boscovs.com/
"
11,"http://www.build.com
"
12,"http://www.emerchantoutlet.com
"
13,"http://www.freshnless.com
"
14,"http://www.groupon.com
"
15,"http://www.halloweencostumesupplystore.com
"
16,"http://www.homedepot.com
"
17,"http://www.houzz.com
"
18,"http://www.jcpenney.com/
"
19,"http://www.katom.com
"
20,"http://www.kohls.com
"
21,"http://www.macys.com
"
22,"http://www.officesupersavers.com
"
23,"http://www.qvc.com/
"
24,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
25,"http://www.sportsmanguide.com
"
26,"http://www.tobox.com
"
27,"http://www.totallyfurniture.com/
"
28,"http://www.tschome.com
"
29,"http://www.tscshops.com
"
30,"http://www.walmart.com
"
31,"http://www.wayfair.com
"
32,"http://www.webstaurantstore.com
"
33,"http://www.zoro.com
"
34,"http://www.zulily.com
"
35,"https://bargainjunkie.com/
"
36,"https://renewgoo.com/
"
37,"https://www.costway.com/
"
38,"https://www.hayneedle.com
"
39,"https://www.homedepot.com
"
40,"https://www.homeshoppingmalls.com/
"
41,"https://www.sportsmans.com/
"
