,Shops
0,"http://appleseeds.blair.com
"
1,"http://brittandjules.com
"
2,"http://collectiblestoday18.cpcmanager.com/?1750663
"
3,"http://gate4great.info/
"
4,"http://holabirdsports.com
"
5,"http://livingsocial.com
"
6,"http://luxycouture.com
"
7,"http://poshmark.com
"
8,"http://samsclub.com
"
9,"http://shop.mlb.com/
"
10,"http://shop.nhl.com
"
11,"http://soccer.epicsports.com
"
12,"http://store.nba.com/
"
13,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
14,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
15,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
16,"http://www.Adorama.com
"
17,"http://www.Campmor.com
"
18,"http://www.CatalogFavorites.com/
"
19,"http://www.DisneyStore.com
"
20,"http://www.Fanatics.com
"
21,"http://www.Lenox.com
"
22,"http://www.MidwayUSA.com
"
23,"http://www.abercrombie.com
"
24,"http://www.abt.com
"
25,"http://www.allposters.com
"
26,"http://www.allurez.com
"
27,"http://www.amazon.com
"
28,"http://www.amazon.com/
"
29,"http://www.amsterdamprinting.com
"
30,"http://www.apmex.com
"
31,"http://www.appoutdoors.com
"
32,"http://www.authenticwatches.com
"
33,"http://www.autogeek.net
"
34,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
35,"http://www.backinthesaddle.com/
"
36,"http://www.bananarepublic.com/
"
37,"http://www.beallsflorida.com
"
38,"http://www.belk.com/
"
39,"http://www.bhphotovideo.com/?BI=82
"
40,"http://www.blair.com
"
41,"http://www.blueandcream.com
"
42,"http://www.bluefly.com
"
43,"http://www.boscovs.com/
"
44,"http://www.buckle.com
"
45,"http://www.build.com
"
46,"http://www.cavenders.com
"
47,"http://www.cellphonecases.com
"
48,"http://www.countrystorecatalog.com
"
49,"http://www.crazycarlsdeals.com
"
50,"http://www.crutchfield.com/I-rbizc000/index.html
"
51,"http://www.cyberteez.com
"
52,"http://www.deepdiscount.com
"
53,"http://www.designeroptics.com
"
54,"http://www.diabeticstreatment.com/
"
55,"http://www.emerchantoutlet.com
"
56,"http://www.expressionscatalog.com/
"
57,"http://www.factoryoutletstore.com
"
58,"http://www.fansedge.com/
"
59,"http://www.fossil.com/shopping/default.asp?Tier1=Shopping&PSID=bizfeedfslshop_ratingspage
"
60,"http://www.gamestop.com
"
61,"http://www.golfshopplus.com
"
62,"http://www.groupon.com
"
63,"http://www.halloweencostumesupplystore.com
"
64,"http://www.hautelook.com
"
65,"http://www.heartratemonitorsusa.com
"
66,"http://www.homedepot.com
"
67,"http://www.hottopic.com
"
68,"http://www.jcpenney.com/
"
69,"http://www.joylot.com
"
70,"http://www.katespade.com
"
71,"http://www.kohls.com
"
72,"http://www.kqzyfj.com/click-177778-10379988
"
73,"http://www.llbean.com/
"
74,"http://www.lyst.com
"
75,"http://www.macys.com
"
76,"http://www.magellans.com
"
77,"http://www.marcusuniforms.com
"
78,"http://www.menswearhouse.com
"
79,"http://www.michaelkors.com/
"
80,"http://www.mrporter.com
"
81,"http://www.mrwatch.com
"
82,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
83,"http://www.mvmtwatches.com
"
84,"http://www.naturesjewelry.com/
"
85,"http://www.net-a-porter.com
"
86,"http://www.nordstrom.com
"
87,"http://www.nordstromrack.com
"
88,"http://www.novica.com
"
89,"http://www.oceansmall.net
"
90,"http://www.onlinelivingaids.com/
"
91,"http://www.onlinemegamall.com
"
92,"http://www.orvis.com/
"
93,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
94,"http://www.personalizationmall.com
"
95,"http://www.philipstein.com
"
96,"http://www.princetonwatches.com
"
97,"http://www.qvc.com/
"
98,"http://www.saksoff5th.com
"
99,"http://www.samuelsjewelers.com
"
100,"http://www.sarraf.com
"
101,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
102,"http://www.serengeticatalog.com/
"
103,"http://www.shoemall.com
"
104,"http://www.sneakerhead.com
"
105,"http://www.society6.com/
"
106,"http://www.sportscollectibles.com
"
107,"http://www.sportsmanguide.com
"
108,"http://www.sportsmanslogistics.com
"
109,"http://www.ssense.com
"
110,"http://www.stomabags.com/
"
111,"http://www.supsave.com
"
112,"http://www.swimoutlet.com
"
113,"http://www.teamstores.com
"
114,"http://www.teamusashop.com/
"
115,"http://www.theoutnet.com/
"
116,"http://www.threadandfashion.com
"
117,"http://www.thredup.com
"
118,"http://www.timex.com
"
119,"http://www.tires-easy.com
"
120,"http://www.tommybahama.com
"
121,"http://www.toryburch.com
"
122,"http://www.tschome.com
"
123,"http://www.underarmour.com
"
124,"http://www.walmart.com
"
125,"http://www.wayfair.com
"
126,"http://www.whateverworks.com/
"
127,"http://www.wholesurgical.com/
"
128,"http://www.worldmarket.com
"
129,"http://www.yoox.com
"
130,"http://www.zappos.com
"
131,"http://www.zazzle.com
"
132,"http://www.zoro.com
"
133,"http://www.zulily.com
"
134,"https://bargainjunkie.com/
"
135,"https://brandsvice.com/
"
136,"https://coveti.com/
"
137,"https://gelfandco.com
"
138,"https://goop.com
"
139,"https://ironandresin.com/
"
140,"https://izztees.com
"
141,"https://luxmart.ca/
"
142,"https://pstpoolsupplies.com
"
143,"https://renewgoo.com/
"
144,"https://ribbonscure.com/
"
145,"https://shop.bikini.com
"
146,"https://www.aeropostale.com
"
147,"https://www.amijag.com
"
148,"https://www.big5sportinggoods.com
"
149,"https://www.blomdahlusa.com/
"
150,"https://www.brandnameswatch.com
"
151,"https://www.campsaver.com
"
152,"https://www.chicksaddlery.com
"
153,"https://www.costbuys.com
"
154,"https://www.couturecandy.com
"
155,"https://www.cozzoo.com/
"
156,"https://www.datavision.com
"
157,"https://www.dhgate.com/
"
158,"https://www.discountmugs.com
"
159,"https://www.fun.com
"
160,"https://www.gearthirty.com/
"
161,"https://www.hayneedle.com
"
162,"https://www.hibbett.com/
"
163,"https://www.homedepot.com
"
164,"https://www.italist.com/en/
"
165,"https://www.jewelryshopping.com/
"
166,"https://www.marksandspencer.com/us/
"
167,"https://www.oceanautwatches.com/
"
168,"https://www.rosefieldwatches.com
"
169,"https://www.ruelala.com
"
170,"https://www.s-worldelectronics.com/
"
171,"https://www.secondsale.com
"
172,"https://www.simplymoda.com
"
173,"https://www.sportsmans.com/
"
174,"https://www.therealreal.com
"
175,"https://www.tillys.com
"
176,"https://www.trendsavvy.com
"
177,"https://www.trouva.com/
"
178,"www.nflshop.com
"
179,"www.ssense.com
"
180,"www.stylebop.com
"
